setup_id,match_status,matched_control_count,candidate_net_return,control_mean_net_return,paired_excess_return
4522e6a7d0acda7c,matched_exact,3,-0.014548829679087215,0.0012244173488912817,-0.015773247027978495
7f532c3a61adee23,matched_exact,3,-0.013755509212709958,-0.005465509295172964,-0.008289999917536994
945629b3855566d6,matched_exact,3,-0.013939853921321488,0.014570485348719553,-0.02851033927004104
7d614e8a984d5f68,matched_exact,3,-0.0007122969344970208,0.014255794457185512,-0.014968091391682533
b7f14a09fd106a2b,matched_exact,3,-0.014607139383456367,-0.003112177451059798,-0.01149496193239657
e6ea848e0669620c,matched_exact,3,-0.007136204583338966,0.006657595009667702,-0.013793799593006667
13e8f234069133f3,matched_exact,3,0.013735627239305001,-0.007234393001488322,0.02097002024079332
b4bfe654991c7726,matched_exact,3,-0.010917758736853562,-0.009483485554264714,-0.0014342731825888484
6cc9cefaa8e75574,matched_exact,3,-0.011302931946938209,0.008362233753133072,-0.01966516570007128
ac0034e25db1c800,matched_exact,3,-0.013546493982572459,-0.0022973476611178895,-0.01124914632145457
8d785316bf665925,matched_exact,3,-0.0011376958453503932,0.004486283790665553,-0.005623979636015946
2409bc8b45277b8b,matched_exact,3,-0.00955611449880147,-0.005915775840198238,-0.0036403386586032318
c64adc86af9b2aa3,matched_exact,3,-0.004547627177288453,-0.0067241134438880065,0.0021764862665995532
57b5127cab738b5f,matched_exact,3,-0.0077805843393070374,-0.008003201543037054,0.00022261720373001684
2405d93c73b7c44e,matched_exact,3,-0.009405468498917166,-0.007327372055771428,-0.0020780964431457386
288d2890b8f0c0ca,matched_exact,3,-0.009803858799868335,-0.008954043996521962,-0.0008498148033463729
841f6b246073ed26,matched_exact,3,-0.009200426954868333,0.008493304315902827,-0.01769373127077116
3d5811c4e8ea3444,matched_exact,3,-0.004153861650630917,-0.005824125589595921,0.0016702639389650038
368135d269e1fbb7,matched_exact,3,-0.004477289410815037,-0.0052266566880898565,0.0007493672772748193
