fold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe
2025H1,45,1.7099107553015906,-18.290089244698407,-104.01980216263483,0.17777777777777778,0.8020744540770847,-0.10690852848776156,-0.213220879282643,18.0,79.18078106447098,1677.3002693825254,0.36973209561853027
2025H2,44,73.41787108951554,53.41787108951556,-75.84099794173123,0.29545454545454547,1.7676834293211967,0.31640521432898083,-0.06764713449086435,26.0,484.81143211385654,731.4550321722846,0.6715513675635397
2026P1,12,-61.18797346248675,-81.18797346248677,-119.94971606054447,0.16666666666666666,0.1659357992447484,-0.07696067296355635,-0.08470120217274635,30.5,55.72094980614198,129.2662250405966,0.3445033655631623
