subset,period,arm,scope,entries,closed,censored,gross_r,net_r,mean_net_r,win_rate,pf,max_adds,total_adds,trades_ge3_adds,positive_class_count,mean_gross_initial_notional_return,mean_net_initial_notional_return,initial_risk_clipped_count,mean_initial_risk_usd,mean_peak_close_to_exit_giveback_usd,mean_intratrade_close_drawdown_usd,matched_pairs,matched_random_net_r,matched_excess_r
all,earlier,continuous,actual,291,289,2,81.31749561070629,61.249154453866076,0.2119347904978065,0.4359861591695502,1.4923001960929285,7,79,8,126,0.017364498402339786,0.014839055427463246,1,0.99860705815806,1.3719407503551972,1.0194732306656813,287,28.61135882087804,32.9110361508411
all,earlier,continuous,random,291,288,3,52.50187980780687,27.51105269842906,0.09552448853621202,0.3958333333333333,1.190167696524078,4,69,4,114,0.006328465370221458,0.003966359454401906,4,0.9965720496271291,1.3719637168461272,0.9393740059903612,287,28.61135882087804,32.9110361508411
all,earlier,none,actual,291,289,2,62.57535784326203,45.94532131035411,0.1589803505548585,0.4359861591695502,1.3692931093061358,0,0,0,126,0.011726729808151256,0.009726729808151258,1,0.99860705815806,1.0386137200081615,0.7792377994928223,287,13.345461613434717,32.873100214772464
all,earlier,none,random,291,288,3,33.97192842443731,12.245155490985745,0.04251790101036717,0.3958333333333333,1.0846435444992217,0,0,0,114,0.005033032312239366,0.0030330323122393704,4,0.9965720496271291,1.1277942611063272,0.7740934094528773,287,13.345461613434717,32.873100214772464
all,earlier,two,actual,291,289,2,70.97699834806458,51.564157924135166,0.1784226917790144,0.4359861591695502,1.414455436712011,2,63,0,126,0.014437180112786302,0.012084806626773466,1,0.99860705815806,1.2519145564420877,0.9315780649837474,287,31.67445329743394,20.1629451445543
all,earlier,two,random,291,288,3,55.24685723948278,30.57414717498497,0.10616023324647558,0.3958333333333333,1.2113410637240734,2,64,0,114,0.006719973617168057,0.0044038599373238015,4,0.9965720496271291,1.3410226594943295,0.9199141776411128,287,31.67445329743394,20.1629451445543
all,later,continuous,actual,160,160,0,-9.134981139144017,-19.930432565983942,-0.12456520353739964,0.3625,0.7413972060868081,4,32,4,58,-0.003455153946581327,-0.005734696101019993,2,0.9985243142858196,1.2476753813425876,0.8592563853939783,160,-53.816663980421566,33.886231414437624
all,later,continuous,random,160,160,0,-40.60882948431143,-53.816663980421566,-0.3363541498776348,0.31875,0.3489067476881473,3,28,2,51,-0.008410580073295941,-0.010638975280577796,3,0.9965686921249979,1.2316429926017896,0.8370902788316232,160,-53.816663980421566,33.886231414437624
all,later,none,actual,160,160,0,-4.736639164685407,-14.328600500852664,-0.08955375313032915,0.3625,0.8140825037229429,0,0,0,58,-0.0014407922846764328,-0.0034407922846764307,2,0.9985243142858196,1.0622616224975006,0.7520811447849364,160,-39.604897152557776,25.27629665170511
all,later,none,random,160,160,0,-27.51323856587319,-39.604897152557776,-0.2475306072034861,0.31875,0.5208457866523208,0,0,0,51,-0.00549748927232842,-0.00749748927232842,3,0.9965686921249979,1.1129811866148869,0.7655872574941817,160,-39.604897152557776,25.27629665170511
all,later,two,actual,160,160,0,-11.043709994073629,-21.597041135969498,-0.13498150709980936,0.3625,0.7197725057130931,2,27,0,58,-0.003638327464968275,-0.0058673965530027135,2,0.9985243142858196,1.2013757661395492,0.8296244671731487,160,-52.01989193277449,30.422850796804994
all,later,two,random,160,160,0,-38.89468278929887,-52.01989193277449,-0.3251243245798406,0.31875,0.37064473866787717,2,26,0,51,-0.008028913317970378,-0.010239117113649526,3,0.9965686921249979,1.2204131673039953,0.8281814249963635,160,-52.01989193277449,30.422850796804994
WIF,earlier,continuous,actual,16,16,0,0.7166987384330561,-0.3179916179551241,-0.019874476122195256,0.5,0.9519859692794429,4,6,1,8,0.0008861331723519694,-0.0021688540466543622,0,1.0,1.675173027889476,1.2993242151533035,16,2.782124320130026,-3.1001159380851506
WIF,earlier,continuous,random,16,16,0,3.858541302022974,2.782124320130026,0.17388277000812663,0.5625,1.4381155420586171,2,5,0,9,0.01363999683435628,0.011087869820329437,0,1.0,1.2096069716853568,0.7373853368352989,16,2.782124320130026,-3.1001159380851506
WIF,earlier,none,actual,16,16,0,3.364543684132009,2.6522989893286217,0.16576868683303886,0.5,1.400474597326332,0,0,0,8,0.009834637377209042,0.00783463737720905,0,1.0,1.1388964446381524,0.797163702409363,16,5.626898489177735,-2.9745994998491136
WIF,earlier,none,random,16,16,0,6.4738431237917204,5.626898489177735,0.35168115557360846,0.5625,1.8860968806669653,0,0,0,9,0.020269259587772998,0.018269259587773003,0,1.0,0.9690434971727057,0.6635557149712827,16,5.626898489177735,-2.9745994998491136
WIF,earlier,two,actual,16,16,0,2.3082652759723423,1.3506643262081255,0.08441652038800784,0.5,1.2039388297991853,2,4,0,8,0.005624573416147739,0.002799098151622487,0,1.0,1.4968478399463145,1.1313511639898906,16,2.782124320130026,-1.4314599939219013
WIF,earlier,two,random,16,16,0,3.858541302022974,2.782124320130026,0.17388277000812663,0.5625,1.4381155420586171,2,5,0,9,0.01363999683435628,0.011087869820329437,0,1.0,1.2096069716853568,0.7373853368352989,16,2.782124320130026,-1.4314599939219013
WIF,later,continuous,actual,1,1,0,-0.081818181818182,-0.1154000000000002,-0.1154000000000002,0.0,0.0,0,0,0,0,-0.0048727666486193,-0.0068727666486193,0,1.0,0.5622454545454394,0.5181818181818159,1,0.8521481481481459,-0.9675481481481462
WIF,later,continuous,random,1,1,0,0.9192607753195858,0.8521481481481459,0.8521481481481459,1.0,,2,2,0,1,0.0374547901412909,0.0347203219315894,0,1.0,2.5172451153590885,2.1711716677753827,1,0.8521481481481459,-0.9675481481481462
WIF,later,none,actual,1,1,0,-0.081818181818182,-0.1154000000000002,-0.1154000000000002,0.0,0.0,0,0,0,0,-0.0048727666486193,-0.0068727666486193,0,1.0,0.5622454545454394,0.5181818181818159,1,1.2842469135802492,-1.3996469135802494
WIF,later,none,random,1,1,0,1.3333333333333357,1.2842469135802492,1.2842469135802492,1.0,,0,0,0,1,0.0543259557344065,0.0523259557344065,0,1.0,1.8887407407407562,1.6296296296296475,1,1.2842469135802492,-1.3996469135802494
WIF,later,two,actual,1,1,0,-0.081818181818182,-0.1154000000000002,-0.1154000000000002,0.0,0.0,0,0,0,0,-0.0048727666486193,-0.0068727666486193,0,1.0,0.5622454545454394,0.5181818181818159,1,0.8521481481481459,-0.9675481481481462
WIF,later,two,random,1,1,0,0.9192607753195858,0.8521481481481459,0.8521481481481459,1.0,,2,2,0,1,0.0374547901412909,0.0347203219315894,0,1.0,2.5172451153590885,2.1711716677753827,1,0.8521481481481459,-0.9675481481481462
