symbol,period,bars,candidates,entries,invalid_initial,occupied,partial_buckets,gaps
AEROUSDT,earlier,6705,11,11,0,0,1,1
AEROUSDT,later,5592,6,5,0,1,0,0
1000PEPEUSDT,earlier,8760,15,14,0,1,0,0
1000PEPEUSDT,later,5592,7,6,0,1,0,0
AAVEUSDT,earlier,8760,14,12,0,2,0,0
AAVEUSDT,later,5592,5,5,0,0,0,0
API3USDT,earlier,8760,10,10,0,0,0,0
API3USDT,later,5592,4,4,0,0,0,0
APTUSDT,earlier,8760,12,12,0,0,0,0
APTUSDT,later,5592,5,3,0,2,0,0
ARBUSDT,earlier,8760,19,16,0,3,0,0
ARBUSDT,later,5592,10,9,0,1,0,0
ARUSDT,earlier,8760,12,10,0,2,0,0
ARUSDT,later,5592,5,3,0,2,0,0
BOMEUSDT,earlier,8760,10,8,0,2,0,0
BOMEUSDT,later,5592,4,4,0,0,0,0
BTCUSDT,earlier,8760,17,16,0,1,0,0
BTCUSDT,later,5592,8,8,0,0,0,0
ENAUSDT,earlier,8760,17,14,0,3,0,0
ENAUSDT,later,5592,5,5,0,0,0,0
DASHUSDT,earlier,8760,8,7,0,1,0,0
DASHUSDT,later,5592,5,5,0,0,0,0
HYPEUSDT,earlier,2461,2,2,0,0,1,1
HYPEUSDT,later,5592,5,4,0,1,0,0
ETHUSDT,earlier,8760,14,13,0,1,0,0
ETHUSDT,later,5592,2,2,0,0,0,0
FILUSDT,earlier,8760,11,11,0,0,0,0
FILUSDT,later,5592,5,5,0,0,0,0
MUBARAKUSDT,earlier,4234,4,4,0,0,1,1
MUBARAKUSDT,later,5592,7,6,0,1,0,0
JUPUSDT,earlier,8760,16,15,0,1,0,0
JUPUSDT,later,5592,10,7,0,3,0,0
NEARUSDT,earlier,8760,17,14,0,3,0,0
NEARUSDT,later,5592,8,7,0,1,0,0
ONEUSDT,earlier,8760,6,6,0,0,0,0
ONEUSDT,later,5592,11,7,0,4,0,0
OPUSDT,earlier,8760,15,15,0,0,0,0
OPUSDT,later,5592,8,8,0,0,0,0
PIEVERSEUSDT,earlier,0,0,0,0,0,0,0
PIEVERSEUSDT,later,4020,6,5,0,1,1,1
PUMPUSDT,earlier,1696,3,3,0,0,1,1
PUMPUSDT,later,5592,7,6,0,1,0,0
PENDLEUSDT,earlier,8760,12,9,0,3,0,0
PENDLEUSDT,later,5592,10,8,0,2,0,0
USELESSUSDT,earlier,611,0,0,0,0,1,1
USELESSUSDT,later,5592,14,11,0,3,0,0
SOLUSDT,earlier,8760,8,7,0,1,0,0
SOLUSDT,later,5592,7,6,0,1,0,0
UNIUSDT,earlier,8760,16,14,0,2,0,0
UNIUSDT,later,5592,9,7,0,2,0,0
WIFUSDT,earlier,8760,17,16,0,1,0,0
WIFUSDT,later,5592,2,1,0,1,0,0
XTZUSDT,earlier,8760,12,12,0,0,0,0
XTZUSDT,later,5592,6,5,0,1,0,0
ZECUSDT,earlier,8760,12,11,0,1,0,0
ZECUSDT,later,5592,6,4,0,2,0,0
ZENUSDT,earlier,8760,10,9,0,1,0,0
ZENUSDT,later,5592,5,4,0,1,0,0
