event_key,stream_key,venue,symbol,asset,timeframe_min,original_entry_time,original_exit_time,original_entry_price,original_entry_i,original_exit_i,original_net_r,period,cache_entry_i,cache_exit_i,arm,leg_no,bar_i,price,quantity,time_utc
binance_240m_154d70e98a3638a0:5153:1,binance_240m_154d70e98a3638a0,binance,BOMEUSDT,BOME,240,2026-07-23 16:00:00+00:00,2026-08-22 04:00:00+00:00,0.0004461,5154,5331,17.541650887573958,later,4210,4387,none,0,0,0.0004461,2040195.878188126,2026-07-23T16:00:00+00:00
binance_240m_154d70e98a3638a0:5153:1,binance_240m_154d70e98a3638a0,binance,BOMEUSDT,BOME,240,2026-07-23 16:00:00+00:00,2026-08-22 04:00:00+00:00,0.0004461,5154,5331,17.541650887573958,later,4210,4387,one,0,0,0.0004461,2040195.878188126,2026-07-23T16:00:00+00:00
binance_240m_154d70e98a3638a0:5153:1,binance_240m_154d70e98a3638a0,binance,BOMEUSDT,BOME,240,2026-07-23 16:00:00+00:00,2026-08-22 04:00:00+00:00,0.0004461,5154,5331,17.541650887573958,later,4210,4387,one,1,162,0.000837,18598993.565395217,2026-08-19T16:00:00+00:00
binance_240m_154d70e98a3638a0:5153:1,binance_240m_154d70e98a3638a0,binance,BOMEUSDT,BOME,240,2026-07-23 16:00:00+00:00,2026-08-22 04:00:00+00:00,0.0004461,5154,5331,17.541650887573958,later,4210,4387,two,0,0,0.0004461,2040195.878188126,2026-07-23T16:00:00+00:00
binance_240m_154d70e98a3638a0:5153:1,binance_240m_154d70e98a3638a0,binance,BOMEUSDT,BOME,240,2026-07-23 16:00:00+00:00,2026-08-22 04:00:00+00:00,0.0004461,5154,5331,17.541650887573958,later,4210,4387,two,1,97,0.0006195,11851959.93297173,2026-08-08T20:00:00+00:00
binance_240m_154d70e98a3638a0:5153:1,binance_240m_154d70e98a3638a0,binance,BOMEUSDT,BOME,240,2026-07-23 16:00:00+00:00,2026-08-22 04:00:00+00:00,0.0004461,5154,5331,17.541650887573958,later,4210,4387,two,2,165,0.0008886,76181239.29528686,2026-08-20T04:00:00+00:00
binance_240m_1f9883b64d622516:1153:1,binance_240m_1f9883b64d622516,binance,PENGUUSDT,PENGU,240,2025-06-28 04:00:00+00:00,2025-07-30 16:00:00+00:00,0.010902,1154,1349,14.49920921770769,earlier,1154,1349,none,0,0,0.010902,151958.63878554662,2025-06-28T04:00:00+00:00
binance_240m_1f9883b64d622516:1153:1,binance_240m_1f9883b64d622516,binance,PENGUUSDT,PENGU,240,2025-06-28 04:00:00+00:00,2025-07-30 16:00:00+00:00,0.010902,1154,1349,14.49920921770769,earlier,1154,1349,one,0,0,0.010902,151958.63878554662,2025-06-28T04:00:00+00:00
binance_240m_1f9883b64d622516:1153:1,binance_240m_1f9883b64d622516,binance,PENGUUSDT,PENGU,240,2025-06-28 04:00:00+00:00,2025-07-30 16:00:00+00:00,0.010902,1154,1349,14.49920921770769,earlier,1154,1349,one,1,87,0.021739,1394723.2766283427,2025-07-12T16:00:00+00:00
binance_240m_1f9883b64d622516:1153:1,binance_240m_1f9883b64d622516,binance,PENGUUSDT,PENGU,240,2025-06-28 04:00:00+00:00,2025-07-30 16:00:00+00:00,0.010902,1154,1349,14.49920921770769,earlier,1154,1349,two,0,0,0.010902,151958.63878554662,2025-06-28T04:00:00+00:00
binance_240m_1f9883b64d622516:1153:1,binance_240m_1f9883b64d622516,binance,PENGUUSDT,PENGU,240,2025-06-28 04:00:00+00:00,2025-07-30 16:00:00+00:00,0.010902,1154,1349,14.49920921770769,earlier,1154,1349,two,1,76,0.018368,1114055.7015416066,2025-07-10T20:00:00+00:00
