event_key,stream_key,venue,symbol,asset,timeframe_min,original_entry_time,original_exit_time,original_entry_price,original_entry_i,original_exit_i,original_net_r,period,cache_entry_i,cache_exit_i,arm,status,adds_count,quantity_model,real_exchange_solvency,final_balance,min_maintenance_buffer,min_initial_margin_buffer,opening_fees,closing_fee,optimizer_exit_i,optimizer_exit_price,optimizer_exit_bar_open,selected_trades,failed_trades,asset_complete
binance_60m_f637b15b9c58db06:4311:1,binance_60m_f637b15b9c58db06,binance,1000000MOGUSDT,1000000MOG,60,2025-05-06 05:00:00+00:00,2025-05-12 17:00:00+00:00,0.6173,4312,4468,11.671952127659589,earlier,4312,4468,none,conditional_optimal,0,continuous,unknown,1128.903477618774,0.0100000100000201,75.42939095026986,0.9450234249896208,1.9768487748081924,114,1.2913,2025-05-10T23:00:00+00:00,1,0,True
binance_60m_f637b15b9c58db06:4311:1,binance_60m_f637b15b9c58db06,binance,1000000MOGUSDT,1000000MOG,60,2025-05-06 05:00:00+00:00,2025-05-12 17:00:00+00:00,0.6173,4312,4468,11.671952127659589,earlier,4312,4468,one,conditional_optimal,1,continuous,unknown,4860.5846457717025,0.0100000099996009,75.42939095026986,9.23921132629438,14.023058241634011,114,1.2913,2025-05-10T23:00:00+00:00,1,0,True
binance_60m_f637b15b9c58db06:4311:1,binance_60m_f637b15b9c58db06,binance,1000000MOGUSDT,1000000MOG,60,2025-05-06 05:00:00+00:00,2025-05-12 17:00:00+00:00,0.6173,4312,4468,11.671952127659589,earlier,4312,4468,two,conditional_optimal,2,continuous,unknown,13470.620512310086,0.0100000099994304,75.42939095026986,35.70676675902869,49.16225629439219,114,1.2913,2025-05-10T23:00:00+00:00,1,0,True
binance_60m_dbf553a51d436580:14108:1,binance_60m_dbf553a51d436580,binance,1000BONKUSDT,1000BONK,60,2025-07-02 11:00:00+00:00,2025-07-09 14:00:00+00:00,0.014366,14109,14280,15.725424242424213,earlier,7211,7382,none,conditional_optimal,0,continuous,unknown,977.858119808508,0.0100000099998993,65.9316872247334,1.3103197221256384,2.19167984149777,139,0.024029,2025-07-08T06:00:00+00:00,1,0,True
binance_60m_dbf553a51d436580:14108:1,binance_60m_dbf553a51d436580,binance,1000BONKUSDT,1000BONK,60,2025-07-02 11:00:00+00:00,2025-07-09 14:00:00+00:00,0.014366,14109,14280,15.725424242424213,earlier,7211,7382,one,conditional_optimal,1,continuous,unknown,3166.5102341784377,0.0100000099998993,65.9316872247334,8.645137167082094,11.732024562990604,139,0.024029,2025-07-08T06:00:00+00:00,1,0,True
binance_60m_dbf553a51d436580:14108:1,binance_60m_dbf553a51d436580,binance,1000BONKUSDT,1000BONK,60,2025-07-02 11:00:00+00:00,2025-07-09 14:00:00+00:00,0.014366,14109,14280,15.725424242424213,earlier,7211,7382,two,conditional_optimal,2,continuous,unknown,6710.008841323729,0.0100000099998993,65.9316872247334,24.611514955831908,31.277412724836303,139,0.024029,2025-07-08T06:00:00+00:00,1,0,True
binance_30m_8ccaf44348579844:31323:1,binance_30m_8ccaf44348579844,binance,1000CATUSDT,1000CAT,30,2026-08-05 02:30:00+00:00,2026-08-09 01:00:00+00:00,0.001428,31324,31513,11.090086956521732,later,31324,31513,none,conditional_optimal,0,continuous,unknown,1017.1124232640772,0.0100000099997146,66.05593248883388,1.305541058121774,2.226185207651625,169,0.002435,2026-08-08T15:00:00+00:00,1,0,True
binance_30m_8ccaf44348579844:31323:1,binance_30m_8ccaf44348579844,binance,1000CATUSDT,1000CAT,30,2026-08-05 02:30:00+00:00,2026-08-09 01:00:00+00:00,0.001428,31324,31513,11.090086956521732,later,31324,31513,one,conditional_optimal,1,continuous,unknown,2967.408793092757,0.0100000099997146,66.05593248883388,5.259876815573595,8.140686171653579,169,0.002435,2026-08-08T15:00:00+00:00,1,0,True
binance_30m_8ccaf44348579844:31323:1,binance_30m_8ccaf44348579844,binance,1000CATUSDT,1000CAT,30,2026-08-05 02:30:00+00:00,2026-08-09 01:00:00+00:00,0.001428,31324,31513,11.090086956521732,later,31324,31513,two,conditional_optimal,2,continuous,unknown,5823.208444810253,0.0100000099996577,66.05593248883388,26.468736212982492,32.25066405806379,169,0.002435,2026-08-08T15:00:00+00:00,1,0,True
binance_30m_4158666b29c2b6a0:52109:1,binance_30m_4158666b29c2b6a0,binance,1000PEPEUSDT,1000PEPE,30,2026-08-19 15:00:00+00:00,2026-08-22 05:00:00+00:00,0.002651,52110,52234,20.22201574803143,later,34134,34258,none,conditional_optimal,0,continuous,unknown,1411.352994425981,0.0100000099998709,52.55276102645743,1.8248938066747145,3.141212907815185,123,0.0045632,2026-08-22T04:30:00+00:00,1,0,True
