period,months,valid_bootstrap_draws,shared_months,win_rate_delta,win_rate_ci_low,win_rate_ci_high,win_rate_monthly_signflip_p,gt10_rate_delta,gt10_rate_ci_low,gt10_rate_ci_high,gt10_rate_monthly_signflip_p
full,25,2000,25,0.008788486765617498,-0.0011035651952695223,0.019159847345688225,0.2859,-0.0006146758052899149,-0.0015653593733161969,0.0002862638703979775,0.9793
earlier,13,2000,13,0.008380480299920279,-0.009575748919135051,0.025825669281874044,0.38623046875,-0.0008330529023148452,-0.002218610714696809,0.0005086206689645712,0.829345703125
later,13,2000,13,0.004070128175529819,-0.004422688575854145,0.01244487363876435,0.2474365234375,-0.0004273702345923315,-0.001615113965138934,0.0006458195189444286,0.9580078125
crossing,2,2000,2,0.011767986614612314,0.0016433353621424507,0.0625,0.25,-0.01101505856107083,-0.011898965307364576,0.0,1.0
