period,metric,delta,blocks,p,total_ci_low,total_ci_high
full,gt10,-187.0,25,1.0,-277.0,-121.0
full,net_r,-545.6833529658957,25,0.6027,-4584.282832342704,3248.0456163800304
full,net_return,-3.3370622000532713,25,0.5165,-162.0275839496016,141.63408896208827
earlier,gt10,-71.0,13,1.0,-111.0,-35.0
earlier,net_r,-1451.9371255807378,13,0.8204345703125,-4361.492563978418,1137.0007258406888
earlier,net_return,-53.82479338410364,13,0.771484375,-190.32313895381972,55.013420607334766
later,gt10,-110.0,13,1.0,-195.0,-63.0
later,net_r,1160.8534607467527,13,0.2191162109375,-1779.0752206321768,3274.7100053376475
later,net_return,56.39437845437925,13,0.0994873046875,-33.58205386736122,127.70584172331792
crossing,gt10,-6.0,2,1.0,-12.0,0.0
crossing,net_r,-254.59968813191114,2,0.75,-519.8375526714992,10.638176407676966
crossing,net_return,-5.906647270328882,2,0.75,-13.289961231685627,1.4766666910278632
