epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.1538,0.56015,0.80952,1,0.48121,2.3e-05,2.3e-05,0.077023
2,13.9998,0.52991,0.80952,1,0.47121,4.65347e-05,4.65347e-05,0.0530465
3,15.7138,0.46853,0.80952,1,0.44939,6.95942e-05,6.95942e-05,0.0290696
4,17.2574,0.45149,0.80952,1,0.4534,9.21785e-05,9.21785e-05,0.00509218
5,18.9822,0.4451,0.80952,1,0.46296,9.604e-05,9.604e-05,9.604e-05
6,20.5035,0.41685,0.80952,1,0.48761,9.505e-05,9.505e-05,9.505e-05
7,22.1204,0.38127,0.80952,1,0.48552,9.406e-05,9.406e-05,9.406e-05
8,23.7748,0.35288,0.78571,1,0.48093,9.307e-05,9.307e-05,9.307e-05
9,25.3756,0.32178,0.80952,1,0.47365,9.208e-05,9.208e-05,9.208e-05
10,26.9255,0.29491,0.78571,1,0.45643,9.109e-05,9.109e-05,9.109e-05
11,28.4785,0.29645,0.78571,1,0.46573,9.01e-05,9.01e-05,9.01e-05
12,30.146,0.25178,0.78571,1,0.46134,8.911e-05,8.911e-05,8.911e-05
13,31.6849,0.22055,0.78571,1,0.66306,8.812e-05,8.812e-05,8.812e-05
14,33.405,0.15095,0.78571,1,0.49725,8.713e-05,8.713e-05,8.713e-05
15,34.9441,0.12911,0.78571,1,0.53961,8.614e-05,8.614e-05,8.614e-05
16,36.6291,0.12176,0.78571,1,0.5529,8.515e-05,8.515e-05,8.515e-05
17,38.1934,0.11225,0.78571,1,0.72294,8.416e-05,8.416e-05,8.416e-05
18,39.8958,0.12003,0.80952,1,0.6095,8.317e-05,8.317e-05,8.317e-05
19,41.4148,0.09684,0.80952,1,0.89853,8.218e-05,8.218e-05,8.218e-05
20,43.2036,0.15215,0.80952,1,0.62392,8.119e-05,8.119e-05,8.119e-05
21,44.7733,0.04426,0.80952,1,0.61992,8.02e-05,8.02e-05,8.02e-05
