arm,timeframe_min,period,delta,low,high,p,assets,q
first,30,development,-0.011440777536388261,-0.01605596103001885,-0.007372957419621927,1.0,850,1.0
first,30,validation,0.009083961771953586,0.004238574363886254,0.013617332023196057,0.0004997501249375312,850,0.0029985007496251873
first,60,development,0.0029348161462603556,0.0003035313082120279,0.005259587354321524,0.013493253373313344,829,0.053973013493253376
first,60,validation,-0.003449712773076544,-0.006982126216036334,-8.932375293758205e-05,0.975512243878061,829,1.0
first,240,development,-0.004771328477187809,-0.008501870519494543,-0.00195929860207536,1.0,802,1.0
first,240,validation,-0.0044653278479500225,-0.007222887540659943,-0.0019113387449782183,0.9995002498750625,802,1.0
first_break,30,development,-0.0180839063185928,-0.023583727785019843,-0.012821234177559183,1.0,850,1.0
first_break,30,validation,0.02041721398500465,0.014427194256814905,0.025877013686156622,0.0004997501249375312,850,0.0029985007496251873
first_break,60,development,0.001391511618517431,-0.001918104310824403,0.004466101885036011,0.2143928035982009,829,0.6431784107946027
first_break,60,validation,-0.0017165024329942366,-0.00623774387068923,0.0029178242943425896,0.7611194402798601,829,1.0
first_break,240,development,-0.003530316287097492,-0.005750650908437005,-0.001308943330102856,0.9995002498750625,802,1.0
first_break,240,validation,-0.001509334889362378,-0.0046319623003509575,0.0014944546786163793,0.8330834582708646,802,1.0
