arm,timeframe_min,period,base_trades,base_winners10,kept_winners10,episode_winners10,removed_losers,removed_winners
first,30,development,24535,143,103,116,5470,2589
first,30,validation,40281,206,132,161,10037,4213
first,60,development,12813,53,42,49,2825,1223
first,60,validation,19452,98,63,74,4371,2059
first,240,development,4110,30,15,19,779,461
first,240,validation,5500,31,15,24,1261,708
first_break,30,development,24535,143,45,94,9818,4619
first_break,30,validation,40281,206,66,130,18166,7091
first_break,60,development,12813,53,15,39,5194,2342
first_break,60,validation,19452,98,25,52,8491,3629
first_break,240,development,4110,30,8,17,1730,820
first_break,240,validation,5500,31,8,24,2463,1099
