arm,timeframe_min,period,streams,valid,mean_return,median_return,mean_dd,worst_dd
baseline,30,development,1144,1144,0.03379941458978643,0.0,0.06610365588849029,0.3123603524356718
baseline,30,full,1144,1144,0.003195181800040132,-0.01265599784901165,0.1566168703746033,0.4174105470423972
baseline,30,validation,1144,1144,-0.02940575228340134,-0.02798309563160315,0.1316452485966174,0.3581596377161714
baseline,60,development,1126,1126,-0.004057287293926364,0.0,0.05197423876143636,0.2338367448662396
baseline,60,full,1126,1126,-0.002304287587068504,-0.00828637183866105,0.10338725207855483,0.3062199029961452
baseline,60,validation,1126,1126,0.0016630539499839377,-0.00348448717821605,0.08458648270817468,0.2700873623155833
baseline,240,development,1261,1261,0.004933670535726612,0.0,0.02651712866049355,0.1913623560315338
baseline,240,full,1261,1261,0.008416129973877997,0.0,0.05045476653355224,0.2016627170562686
baseline,240,validation,1261,1261,0.0035603294217983073,0.0,0.03713454452546949,0.1686357309206539
first,30,development,1144,1144,0.022358637053398165,0.0,0.055377441959130934,0.2221666879348253
first,30,full,1144,1144,0.0013234257433312653,-0.014333466426202101,0.1263900920891179,0.3367738930450886
first,30,validation,1144,1144,-0.02032179051144776,-0.02459518108391925,0.10462102924216693,0.2711261063127475
first,60,development,1126,1126,-0.0011224711476660082,0.0,0.04211812867217115,0.1724644997305138
first,60,full,1126,1126,-0.0027733838536607856,-0.01173777449990715,0.08555651101931636,0.242018944295477
first,60,validation,1126,1126,-0.0017866588230926064,-0.010086418036420599,0.06910810339885647,0.242018944295477
first,240,development,1261,1261,0.00016234205853880211,0.0,0.021771689376107968,0.1573588476338097
first,240,full,1261,1261,-0.000719168561996621,-0.0031366703434416,0.041376735649791545,0.1676989508689907
first,240,validation,1261,1261,-0.0009049984261517148,-0.0014044086050478,0.02896255396557903,0.1319125259268933
first_break,30,development,1144,1144,0.015715508271193623,0.0,0.044441811175017595,0.1903578986258723
first_break,30,full,1144,1144,0.006563441029501412,-0.00822813242688935,0.0979158484411834,0.2776096392262722
first_break,30,validation,1144,1144,-0.008988538298396692,-0.014831443432820099,0.07973001887013532,0.2776096392262722
first_break,60,development,1126,1126,-0.0026657756754089328,0.0,0.033848734270002734,0.1597976621676997
first_break,60,full,1126,1126,-0.002542371867870401,-0.008638920486788049,0.06696392614885324,0.2299501703192952
first_break,60,validation,1126,1126,-5.3448483010300546e-05,-0.003921430514748,0.052493694507832665,0.170912687804793
first_break,240,development,1261,1261,0.0014033542486291193,0.0,0.01602884650317444,0.1965406222604798
first_break,240,full,1261,1261,0.003412812495886616,0.0,0.030124637353230486,0.2028370608163637
first_break,240,validation,1261,1261,0.00205099453243593,0.0,0.02097243200337197,0.1065916758497844
