symbol,minutes,fold,policy,observed_start,observed_end_close,n,mean_net_bp,median_net_bp,win_pct,pf,p90_net_bp,best_net_bp,worst_net_bp,top_realized_decile_sum_bp,rest_realized_mean_bp,top5_positive_share_pct,strength_auc,score_top_decile_n,score_top_decile_gross_bp,score_top_decile_net_bp,score_top_decile_win_pct,score_top_decile_excess_bp,mean_gross_bp,median_hold_bars,mean_mfe_bp,median_mae_bp,boundary_marks,matched_n,controls_mean_net_bp,excess_bp,p,ci_low,ci_high,months,portfolio_n,portfolio_mean_net_bp,portfolio_median_net_bp,portfolio_win_pct,portfolio_pf,portfolio_p90_net_bp,portfolio_best_net_bp,portfolio_worst_net_bp,portfolio_top_realized_decile_sum_bp,portfolio_rest_realized_mean_bp,portfolio_top5_positive_share_pct,portfolio_trades,portfolio_blocked,portfolio_fixed_notional_return_pct,portfolio_close_marked_drawdown_pct,p_holm_replication,matched_case_mean_net_bp
BTC,15,discovery,cross_signal,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,3763,-18.35008231796344,-38.65794119984332,24.475152803614137,0.6173703696626955,94.80201397084768,984.9674222820704,-673.9866581956777,91198.39053717427,-47.32715602471078,3.947829649306471,0.4546354091451249,377,1.792576884538816,-18.207423115461182,20.424403183023873,-3.1886174450371474,1.6499176820365582,15.0,94.32291678217544,-40.68113516743632,2,3763,-19.250959233948304,0.9008769159848641,0.3345,-3.3366833990837983,5.125386189649571,24,3378,-19.263446533513605,-39.54573171950192,24.45233866193014,0.6081465185224728,94.66062328015572,984.9674222820704,-673.9866581956777,82723.6569916801,-48.6169669019372,4.355316002719937,3378,385,-650.7192239020743,654.5608362774398,,-18.35008231796344
BTC,15,discovery,departure_signal,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,1091,-17.307832266709696,-35.720910390810694,24.47296058661778,0.6120865851439926,90.20558002936886,740.7637189878469,-485.589860569422,24236.88321192969,-43.954870759337375,10.951850729717709,0.5535435075088179,110,2.2961006353707103,-17.703899364629294,30.909090909090907,2.3060201646797296,2.6921677332903027,15.0,94.56463914356698,-37.163402763895625,1,1091,-19.892342768563616,2.584510501853919,0.267,-5.4150313667407195,10.529105342228908,24,1088,-17.323821343941933,-35.70523568476201,24.448529411764707,0.61176501394421,88.57857677471921,740.7637189878469,-485.589860569422,24142.156862484513,-43.91263992307797,10.986780502290337,1088,3,-188.4831762220884,188.04126519710687,,-17.3078322667097
BTC,15,discovery,departure_neutral,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,1091,-12.073932379498348,-49.01952711536149,23.556370302474793,0.8041256164595626,134.90214265837966,1789.7388220589016,-852.6279957294247,46443.62807161795,-60.77093608323207,14.024083684811872,0.5874599930950182,110,36.282474875587496,16.282474875587493,39.09090909090909,8.918759427102598,7.926067620501653,34.0,160.76760735104045,-60.05913106502226,1,1091,-13.999710094215445,1.9257777147171014,0.3695,-9.624224973223006,12.369654383032996,24,1091,-12.073932379498348,-49.01952711536149,23.556370302474793,0.8041256164595626,134.90214265837966,1789.7388220589016,-852.6279957294247,46443.62807161795,-60.77093608323207,14.024083684811872,1091,0,-131.72660226032698,125.09854816115688,,-12.073932379498347
BTC,15,discovery,departure_opposite,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,1091,-9.98792788311354,-63.19020043056731,26.947754353803848,0.880849240844873,219.51373258187968,2031.778665816764,-820.5651639763278,66468.64443780296,-78.86388762311907,10.777519062950349,0.5482848095323449,110,24.374121517985813,4.374121517985818,30.909090909090907,-1.6816554596692077,10.01207211688646,72.0,227.41148286792213,-90.99990120638002,1,1091,-9.829662898010731,-0.1582649851028071,0.50725,-18.020846631756395,15.892449819299289,24,716,-4.98255054470403,-59.3057969735533,29.18994413407821,0.9385292369695816,230.02429246799295,2031.778665816764,-820.5651639763278,43140.894365396714,-72.52857229100124,14.965716801952238,716,375,-35.67506190008073,63.879033026999146,,-9.987927883113539
BTC,15,replication,cross_signal,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,1842,-18.1944737829773,-38.47573772808475,26.65580890336591,0.606363303367221,94.73251499922571,913.9364125590156,-443.3968829146617,39908.32052413383,-44.31052578900303,6.522455528679508,0.4550864487495873,185,-11.629425156837367,-31.629425156837367,22.162162162162165,1.345640376702387,1.8055262170226984,15.0,86.29272043917248,-39.087443880082006,1,1842,-18.952487229789003,0.7580134468117026,0.32080078125,-1.9978533289787719,3.8056317779335704,12,1679,-18.6210438274564,-39.60573493457795,26.74210839785587,0.6034986335818935,96.70971081629246,913.9364125590156,-443.3968829146617,36753.586981658955,-45.01543320182545,7.032494566770076,1679,163,-312.64732586299067,312.9840701404302,1.0,-18.1944737829773
BTC,15,replication,departure_signal,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,539,-12.992618284847106,-34.33102605190584,27.4582560296846,0.685829921450377,88.29628776609198,787.8336913233719,-361.83791285102075,11794.001308978224,-38.7567475556924,18.124748793024093,0.5507534388608557,54,-7.4008833214113645,-27.400883321411357,29.629629629629623,-24.053333675509663,7.007381715152895,16.0,90.3645409871907,-37.30378533607581,0,539,-20.089628039092396,7.097009754245293,0.1552734375,-5.22823824844358,19.367287716297714,12,536,-13.017414165314117,-34.039878078442314,27.425373134328357,0.6855483510082926,89.11094349860818,787.8336913233719,-361.83791285102075,11794.001308978224,-38.94467904893484,18.21525779846139,536,3,-69.77333992608371,71.42540335858918,1.0,-12.992618284847106
BTC,15,replication,departure_neutral,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,539,-20.26851756729489,-51.40697564212091,24.67532467532467,0.6823416343669692,164.94390093785103,741.5685921886039,-788.333894418014,18871.985227250305,-61.436528239221126,14.404323391676405,0.5305752064891293,54,-31.653437925718325,-51.65343792571833,27.77777777777778,-17.493485126144055,-0.2685175672948906,40.0,144.25138307401576,-57.64828917203424,1,539,-28.931194029775128,8.66267646248024,0.008544921875,2.716531153154269,14.342915024909988,12,539,-20.26851756729489,-51.40697564212091,24.67532467532467,0.6823416343669692,164.94390093785103,741.5685921886039,-788.333894418014,18871.985227250305,-61.436528239221126,14.404323391676405,539,0,-109.2473096877195,108.65387887983144,0.59814453125,-20.26851756729489
BTC,15,replication,departure_opposite,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,539,-9.651178555215177,-66.77938762272515,29.12801484230056,0.8828034805381956,249.05730404952376,1072.293982768923,-686.025615078798,29364.071602769935,-71.27022029697096,12.525471554088035,0.5025511054790409,54,-36.77362871737006,-56.77362871737005,24.074074074074073,-41.30039001150698,10.348821444784829,72.0,217.14174721309652,-81.90588110008723,1,539,-17.259161060676103,7.607982505460931,0.1064453125,-2.7536895226554177,18.42497601374549,12,369,-21.920094944479462,-73.34326806279988,30.081300813008134,0.7457594998214334,227.87441707252128,1072.293982768923,-686.025615078798,17393.059634167035,-76.7517309297589,18.321814682192947,369,170,-80.88515034512928,82.53045922954453,1.0,-9.651178555215175
BTC,15,exposed,cross_signal,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,973,-23.036069511927913,-42.10854920290828,26.002055498458375,0.5472578266925779,96.6512859793363,864.0622093077521,-697.2809109692334,20906.702324057795,-49.50948338190131,10.875715201652987,0.4638477162933684,98,-3.6630914764352327,-23.66309147643523,18.367346938775512,-18.631073531578632,-3.0360695119279124,15.0,88.17105390242533,-43.14648705854629,1,973,-21.52012676356394,-1.5159427483639727,0.609375,-10.830386978438048,8.095433503859484,6,886,-22.29564001051508,-42.133085612582875,26.297968397291193,0.5625183337721134,98.09133508602356,864.0622093077521,-697.2809109692334,19394.07446283966,-49.119211433069026,11.600844021019292,886,87,-197.5393704931637,199.7245377437465,,-23.036069511927916
BTC,15,exposed,departure_signal,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,255,-21.72299229930111,-37.581336622033426,28.235294117647054,0.5486291817524085,91.89985193589668,554.152363745859,-334.08837373445573,5279.069432874458,-47.24206318426307,28.020741171080036,0.4862629022465088,26,3.1686027041589417,-16.83139729584105,42.30769230769231,1.424382490423973,-1.722992299301112,15.0,85.06173285614021,-43.904264458629605,0,255,-10.37290011102912,-11.350092188271994,0.734375,-38.35581756078084,18.13808242735058,6,255,-21.72299229930111,-37.581336622033426,28.235294117647054,0.5486291817524085,91.89985193589668,554.152363745859,-334.08837373445573,5279.069432874458,-47.24206318426307,28.020741171080036,255,0,-55.39363036321787,58.44211642688055,,-21.72299229930111
BTC,15,exposed,departure_neutral,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,255,-14.06728646481556,-59.021370519198854,26.27450980392157,0.7989250909932613,184.5078752972529,1266.4308610384944,-379.53551842220486,10788.438069439966,-62.77552889942329,30.241466172300775,0.4659415687519848,26,-43.808226069234145,-63.808226069234145,26.923076923076923,-17.903814127658375,5.932713535184439,34.0,161.60366072464208,-71.1401932209288,1,255,-14.788306811946327,0.7210203471307721,0.484375,-20.07832950524678,26.271778870035952,6,255,-14.06728646481556,-59.021370519198854,26.27450980392157,0.7989250909932613,184.5078752972529,1266.4308610384944,-379.53551842220486,10788.438069439966,-62.77552889942329,30.241466172300775,255,0,-35.871580485279665,46.30977290831636,,-14.06728646481556
BTC,15,exposed,departure_opposite,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,255,-4.309580644822278,-75.42459358516605,32.549019607843135,0.9537134792209344,278.6270103012718,1627.931266525737,-615.9930573984761,15828.316629018263,-73.91816460020938,32.38239976026617,0.4298122723451947,26,-105.16400295037334,-125.16400295037334,15.384615384615383,-51.83015783124487,15.690419355177726,71.0,235.4903212519684,-111.40667707926544,1,255,-19.34199545277332,15.03241480795104,0.1875,-12.790743174173402,45.78811806137349,6,178,-21.93568446265084,-92.10294452053236,30.337078651685395,0.7788680588305568,275.82748438418963,1627.931266525737,-615.9930573984761,9376.734733140478,-83.00804104682705,33.52258434596918,178,77,-39.04551834351851,50.09419008947996,,-4.309580644822278
BTC,30,discovery,cross_signal,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,1813,-17.066429809584196,-46.8258513455244,27.413127413127413,0.7293772365646259,158.28513877414792,1109.0746671161312,-773.6861013397212,62652.774194302976,-57.384556369760354,5.834800861384896,0.4621956663996135,182,14.246303089626792,-5.753696910373209,21.978021978021975,0.5995588531031649,2.9335701904158005,15.0,138.59822411287126,-63.44612147018536,1,1813,-15.02416016413404,-2.0422696454501574,0.6955,-9.73146523579902,5.332248505495094,24,1635,-16.74331868732605,-47.52071286240776,28.073394495412845,0.7399840156997404,162.92332794720028,1109.0746671161312,-773.6861013397212,57603.657402279234,-57.76953328080037,6.245580487842559,1635,178,-273.75326053778065,275.1719432542598,,-17.066429809584196
BTC,30,discovery,departure_signal,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,535,-13.975504180358676,-40.21132123549485,27.850467289719628,0.747966832313247,138.3857194193051,877.6161799941074,-532.7466677080083,16795.931943310883,-50.4632571305671,15.633706080946208,0.5560733038912264,54,9.227092823505846,-10.772907176494156,37.03703703703704,13.853512469871967,6.024495819641322,15.0,130.5585460253955,-56.28996138213216,0,535,-13.31574035366103,-0.6597638266976501,0.54825,-10.36792890113051,9.627055274848459,24,531,-13.746708598692967,-40.294188866638585,28.06026365348399,0.7524662742645944,140.1706838175043,877.6161799941074,-532.7466677080083,16795.931943310883,-50.51453712624079,15.633706080946208,531,4,-72.9950226590597,74.51530343616749,,-13.975504180358675
BTC,30,discovery,departure_neutral,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,535,-5.481804068778803,-64.88578040551694,24.485981308411215,0.9385170189367424,299.73169530197407,2287.35660112525,-982.7850671665096,37335.94188695696,-83.71872570426947,19.06558157455458,0.4903635401708109,54,2.5932530006478514,-17.406746999352148,31.48148148148148,41.42174027541845,14.518195931221197,39.0,235.8070572002567,-94.19972538687094,1,535,-11.888692372689246,6.406888303910441,0.21875,-9.657185807072976,22.66676133034271,24,535,-5.481804068778803,-64.88578040551694,24.485981308411215,0.9385170189367424,299.73169530197407,2287.35660112525,-982.7850671665096,37335.94188695696,-83.71872570426947,19.06558157455458,535,0,-29.32765176796641,73.06246424931618,,-5.481804068778803
BTC,30,discovery,departure_opposite,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,535,9.821328384870665,-92.3869554082124,28.971962616822427,1.086056739154573,433.5659181566416,2732.637139232521,-976.2116005414988,50618.63804535446,-94.31232299261676,16.955425073650368,0.4770967741935484,54,4.146809320088931,-15.853190679911071,35.18518518518518,63.14905315955537,29.821328384870665,74.0,350.46362423094627,-143.80589511562735,1,535,-0.1334558279155283,9.954784212786194,0.24575,-17.569078234377724,38.49392383371406,24,352,2.1293576927943523,-95.4369716186798,29.261363636363637,1.0176574424728866,410.4475009231765,2732.637139232521,-976.2116005414988,32756.459567342412,-101.28773942873036,24.847759221400636,352,183,7.495339078636509,51.78648947286486,,9.821328384870663
