symbol,fold,old,new,n,mean_delta_bp,improved_pct,median_delta_bp
BTC,discovery,departure_signal,departure_neutral,56,48.27218728734916,35.714285714285715,-72.71645769214688
BTC,discovery,departure_neutral,departure_opposite,56,-66.19315186697459,25.0,-116.21230161352076
BTC,replication,departure_signal,departure_neutral,34,12.191762824077319,23.52941176470588,-66.6504433076498
BTC,replication,departure_neutral,departure_opposite,34,-24.149859641273437,29.411764705882355,-122.68976935689402
BTC,exposed,departure_signal,departure_neutral,15,242.26659790127215,40.0,-19.681464638587897
BTC,exposed,departure_neutral,departure_opposite,15,-80.12080293066343,20.0,-189.44848418193328
ETH,discovery,departure_signal,departure_neutral,66,-93.13360545673514,27.27272727272727,-161.51353463241205
ETH,discovery,departure_neutral,departure_opposite,66,-124.86919054365993,25.757575757575758,-174.7222684600047
ETH,replication,departure_signal,departure_neutral,30,244.46780595016224,33.33333333333333,-83.66930631428073
ETH,replication,departure_neutral,departure_opposite,30,-167.14554812361084,23.333333333333332,-251.47226181396366
ETH,exposed,departure_signal,departure_neutral,14,294.8279123214042,35.714285714285715,-59.0209849420898
ETH,exposed,departure_neutral,departure_opposite,14,-128.47085952777817,28.57142857142857,-216.43815555136783
