symbol,path,source_rows_read,source_prefix_sha256,source_days_seen,complete_days,discarded_days,discarded_wrong_count,discarded_duplicate,discarded_off_grid,last_daily_bar,holdout_rows_read
BTC,data/kline_deep/okx_BTC_USDT_SWAP_15m_158499.csv,151525,f19180b835d41afb3832d2d530e360ff06c5305724e995efbc0d526c8c272497,1579,1578,1,1,0,0,2026-04-30 00:00:00+00:00,0
ETH,data/kline_deep/okx_ETH_USDT_SWAP_15m_158499.csv,151522,2ed5c3215fe5f0be803fcba2cd0647e2334c33f82ac29a217409961bbc60dfac,1579,1578,1,1,0,0,2026-04-30 00:00:00+00:00,0
