time,setup_id,symbol,event,pnl_equity_fraction_initial,equity,drawdown
2022-07-17 00:00:00+00:00,817298d9174b353b,ENS,entry,0.0,1.0,0.0
2022-08-02 00:00:00+00:00,9ebce6b4e770e2c5,SNX,entry,0.0,1.0,0.0
2022-08-20 00:00:00+00:00,9ebce6b4e770e2c5,SNX,exit,-0.005042829576574085,0.9949571704234259,-0.005042829576574093
2022-08-28 00:00:00+00:00,817298d9174b353b,ENS,exit,0.006642239325475762,1.0015994097489016,0.0
2023-02-28 00:00:00+00:00,c76f5c4c83b46640,COMP,entry,0.0,1.0015994097489016,0.0
2023-04-14 00:00:00+00:00,342715d7495a0aae,QTUM,entry,0.0,1.0015994097489016,0.0
2023-04-15 00:00:00+00:00,08def767f9eabe77,CELO,entry,0.0,1.0015994097489016,0.0
2023-04-21 00:00:00+00:00,08def767f9eabe77,CELO,exit,-0.003995901709965165,0.9976035080389365,-0.003989520831453874
2023-04-21 00:00:00+00:00,342715d7495a0aae,QTUM,exit,-0.003286257539722541,0.9943172504992139,-0.007270530692019217
2023-05-29 00:00:00+00:00,c76f5c4c83b46640,COMP,exit,0.008251606538633374,1.0025688570378473,0.0
2025-10-22 00:00:00+00:00,930cb12accb21951,YGG,entry,0.0,1.0025688570378473,0.0
2026-01-17 00:00:00+00:00,04b3c67e6623e659,AR,entry,0.0,1.0025688570378473,0.0
2026-01-18 00:00:00+00:00,9c41376059a15b4f,ICX,entry,0.0,1.0025688570378473,0.0
2026-01-20 00:00:00+00:00,04b3c67e6623e659,AR,exit,-0.005088751159921228,0.997480105877926,-0.005075712380450681
2026-01-20 00:00:00+00:00,930cb12accb21951,YGG,exit,0.007522752344978693,1.0050028582229047,0.0
2026-01-20 00:00:00+00:00,9c41376059a15b4f,ICX,exit,-0.005099862251850702,0.999902995971054,-0.005074475371013909
2026-01-28 00:00:00+00:00,a2a144a4ad02f28f,WCT,entry,0.0,0.999902995971054,-0.005074475371013909
2026-01-31 00:00:00+00:00,a7f55481c60ce3a3,METIS,entry,0.0,0.999902995971054,-0.005074475371013909
2026-02-22 00:00:00+00:00,b1f63930fd9764a7,SKY,entry,0.0,0.999902995971054,-0.005074475371013909
2026-02-26 00:00:00+00:00,b1f63930fd9764a7,SKY,exit,-0.0027707784950796364,0.9971322174759744,-0.007831461057581035
2026-03-15 00:00:00+00:00,fa02034d51a61d7d,XPL,entry,0.0,0.9971322174759744,-0.007831461057581035
2026-03-21 00:00:00+00:00,fa02034d51a61d7d,XPL,exit,-0.003597543278387074,0.9935346741975872,-0.011411095930210613
2026-04-03 00:00:00+00:00,37153ca9fa3984fb,2Z,entry,0.0,0.9935346741975872,-0.011411095930210613
2026-04-04 00:00:00+00:00,a9e64df53bb94509,BLUR,entry,0.0,0.9935346741975872,-0.011411095930210613
2026-04-07 00:00:00+00:00,a9e64df53bb94509,BLUR,exit,-0.0028850961777666783,0.9906495780198206,-0.014281830231273496
2026-04-08 00:00:00+00:00,b6ede7617809684a,LINEA,entry,0.0,0.9906495780198206,-0.014281830231273496
2026-04-10 00:00:00+00:00,b925111f32b96705,LDO,entry,0.0,0.9906495780198206,-0.014281830231273496
2026-04-10 00:00:00+00:00,489f99f8436262ca,UMA,entry,0.0,0.9906495780198206,-0.014281830231273496
2026-04-18 00:00:00+00:00,a7f55481c60ce3a3,METIS,exit,-0.004046468528720415,0.9866031094911002,-0.0183081556248903
2026-04-28 00:00:00+00:00,a2a144a4ad02f28f,WCT,exit,0.004610595252640702,0.9912137047437409,-0.013720511704361171
2026-05-01 00:00:00+00:00,37153ca9fa3984fb,2Z,exit,0.0029650103340586663,0.9941787150777996,-0.010770261056018082
2026-05-01 00:00:00+00:00,489f99f8436262ca,UMA,exit,0.004106150188340158,0.9982848652661398,-0.006684551095351043
2026-05-01 00:00:00+00:00,b6ede7617809684a,LINEA,exit,0.0011792509242991819,0.999464116190439,-0.005511170428171286
2026-05-01 00:00:00+00:00,b925111f32b96705,LDO,exit,0.006480750411280204,1.0059448666017192,0.0
