stage,factor,value,params_key,breadth_level_min,breadth_change5_min,major_score_min,relative_score_min,context_mean_min,events,symbols,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_net_r,median_hold_bars,p95_net_bp,max_net_bp,positive_symbol_share,runner_armed_share,banked_any_share,top_score_decile_events,top_score_decile_mean_net_bp,week_clusters,week_cluster_signflip_p,mean_capped_net_r,median_net_r,p95_raw_net_r,positive_folds,total_folds,minimum_fold_events,robust_score_r,eligible,setups_before_context,setups_after_context,context_rejections,portfolio_candidate_events,portfolio_accepted_events,portfolio_capacity_rejections,portfolio_total_return,portfolio_closed_equity_max_drawdown,portfolio_maximum_concurrent_positions,portfolio_maximum_open_initial_risk_fraction,robust_gain_vs_stage_incumbent_r,stage_selected
1,breadth_level_min,-1.0,da207b79cd44,-1.0,-1.0,-1.0,-1.0,-1.0,71,37,-247.9622908627759,-267.9622908627759,-864.4203116727556,0.23943661971830985,0.6690172797681904,-0.21059450500937973,16.0,3000.4246127107035,8186.32081015158,0.32432432432432434,0.2535211267605634,0.2535211267605634,8,81.91126843984792,42,0.9329006709932901,-0.21059450500937973,-0.6659734719314311,2.167566172069545,3,8,5,-0.7183143400048604,True,74,74,0,71,70,1,-0.07389735266181963,-0.11572231963095592,6,0.030154264587108508,0.0,True
1,breadth_level_min,0.5,3c7f4f8f5e50,0.5,-1.0,-1.0,-1.0,-1.0,40,26,-362.92103009296125,-382.92103009296125,-966.006951809178,0.175,0.5502969437484262,-0.2799871353501091,8.5,2607.6874128117333,8186.32081015158,0.2692307692307692,0.2,0.2,4,81.27443855345008,27,0.979940200597994,-0.2799871353501091,-0.8137767350646753,2.360034474392154,2,8,1,-1.0814732613627094,False,74,41,33,40,40,0,-0.055695937810390506,-0.07620667687488303,5,0.025000000000000005,-0.363158921357849,False
1,breadth_level_min,0.6,20eef0474649,0.6,-1.0,-1.0,-1.0,-1.0,24,18,-447.84775785696917,-467.84775785696917,-791.5871801685603,0.20833333333333334,0.4443633042770162,-0.21115151422520703,9.0,2468.5799745217473,2679.2118033232055,0.2777777777777778,0.20833333333333334,0.20833333333333334,3,207.80389062958648,19,0.9225507744922551,-0.21115151422520703,-0.7672152405977737,2.1288022953552064,2,8,1,-1.1163911050875481,False,74,24,50,24,24,0,-0.025819314723900644,-0.04059686853286104,4,0.019978500899041626,-0.39807676508268774,False
1,breadth_level_min,0.7,8bfd29370bc4,0.7,-1.0,-1.0,-1.0,-1.0,18,15,-367.8279167305262,-387.8279167305262,-801.9524593674099,0.2222222222222222,0.5124957773694465,-0.10138953377688388,10.0,2615.216296023467,2679.2118033232055,0.26666666666666666,0.2222222222222222,0.2222222222222222,2,617.049824825548,15,0.8101864567121365,-0.10138953377688388,-0.626342797697017,2.7030101521408882,0,8,0,,False,74,18,56,18,18,0,-0.009700576048199627,-0.03025808863565438,4,0.020010749645403798,,False
2,breadth_change5_min,-1.0,da207b79cd44,-1.0,-1.0,-1.0,-1.0,-1.0,71,37,-247.9622908627759,-267.9622908627759,-864.4203116727556,0.23943661971830985,0.6690172797681904,-0.21059450500937973,16.0,3000.4246127107035,8186.32081015158,0.32432432432432434,0.2535211267605634,0.2535211267605634,8,81.91126843984792,42,0.9329006709932901,-0.21059450500937973,-0.6659734719314311,2.167566172069545,3,8,5,-0.7183143400048604,True,74,74,0,71,70,1,-0.07389735266181963,-0.11572231963095592,6,0.030154264587108508,0.0,False
2,breadth_change5_min,-0.02,134453bf1ef5,-1.0,-0.02,-1.0,-1.0,-1.0,42,27,-292.27924696986815,-312.2792469698682,-934.4475486128384,0.2857142857142857,0.6113508925311725,-0.2032155800834321,13.5,2455.1884378462273,3564.935086616444,0.37037037037037035,0.2857142857142857,0.2857142857142857,5,438.10253905038275,29,0.8890011099889001,-0.2032155800834321,-0.6331531068036148,2.035781457749545,2,8,3,-0.558027780800738,True,74,42,32,42,42,0,-0.04244482786575143,-0.06015496069789705,4,0.02,0.16028655920412238,False
2,breadth_change5_min,0.02,3bf2dbaa5f32,-1.0,0.02,-1.0,-1.0,-1.0,39,26,-219.06250600399517,-239.0625060039952,-841.1444701052085,0.3076923076923077,0.6887485009973985,-0.14801123136056543,16.0,2561.604007778944,3564.935086616444,0.38461538461538464,0.3076923076923077,0.3076923076923077,4,207.41236974774216,28,0.8506614933850661,-0.14801123136056543,-0.532870964951787,2.0935864899494874,2,8,3,-0.5036458729882627,True,74,39,35,39,39,0,-0.029028994535509,-0.04698558113089246,3,0.015004374443241606,0.2146684670165977,True
2,breadth_change5_min,0.05,43da9ee77271,-1.0,0.05,-1.0,-1.0,-1.0,33,22,-239.08770004081066,-259.08770004081066,-841.1444701052085,0.2727272727272727,0.6697512360815635,-0.150530770737122,9.0,2814.948479218694,3564.935086616444,0.3181818181818182,0.2727272727272727,0.2727272727272727,4,207.41236974774216,25,0.8068519314806852,-0.150530770737122,-0.532870964951787,2.1490712515395307,2,8,2,-0.44800223285649665,False,74,33,41,33,33,0,-0.024930053173333855,-0.03893913859254472,3,0.015000000000000001,0.27031210714836373,False
3,major_score_min,-1.0,3bf2dbaa5f32,-1.0,0.02,-1.0,-1.0,-1.0,39,26,-219.06250600399517,-239.0625060039952,-841.1444701052085,0.3076923076923077,0.6887485009973985,-0.14801123136056543,16.0,2561.604007778944,3564.935086616444,0.38461538461538464,0.3076923076923077,0.3076923076923077,4,207.41236974774216,28,0.8506614933850661,-0.14801123136056543,-0.532870964951787,2.0935864899494874,2,8,3,-0.5036458729882627,True,74,39,35,39,39,0,-0.029028994535509,-0.04698558113089246,3,0.015004374443241606,0.0,True
3,major_score_min,0.5,65636e537aba,-1.0,0.02,0.5,-1.0,-1.0,25,18,-514.4457272763188,-534.4457272763188,-1017.9261231201542,0.24,0.39741324223627006,-0.24088676080497307,8.0,2015.0021545192606,2477.155850632358,0.2777777777777778,0.24,0.24,3,-980.7499040281753,19,0.980220197798022,-0.24088676080497307,-0.7198146304422469,2.053521382181825,2,8,1,-0.8006765427931801,False,74,25,49,25,25,0,-0.029997750861982975,-0.034791244342494254,3,0.015000000000000001,-0.29703066980491744,False
