symbol,cohort,paths,path_receipts,source_rows_read,source_days_seen,complete_days,discarded_days,discarded_wrong_count,discarded_duplicate,discarded_off_grid,first_daily_bar,last_daily_bar,daily_prefix_sha256,phase_source_status,holdout_rows_read
CELO,legacy_and_current,"[""data/kline_preholdout_archive15m_202109_202306/okx_CELO_USDT_SWAP_15m_61851.csv"",""data/kline_fetched/okx_CELO_USDT_SWAP_15m_41912.csv""]","[{""path"":""data/kline_preholdout_archive15m_202109_202306/okx_CELO_USDT_SWAP_15m_61851.csv"",""prefix_sha256"":""8354cc49f737c604edb85fc2f72866d82076bf037d0e24bf54c716f90b999351"",""rows"":61851,""status"":""loaded_preholdout_prefix""},{""path"":""data/kline_fetched/okx_CELO_USDT_SWAP_15m_41912.csv"",""prefix_sha256"":""e769dc53ce67abb6e5e85b452184a6413a80a160cda7e6ebec20ca17cf47e895"",""rows"":31813,""status"":""loaded_preholdout_prefix""}]",93664,977.0,972,5,5.0,0.0,0.0,2021-09-25 00:00:00+00:00,2026-04-30 00:00:00+00:00,a8cd5b3b2272bc6ab56b2d4c1abebcbf8b3e2abd4c23550772db55a1cd13bb64,eligible,0
COAI,current_only,"[""data/kline_fetched/okx_COAI_USDT_SWAP_15m_29049.csv""]","[{""filename_rows"":29049,""path"":""data/kline_fetched/okx_COAI_USDT_SWAP_15m_29049.csv"",""prefix_sha256"":null,""rows"":0,""status"":""skipped_before_open_filename_history_below_30000""}]",0,,0,0,,,,,,,not_listed_yet,0
COMP,legacy_and_current,"[""data/kline_preholdout_archive15m_202109_202306/okx_COMP_USDT_SWAP_15m_64125.csv"",""data/kline_fetched/okx_COMP_USDT_SWAP_15m_41912.csv""]","[{""path"":""data/kline_preholdout_archive15m_202109_202306/okx_COMP_USDT_SWAP_15m_64125.csv"",""prefix_sha256"":""acf3dc227ed308f65015893064b4b6c685f3f4c48811b4fa3d5efa9b9c998796"",""rows"":64125,""status"":""loaded_preholdout_prefix""},{""path"":""data/kline_fetched/okx_COMP_USDT_SWAP_15m_41912.csv"",""prefix_sha256"":""c16590ec8fc4bf6f13d0093725e7c7135414344271d8d8ec48d830da252b1bb7"",""rows"":31813,""status"":""loaded_preholdout_prefix""}]",95938,1001.0,995,6,6.0,0.0,0.0,2021-09-01 00:00:00+00:00,2026-04-30 00:00:00+00:00,ed74f5ca01e44aac6ea9fea4be4971a3843b346df0d08e9a9b10166a88e21098,eligible,0
CRO,legacy_and_current,"[""data/kline_preholdout_archive15m_202109_202306/okx_CRO_USDT_SWAP_15m_64122.csv"",""data/kline_fetched/okx_CRO_USDT_SWAP_15m_41911.csv""]","[{""path"":""data/kline_preholdout_archive15m_202109_202306/okx_CRO_USDT_SWAP_15m_64122.csv"",""prefix_sha256"":""9aead308e94e2022d7493062fadbed06d7524ee4d83e962eb3f5973feda267dd"",""rows"":64122,""status"":""loaded_preholdout_prefix""},{""path"":""data/kline_fetched/okx_CRO_USDT_SWAP_15m_41911.csv"",""prefix_sha256"":""8e067570f2e635428008ffb384028be1ad81b2be82fb10a9a5818e50ff7da359"",""rows"":31812,""status"":""loaded_preholdout_prefix""}]",95934,1001.0,995,6,6.0,0.0,0.0,2021-09-01 00:00:00+00:00,2026-04-30 00:00:00+00:00,e7afcd135eedd5dc0ceac555f16bb2c22a94f6d257cc2549675b7c610317bfb5,eligible,0
CVX,current_only,"[""data/kline_fetched/okx_CVX_USDT_SWAP_15m_41911.csv""]","[{""path"":""data/kline_fetched/okx_CVX_USDT_SWAP_15m_41911.csv"",""prefix_sha256"":""a7ca4e2b994a05183ca0e6b830396de24f1ef7b005c6e7168ad5213d4cda1940"",""rows"":31812,""status"":""loaded_preholdout_prefix""}]",31812,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,66aeaba74cc35fd7ff8326d16fc241c06f5e75eaada8496afe0e326814c87639,eligible,0
DATA,current_only,"[""data/kline_fetched/okx_DATA_USDT_SWAP_15m_4097.csv""]","[{""filename_rows"":4097,""path"":""data/kline_fetched/okx_DATA_USDT_SWAP_15m_4097.csv"",""prefix_sha256"":null,""rows"":0,""status"":""skipped_before_open_filename_history_below_30000""}]",0,,0,0,,,,,,,not_listed_yet,0
EDEN,current_only,"[""data/kline_fetched/okx_EDEN_USDT_SWAP_15m_30501.csv""]","[{""path"":""data/kline_fetched/okx_EDEN_USDT_SWAP_15m_30501.csv"",""prefix_sha256"":""72dc4b6fc8542daf1574f2615f7d273c7118810df62c099cef9ad5e163144e76"",""rows"":20402,""status"":""loaded_preholdout_prefix""}]",20402,213.0,212,1,1.0,0.0,0.0,2025-10-01 00:00:00+00:00,2026-04-30 00:00:00+00:00,e193845f940beee47e52b7076b6b3406c81254f1903d47710d0f72ae5e940e97,eligible,0
ENS,legacy_and_current,"[""data/kline_preholdout_archive15m_202109_202306/okx_ENS_USDT_SWAP_15m_57240.csv"",""data/kline_fetched/okx_ENS_USDT_SWAP_15m_41910.csv""]","[{""path"":""data/kline_preholdout_archive15m_202109_202306/okx_ENS_USDT_SWAP_15m_57240.csv"",""prefix_sha256"":""645d06501fa599caa9800f193651efbf5317fc0dc2aba0a20d3b2a3ca805b224"",""rows"":57240,""status"":""loaded_preholdout_prefix""},{""path"":""data/kline_fetched/okx_ENS_USDT_SWAP_15m_41910.csv"",""prefix_sha256"":""6e8ae45d3b2fd23ab0295547a629a166702f12f53e7ea36e1c24e1681c82f1e2"",""rows"":31811,""status"":""loaded_preholdout_prefix""}]",89051,929.0,924,5,5.0,0.0,0.0,2021-11-12 00:00:00+00:00,2026-04-30 00:00:00+00:00,e2720e7b006e08c35385328be1707b3105befc29e257099db5eee94bc5bbaabf,eligible,0
ESP,current_only,"[""data/kline_fetched/okx_ESP_USDT_SWAP_15m_17715.csv""]","[{""filename_rows"":17715,""path"":""data/kline_fetched/okx_ESP_USDT_SWAP_15m_17715.csv"",""prefix_sha256"":null,""rows"":0,""status"":""skipped_before_open_filename_history_below_30000""}]",0,,0,0,,,,,,,not_listed_yet,0
F,current_only,"[""data/kline_fetched/okx_F_USDT_SWAP_15m_28115.csv""]","[{""filename_rows"":28115,""path"":""data/kline_fetched/okx_F_USDT_SWAP_15m_28115.csv"",""prefix_sha256"":null,""rows"":0,""status"":""skipped_before_open_filename_history_below_30000""}]",0,,0,0,,,,,,,not_listed_yet,0
