symbol,source_cohort,events,symbols,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_net_r,median_hold_bars,p95_net_bp,max_net_bp,positive_symbol_share,runner_armed_share,banked_any_share,top_score_decile_events,top_score_decile_mean_net_bp,week_clusters,week_cluster_signflip_p,mean_capped_net_r,median_net_r,p95_raw_net_r
2Z,current_only,1,1,780.7060654986066,760.7060654986066,760.7060654986066,1.0,inf,0.5968609674248784,28.0,760.7060654986066,760.7060654986066,1.0,1.0,1.0,1,760.7060654986066,1,0.6666666666666666,0.5968609674248784,0.5968609674248784,0.5968609674248784
AR,current_only,1,1,-1320.7879531039034,-1340.7879531039034,-1340.7879531039034,0.0,0.0,-1.0151424760901238,3.0,-1340.7879531039034,-1340.7879531039034,0.0,0.0,0.0,1,-1340.7879531039034,1,1.0,-1.0151424760901238,-1.0151424760901238,-1.0151424760901238
BLUR,legacy_and_current,1,1,-975.7330637007067,-995.7330637007067,-995.7330637007067,0.0,0.0,-0.580774129518284,3.0,-995.7330637007067,-995.7330637007067,0.0,0.0,0.0,1,-995.7330637007067,1,1.0,-0.580774129518284,-0.580774129518284,-0.580774129518284
CELO,legacy_and_current,1,1,-1084.165477888729,-1104.165477888729,-1104.165477888729,0.0,0.0,-0.7979041662907784,6.0,-1104.165477888729,-1104.165477888729,0.0,0.0,0.0,1,-1104.165477888729,1,1.0,-0.7979041662907784,-0.7979041662907784,-0.7979041662907784
COMP,legacy_and_current,1,1,2721.6768929329173,2701.6768929329173,2701.6768929329173,1.0,inf,1.6476859827028114,90.0,2701.6768929329173,2701.6768929329173,1.0,1.0,1.0,1,2701.6768929329173,1,0.6666666666666666,1.6476859827028114,1.6476859827028114,1.6476859827028114
ENS,legacy_and_current,1,1,2455.0579280219595,2435.0579280219595,2435.0579280219595,1.0,inf,1.3284478650951523,42.0,2435.0579280219595,2435.0579280219595,1.0,1.0,1.0,1,2435.0579280219595,1,0.6666666666666666,1.3284478650951523,1.3284478650951523,1.3284478650951523
ICX,current_only,1,1,-1152.140064290683,-1172.140064290683,-1172.140064290683,0.0,0.0,-1.0173590005415818,2.0,-1172.140064290683,-1172.140064290683,0.0,0.0,0.0,1,-1172.140064290683,1,1.0,-1.0173590005415818,-1.0173590005415818,-1.0173590005415818
LDO,current_only,1,1,1607.2793389309509,1587.2793389309509,1587.2793389309509,1.0,inf,1.3083840250019345,21.0,1587.2793389309509,1587.2793389309509,1.0,1.0,1.0,1,1587.2793389309509,1,0.6666666666666666,1.3083840250019345,1.3083840250019345,1.3083840250019345
LINEA,current_only,1,1,325.7707969749868,305.77079697498675,305.77079697498675,1.0,inf,0.23807629871631314,23.0,305.77079697498675,305.77079697498675,1.0,0.0,0.0,1,305.77079697498675,1,0.6666666666666666,0.23807629871631314,0.23807629871631314,0.23807629871631314
METIS,current_only,1,1,-1707.173244577037,-1727.173244577037,-1727.173244577037,0.0,0.0,-0.8093722181101567,77.0,-1727.173244577037,-1727.173244577037,0.0,1.0,1.0,1,-1727.173244577037,1,1.0,-0.8093722181101567,-0.8093722181101567,-0.8093722181101567
QTUM,legacy_and_current,1,1,-709.4386181369528,-729.4386181369528,-729.4386181369528,0.0,0.0,-0.6562019721130621,7.0,-729.4386181369528,-729.4386181369528,0.0,0.0,0.0,1,-729.4386181369528,1,1.0,-0.6562019721130621,-0.6562019721130621,-0.6562019721130621
SKY,current_only,1,1,-711.9489016980851,-731.9489016980851,-731.9489016980851,0.0,0.0,-0.5542094595663852,4.0,-731.9489016980851,-731.9489016980851,0.0,0.0,0.0,1,-731.9489016980851,1,1.0,-0.5542094595663852,-0.5542094595663852,-0.5542094595663852
SNX,legacy_and_current,1,1,-2334.8351302754754,-2354.8351302754754,-2354.8351302754754,0.0,0.0,-1.008565915314817,18.0,-2354.8351302754754,-2354.8351302754754,0.0,0.0,0.0,1,-2354.8351302754754,1,1.0,-1.008565915314817,-1.008565915314817,-1.008565915314817
UMA,legacy_and_current,1,1,994.1736196949673,974.1736196949672,974.1736196949672,1.0,inf,0.8289813632279169,21.0,974.1736196949672,974.1736196949672,1.0,0.0,1.0,1,974.1736196949672,1,0.6666666666666666,0.8289813632279169,0.8289813632279169,0.8289813632279169
WCT,current_only,1,1,2227.3262539790876,2207.3262539790876,2207.3262539790876,1.0,inf,0.9222085084689903,90.0,2207.3262539790876,2207.3262539790876,1.0,0.0,1.0,1,2207.3262539790876,1,0.6666666666666666,0.9222085084689903,0.9222085084689903,0.9222085084689903
XPL,current_only,1,1,-1451.0124398438218,-1471.0124398438218,-1471.0124398438218,0.0,0.0,-0.7215779844108298,6.0,-1471.0124398438218,-1471.0124398438218,0.0,0.0,0.0,1,-1471.0124398438218,1,1.0,-0.7215779844108298,-0.7215779844108298,-0.7215779844108298
YGG,legacy_and_current,1,1,5388.882043744086,5368.882043744086,5368.882043744086,1.0,inf,1.5006953970633274,90.0,5368.882043744086,5368.882043744086,1.0,1.0,1.0,1,5368.882043744086,1,0.6666666666666666,1.5006953970633274,1.5006953970633274,1.5006953970633274
