arm,signal_i,status,blocking_trade,symbol,asset,timeframe,signal_bar_open
v9_long,1557,closed,,DASHUSDT,DASH,4h,2024-09-19 12:00:00+00:00
v9_long,1843,closed,,DASHUSDT,DASH,4h,2024-11-06 04:00:00+00:00
v9_long,3317,closed,,DASHUSDT,DASH,4h,2025-07-09 20:00:00+00:00
box_htf,1608,closed,,DASHUSDT,DASH,4h,2024-09-28 00:00:00+00:00
box_htf,1860,closed,,DASHUSDT,DASH,4h,2024-11-09 00:00:00+00:00
box_chart,1605,closed,,DASHUSDT,DASH,4h,2024-09-27 12:00:00+00:00
box_chart,3378,closed,,DASHUSDT,DASH,4h,2025-07-20 00:00:00+00:00
box_any,1605,closed,,DASHUSDT,DASH,4h,2024-09-27 12:00:00+00:00
box_any,1860,closed,,DASHUSDT,DASH,4h,2024-11-09 00:00:00+00:00
box_any,3378,closed,,DASHUSDT,DASH,4h,2025-07-20 00:00:00+00:00
