trade_key,arm,matched,reason,control_signal_i,control_signal_bar_open,control_net_r,control_net_return,control_exit_time,month,vol_bin,fold
binance_um:DASHUSDT:4h:v9_long:1557,v9_long,True,matched,1614,2024-09-29 00:00:00+00:00,-1.0516969696969705,-0.0406869871043376,2024-09-30 00:00:00+00:00,2024-09,2,earlier
binance_um:DASHUSDT:4h:v9_long:1843,v9_long,True,matched,1944,2024-11-23 00:00:00+00:00,10.823262626262645,0.7150503837170505,2024-12-09 20:00:00+00:00,2024-11,3,earlier
binance_um:DASHUSDT:4h:v9_long:3317,v9_long,True,matched,3321,2025-07-10 12:00:00+00:00,3.370508474576276,0.09606763285024167,2025-07-24 04:00:00+00:00,2025-07,2,earlier
binance_um:DASHUSDT:4h:box_htf:1608,box_htf,True,matched,1573,2024-09-22 04:00:00+00:00,-1.0618518518518527,-0.03433532934131733,2024-09-30 20:00:00+00:00,2024-09,2,earlier
binance_um:DASHUSDT:4h:box_htf:1860,box_htf,True,matched,1826,2024-11-03 08:00:00+00:00,39.63549333333334,1.370521899492854,2024-12-09 20:00:00+00:00,2024-11,2,earlier
binance_um:DASHUSDT:4h:box_chart:1605,box_chart,True,matched,1611,2024-09-28 12:00:00+00:00,-1.050310679611652,-0.04175299112311859,2024-09-30 00:00:00+00:00,2024-09,2,earlier
binance_um:DASHUSDT:4h:box_chart:3378,box_chart,True,matched,3329,2025-07-11 20:00:00+00:00,0.9436000000000012,0.04113905461220746,2025-07-24 04:00:00+00:00,2025-07,3,earlier
binance_um:DASHUSDT:4h:box_any:1605,box_any,True,matched,1616,2024-09-29 08:00:00+00:00,-1.0518979591836748,-0.0405371608336611,2024-09-30 20:00:00+00:00,2024-09,2,earlier
binance_um:DASHUSDT:4h:box_any:1860,box_any,True,matched,1822,2024-11-02 16:00:00+00:00,-1.0609863013698648,-0.034794249775381925,2024-11-03 12:00:00+00:00,2024-11,2,earlier
binance_um:DASHUSDT:4h:box_any:3378,box_any,True,matched,3444,2025-07-31 00:00:00+00:00,-1.0275796178343952,-0.07451732101616615,2025-08-01 20:00:00+00:00,2025-07,3,earlier
