trade_key,arm,matched,reason,control_signal_i,control_signal_bar_open,control_net_r,control_net_return,control_exit_time,month,vol_bin,fold
binance_um:PENDLEUSDT:4h:v9_long:1502,v9_long,True,matched,1507,2024-09-11 04:00:00+00:00,-0.3171389195148833,-0.01817949123084206,2024-09-18 12:00:00+00:00,2024-09,3,earlier
binance_um:PENDLEUSDT:4h:v9_long:1797,v9_long,True,matched,1737,2024-10-19 12:00:00+00:00,-1.026896258503401,-0.07635978501422702,2024-10-25 20:00:00+00:00,2024-10,3,earlier
binance_um:PENDLEUSDT:4h:v9_long:2941,v9_long,True,matched,2979,2025-05-14 12:00:00+00:00,-1.0235220338983049,-0.08702666090214728,2025-05-15 04:00:00+00:00,2025-05,3,earlier
binance_um:PENDLEUSDT:4h:v9_long:3138,v9_long,True,matched,3203,2025-06-20 20:00:00+00:00,-1.0289279493269998,-0.0711372892489599,2025-06-22 08:00:00+00:00,2025-06,3,earlier
binance_um:PENDLEUSDT:4h:v9_long:3738,v9_long,True,matched,3806,2025-09-29 08:00:00+00:00,-1.0421179648806838,-0.049485675190284795,2025-09-30 16:00:00+00:00,2025-09,3,later
binance_um:PENDLEUSDT:4h:v9_long:3851,v9_long,True,matched,3985,2025-10-29 04:00:00+00:00,-1.0376495083863513,-0.05512154356642496,2025-10-30 12:00:00+00:00,2025-10,3,later
binance_um:PENDLEUSDT:4h:v9_long:4778,v9_long,True,matched,4793,2026-03-12 20:00:00+00:00,-0.12605900621118102,-0.006447621316813644,2026-03-18 20:00:00+00:00,2026-03,3,later
binance_um:PENDLEUSDT:4h:joint:4817,v10_4,True,matched,4725,2026-03-01 12:00:00+00:00,-1.0261997961264009,-0.07833647186989323,2026-03-08 00:00:00+00:00,2026-03,3,later
binance_um:PENDLEUSDT:4h:box_chart:4817,box_chart,True,matched,4870,2026-03-25 16:00:00+00:00,-1.0381418020679478,-0.05443590736581205,2026-03-26 08:00:00+00:00,2026-03,3,later
binance_um:PENDLEUSDT:4h:box_any:4817,box_any,True,matched,4789,2026-03-12 04:00:00+00:00,-1.0454808362369343,-0.04597456523404575,2026-03-12 12:00:00+00:00,2026-03,3,later
