arm,signal_i,status,blocking_trade,symbol,asset,timeframe,signal_bar_open
v9_long,1502,closed,,PENDLEUSDT,PENDLE,4h,2024-09-10 08:00:00+00:00
v9_long,1797,closed,,PENDLEUSDT,PENDLE,4h,2024-10-29 12:00:00+00:00
v9_long,2941,closed,,PENDLEUSDT,PENDLE,4h,2025-05-08 04:00:00+00:00
v9_long,2974,skipped_in_position,binance_um:PENDLEUSDT:4h:v9_long:2941,PENDLEUSDT,PENDLE,4h,2025-05-13 16:00:00+00:00
v9_long,3138,closed,,PENDLEUSDT,PENDLE,4h,2025-06-10 00:00:00+00:00
v9_long,3738,closed,,PENDLEUSDT,PENDLE,4h,2025-09-18 00:00:00+00:00
v9_long,3851,closed,,PENDLEUSDT,PENDLE,4h,2025-10-06 20:00:00+00:00
v9_long,4778,closed,,PENDLEUSDT,PENDLE,4h,2026-03-10 08:00:00+00:00
v9_long,4815,skipped_in_position,binance_um:PENDLEUSDT:4h:v9_long:4778,PENDLEUSDT,PENDLE,4h,2026-03-16 12:00:00+00:00
v10_4,4817,closed,,PENDLEUSDT,PENDLE,4h,2026-03-16 20:00:00+00:00
box_chart,4817,closed,,PENDLEUSDT,PENDLE,4h,2026-03-16 20:00:00+00:00
box_any,4817,closed,,PENDLEUSDT,PENDLE,4h,2026-03-16 20:00:00+00:00
