币种,交易所,周期_分钟,入场时间_北京,原交易净R,不加仓最高资金U,一次加仓最高资金U,两次加仓最高资金U,两次加仓净利润U,本金倍数,实际加仓次数,退出所在K线_北京,退出价格,最低维持保证金余量U,该币入选笔数,失败笔数,真实交易所不爆仓状态,事件ID
BEAT,binance,240,2026-05-22 00:00:00+08:00,38.52565095003522,12416.626642361172,148224.2519604732,1174044.9155731308,1173944.9155731308,11740.449155731309,2,2026-06-13 00:00:00+08:00,11.5699,0.0100000099976114,3,0,unknown,binance_240m_6c7fb254f200c7dc:1139:1
RAVE,okx,30,2026-04-07 21:00:00+08:00,104.44422189992773,10167.150964640809,91423.22322440638,581637.5999393737,581537.5999393737,5816.3759993937365,2,2026-04-11 16:00:00+08:00,2.21,0.0100000099932913,2,0,unknown,okx_30m_5b3217876ee2c465:5433:1
XLM,gate,240,2024-11-06 16:00:00+08:00,68.11821231422518,8492.849727111063,76092.57222326894,397598.3211725702,397498.3211725702,3975.9832117257024,2,2024-11-24 08:00:00+08:00,0.63691,0.0100000099999704,1,0,unknown,gate_240m_ac59d84cd2f11b7f:2605:1
XRP,binance,240,2024-11-06 16:00:00+08:00,50.11397553516827,6486.894782576572,53361.37601270264,272660.94114472216,272560.94114472216,2726.6094114472216,2,2024-12-03 20:00:00+08:00,2.916,0.0100000099986345,6,0,unknown,binance_240m_6fe148c017edb3ea:2605:1
PENGU,okx,240,2025-06-28 12:00:00+08:00,14.567558930741178,5579.483445503871,40566.22972070538,182825.76214296205,182725.76214296205,1828.2576214296205,2,2025-07-23 08:00:00+08:00,0.046643,0.0100000099846511,6,0,unknown,okx_240m_0ed2fb228b00ce17:1154:1
OMNI,binance,30,2025-07-10 04:30:00+08:00,54.35695238095234,4924.925975323527,31845.979177293124,126875.93964602728,126775.93964602728,1268.759396460273,2,2025-07-11 13:00:00+08:00,5.468,0.0100000099573662,1,0,unknown,binance_30m_945f5a836eff0a10:21516:1
BROCCOLI714,binance,30,2025-12-30 23:30:00+08:00,84.98651282051289,8757.286923207237,41652.5035495358,125579.67680962758,125479.67680962758,1255.7967680962759,2,2026-01-01 04:00:00+08:00,0.09096,0.0100000099910175,1,0,unknown,binance_30m_525e483bcf6b1639:13644:1
VELVET,binance,30,2026-06-25 06:00:00+08:00,42.314263345195805,3685.404655958214,26371.74213578155,121525.79691354446,121425.79691354446,1215.2579691354447,2,2026-06-29 10:30:00+08:00,2.1701,0.0100000099998283,3,0,unknown,binance_30m_03286464f6bac3f3:16536:1
IOTA,gate,240,2024-11-12 04:00:00+08:00,21.618976000000043,3070.465672414561,23220.437953201632,108859.19617960636,108759.19617960636,1088.5919617960635,2,2024-12-04 08:00:00+08:00,0.62894,0.0100000099999419,5,0,unknown,gate_240m_5b5f2901a678acc9:2638:1
ADA,binance,240,2024-11-06 16:00:00+08:00,20.532739393939412,3725.828106619079,24701.535133002853,101854.4812396929,101754.4812396929,1018.544812396929,2,2024-12-03 08:00:00+08:00,1.329,0.0100000099537282,5,0,unknown,binance_240m_4cd0a68b30b5fe39:2605:1
NEIROETH,binance,30,2025-04-21 10:00:00+08:00,46.29932467532469,3787.115681116018,23465.12827283449,98336.4529936604,98236.4529936604,983.364529936604,2,2025-04-24 01:00:00+08:00,0.07314,0.0100000099986345,1,0,unknown,binance_30m_7ec91811cf3454c4:10871:1
NKN,binance,30,2025-04-18 10:00:00+08:00,55.383368421052374,4666.834152649785,22685.005096105095,95530.22336491568,95430.22336491568,955.3022336491568,2,2025-04-20 13:00:00+08:00,0.05799,0.0100000099988619,1,0,unknown,binance_30m_754b50fb6d69d1dd:28659:1
MAGIC,okx,60,2025-04-18 19:00:00+08:00,38.0270948012233,3882.1307705619274,22227.39567178412,87707.32412621284,87607.32412621284,877.0732412621285,2,2025-04-21 21:00:00+08:00,0.2752,0.0100000099537282,2,0,unknown,okx_60m_8248d272437179f5:14338:1
SPACE,binance,30,2026-02-12 02:30:00+08:00,24.93162790697679,3876.913180053317,21593.182623588906,85827.26281078545,85727.26281078545,858.2726281078545,2,2026-02-15 14:00:00+08:00,0.015993,0.0100000099528188,1,0,unknown,binance_30m_3dd223bcc6440067:924:1
LQTY,gate,240,2024-11-06 16:00:00+08:00,13.809623250807324,3604.7143187642505,22020.647995046824,85029.37053695731,84929.37053695731,850.2937053695731,2,2024-12-08 04:00:00+08:00,2.8803,0.010000009999203,3,0,unknown,gate_240m_9dca8664b2289672:2605:1
MAVIA,binance,60,2025-10-26 02:00:00+08:00,39.94574803149628,3971.344829703336,21657.125422343743,84030.51266803723,83930.51266803723,840.3051266803724,2,2025-10-27 22:00:00+08:00,0.26749,0.0100000099984072,1,0,unknown,binance_60m_b1d1dead1a4f7c30:5112:1
BLESS,binance,240,2026-04-10 04:00:00+08:00,15.2576346381969,3429.129533449069,24079.92058859099,82274.13898826335,82174.13898826335,822.7413898826335,2,2026-04-14 04:00:00+08:00,0.034666,0.0100000099983503,3,0,unknown,binance_240m_daf5eaf8f01a2cbf:1189:1
MOVR,binance,30,2026-04-16 10:00:00+08:00,50.11042424242438,4488.021963089393,21352.471828266032,81446.85674596521,81346.85674596521,814.4685674596521,2,2026-04-17 15:30:00+08:00,4.244,0.0100000099980661,1,0,unknown,binance_30m_3c80f4668c5cb2e5:40394:1
HNT,gate,240,2026-08-25 16:00:00+08:00,21.6225792349727,3597.76789838949,18066.47033354888,78800.5163820649,78700.5163820649,788.005163820649,2,2026-08-30 20:00:00+08:00,0.9829,0.0100000099869248,1,0,unknown,gate_240m_adfa3c7d10dc15cc:6547:1
RAY,gate,240,2024-10-14 08:00:00+08:00,25.830935361216746,3295.64696075431,18585.979424247565,77724.80102215437,77624.80102215437,777.2480102215436,2,2024-11-09 16:00:00+08:00,5.999,0.0100000099537282,3,0,unknown,gate_240m_d1bd3cd2e845c871:2465:1
DASH,binance,240,2024-11-06 16:00:00+08:00,19.801527777777817,3144.0600206478616,18848.729241482735,72611.83311428475,72511.83311428475,726.1183311428474,2,2024-12-06 04:00:00+08:00,71.67,0.0100000099673707,3,0,unknown,binance_240m_f519afbd1fb3d3b5:2605:1
CFX,okx,240,2025-07-10 08:00:00+08:00,20.600948717948796,3400.592184372915,17326.831844295593,71987.56765923086,71887.56765923086,719.8756765923085,2,2025-07-21 00:00:00+08:00,0.25178,0.0100000099755561,4,0,unknown,okx_240m_da576a36835de2f3:4079:1
BOME,okx,240,2026-07-24 00:00:00+08:00,17.83156024096386,2413.705468961807,16122.98829339243,66077.00507815993,65977.00507815993,660.7700507815993,2,2026-08-21 16:00:00+08:00,0.001569,0.010000009991927,3,0,unknown,okx_240m_0a9122f6638449bb:4242:1
M,binance,240,2026-03-17 00:00:00+08:00,11.193503538377794,2944.2457525887453,16778.907816843683,58618.50731413714,58518.50731413714,586.1850731413714,2,2026-04-18 08:00:00+08:00,4.7789,0.0100000099999704,2,0,unknown,binance_240m_beb8267322ddef20:1512:1
BROCCOLIF3B,binance,30,2025-04-11 04:30:00+08:00,21.505793322734466,2859.3806101442233,16137.40570340236,58539.12508440217,58439.12508440217,585.3912508440217,2,2025-04-13 05:00:00+08:00,0.0415,0.0100000099974977,1,0,unknown,binance_30m_0de60721a7664b2f:981:1
PROM,gate,240,2026-04-10 16:00:00+08:00,10.6947894736842,2855.165605973342,15546.484405219406,55819.93868155058,55719.93868155058,558.1993868155058,2,2026-04-27 12:00:00+08:00,3.12,0.0100000100001125,2,0,unknown,gate_240m_ef72054c815f15c7:5725:1
SOON,okx,240,2025-10-01 08:00:00+08:00,12.192616604970908,3216.3927785306455,14278.42934875291,52455.597653615456,52355.597653615456,524.5559765361545,2,2025-10-20 00:00:00+08:00,1.07581,0.0100000099801036,2,0,unknown,okx_240m_5f66e3e1e6845e66:782:1
ALPINE,binance,60,2025-09-24 23:00:00+08:00,29.40900603136311,2717.468477109808,14962.637285891333,52172.63292133637,52072.63292133637,521.7263292133637,2,2025-09-27 16:00:00+08:00,6.2048,0.0100000099976114,2,0,unknown,binance_60m_3863b3a1f71db9dd:3388:1
COTI,binance,30,2026-07-27 18:30:00+08:00,36.2142829268292,2949.4064695743914,14565.327073972743,51559.088609446,51459.088609446,515.59088609446,2,2026-07-30 10:00:00+08:00,0.020489,0.0100000099998567,1,0,unknown,binance_30m_0f1035d8987b9127:50996:1
