tip_i,signal_i,box_start_i,box_end_i,conf,price_low,price_high,tip_time,signal_time
3240,3240,3228,3240,0.7922272682189941,2294.1393206568555,2308.039135426739,2026-05-01 20:51:00+00:00,2026-05-01 20:51:00+00:00
5029,5029,5018,5029,0.43553030490875244,2374.6257623803635,2395.7104302170746,2026-05-05 14:18:00+00:00,2026-05-05 14:18:00+00:00
6011,6011,5999,6011,0.7930518388748169,2287.766538009423,2333.3884499100423,2026-05-07 15:24:00+00:00,2026-05-07 15:24:00+00:00
6229,6229,6218,6229,0.42259982228279114,2277.2155593703524,2292.547588294602,2026-05-08 02:18:00+00:00,2026-05-08 02:18:00+00:00
6448,6448,6437,6448,0.3079850375652313,2281.600993964799,2294.7564993519923,2026-05-08 13:15:00+00:00,2026-05-08 13:15:00+00:00
7561,7561,7549,7561,0.8008231520652771,2336.994815739298,2368.0820369723097,2026-05-10 20:54:00+00:00,2026-05-10 20:54:00+00:00
7691,7691,7675,7691,0.7628710865974426,2332.1456381309076,2363.9304143708337,2026-05-11 03:24:00+00:00,2026-05-11 03:24:00+00:00
9655,9655,9645,9655,0.7880456447601318,2253.2039167226517,2285.1915952332374,2026-05-15 05:36:00+00:00,2026-05-15 05:36:00+00:00
11270,11270,11257,11270,0.462901771068573,2120.2018633123316,2146.944378525813,2026-05-18 14:21:00+00:00,2026-05-18 14:21:00+00:00
11750,11750,11738,11750,0.5066731572151184,2110.039744158184,2121.3919814211117,2026-05-19 14:21:00+00:00,2026-05-19 14:21:00+00:00
13190,13190,13177,13190,0.6315205097198486,2122.9843000149035,2132.7326655546235,2026-05-22 14:21:00+00:00,2026-05-22 14:21:00+00:00
13278,13278,13265,13278,0.8508887887001038,2111.698766261454,2126.623200331487,2026-05-22 18:45:00+00:00,2026-05-22 18:45:00+00:00
13299,13299,13286,13299,0.7264797687530518,2068.5703639619333,2132.6613687229906,2026-05-22 19:48:00+00:00,2026-05-22 19:48:00+00:00
13539,13539,13527,13539,0.38204097747802734,2048.3725238181028,2070.5365377858498,2026-05-23 07:48:00+00:00,2026-05-23 07:48:00+00:00
15132,15132,15119,15132,0.35033735632896423,2104.1546235270353,2130.1480817660813,2026-05-26 15:27:00+00:00,2026-05-26 15:27:00+00:00
15394,15394,15382,15394,0.6257335543632507,2065.0511518637168,2076.0403470506217,2026-05-27 04:33:00+00:00,2026-05-27 04:33:00+00:00
15743,15743,15730,15743,0.7985119223594666,2032.2034091381067,2068.0482785833437,2026-05-27 22:00:00+00:00,2026-05-27 22:00:00+00:00
15852,15852,15841,15852,0.6530472040176392,2001.1112337087702,2035.0130217316246,2026-05-28 03:27:00+00:00,2026-05-28 03:27:00+00:00
16551,16551,16538,16551,0.6781861782073975,1988.6439287451547,2011.531033242905,2026-05-29 14:24:00+00:00,2026-05-29 14:24:00+00:00
16834,16834,16822,16834,0.715866208076477,2010.0237595049837,2020.3194491025924,2026-05-30 04:33:00+00:00,2026-05-30 04:33:00+00:00
17511,17511,17499,17511,0.6682482361793518,2015.5800543520102,2024.1692632658498,2026-05-31 14:24:00+00:00,2026-05-31 14:24:00+00:00
18471,18471,18459,18471,0.8499554991722107,1961.5276233583513,1983.1572217372814,2026-06-02 14:24:00+00:00,2026-06-02 14:24:00+00:00
19169,19169,19155,19169,0.35267454385757446,1780.9552464125686,1832.5518090960834,2026-06-04 01:18:00+00:00,2026-06-04 01:18:00+00:00
19584,19584,19573,19584,0.38948363065719604,1755.2035868107655,1778.0150532913551,2026-06-04 22:03:00+00:00,2026-06-04 22:03:00+00:00
19737,19737,19727,19737,0.6755759716033936,1716.8286866678307,1753.4961138430526,2026-06-05 05:42:00+00:00,2026-06-05 05:42:00+00:00
21831,21831,21817,21831,0.8073593378067017,1655.0404280581092,1679.3334396885673,2026-06-09 14:24:00+00:00,2026-06-09 14:24:00+00:00
22071,22071,22057,22071,0.3648304343223572,1631.2738098494788,1650.0804057133337,2026-06-10 02:24:00+00:00,2026-06-10 02:24:00+00:00
22377,22377,22365,22377,0.7610999345779419,1630.6376876183183,1649.2711892232012,2026-06-10 17:42:00+00:00,2026-06-10 17:42:00+00:00
22464,22464,22451,22464,0.7457700371742249,1610.7805751387,1639.2995541612358,2026-06-10 22:03:00+00:00,2026-06-10 22:03:00+00:00
24995,24995,24983,24995,0.6212868690490723,1767.1277995396665,1793.6306232185636,2026-06-16 04:36:00+00:00,2026-06-16 04:36:00+00:00
25192,25192,25181,25192,0.8192639946937561,1787.8065832812524,1809.1011075088309,2026-06-16 14:27:00+00:00,2026-06-16 14:27:00+00:00
26174,26174,26161,26174,0.8839764595031738,1724.8330606736442,1747.9856696838021,2026-06-18 15:33:00+00:00,2026-06-18 15:33:00+00:00
28072,28072,28058,28072,0.8186090588569641,1748.6801085513234,1775.550652097421,2026-06-22 14:27:00+00:00,2026-06-22 14:27:00+00:00
29010,29010,29002,29010,0.5707674622535706,1660.552892179919,1679.0879518329598,2026-06-24 13:21:00+00:00,2026-06-24 13:21:00+00:00
29752,29752,29737,29752,0.5349384546279907,1538.7242948367875,1574.8459865451948,2026-06-26 02:27:00+00:00,2026-06-26 02:27:00+00:00
30996,30996,30983,30996,0.5241421461105347,1575.165153256297,1582.083288416744,2026-06-28 16:39:00+00:00,2026-06-28 16:39:00+00:00
31869,31869,31855,31869,0.7922072410583496,1573.7557761587755,1590.5745747211017,2026-06-30 12:18:00+00:00,2026-06-30 12:18:00+00:00
32567,32567,32555,32567,0.6630593538284302,1615.2405648079982,1632.571801686065,2026-07-01 23:12:00+00:00,2026-07-01 23:12:00+00:00
32589,32589,32576,32589,0.3716302514076233,1604.0718756418237,1627.266901197326,2026-07-02 00:18:00+00:00,2026-07-02 00:18:00+00:00
34749,34749,34741,34749,0.3432419002056122,1754.8517285962287,1773.477262703181,2026-07-06 12:18:00+00:00,2026-07-06 12:18:00+00:00
36713,36713,36697,36713,0.496368408203125,1789.4517186417957,1803.2458695958658,2026-07-10 14:30:00+00:00,2026-07-10 14:30:00+00:00
37826,37826,37813,37826,0.7972025871276855,1807.5200615638114,1822.7872291947676,2026-07-12 22:09:00+00:00,2026-07-12 22:09:00+00:00
37935,37935,37922,37935,0.3403783142566681,1786.905642887426,1822.6405303941913,2026-07-13 03:36:00+00:00,2026-07-13 03:36:00+00:00
39899,39899,39887,39899,0.4723607897758484,1833.2173846766752,1860.8145223447336,2026-07-17 05:48:00+00:00,2026-07-17 05:48:00+00:00
44831,44831,44822,44831,0.4893534183502197,1955.1494615777528,1967.6038207492193,2026-07-27 12:24:00+00:00,2026-07-27 12:24:00+00:00
44874,44874,44867,44874,0.7654919028282166,1947.9030417224426,1965.1515560687153,2026-07-27 14:33:00+00:00,2026-07-27 14:33:00+00:00
45333,45333,45322,45333,0.3627799153327942,1875.5780686743199,1890.341779764811,2026-07-28 13:30:00+00:00,2026-07-28 13:30:00+00:00
