fold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,banked_events,banked_to_nonpositive_events,banked_to_nonpositive_share,runner_armed_events,runner_armed_to_nonpositive_events,runner_armed_to_nonpositive_share,actual_mfe_2atr_events,actual_mfe_2atr_to_nonpositive_share,median_giveback_atr,p95_net_bp,mean_banked_gross_bp,profit_floor_gap_breaches,policy
2023H1,46,0.05660723533523579,-19.943392764664768,-55.98237927493753,0.30434782608695654,0.6170193272675102,0.005353600982332285,-0.17753567846931861,24.0,116.60607878274358,387.20935387343445,0.34307881719633165,19,5,0.2631578947368421,21,7,0.3333333333333333,25,0.44,3.799082240011119,173.21781942054088,15.165064074817668,0,streak_harvest_v11
2023H2,41,1.0593318471826547,-18.94066815281735,-63.78051746209866,0.1951219512195122,0.6213395769762674,-0.1905373435707748,-0.22983685447635072,16.0,53.396724775488686,710.647742323917,0.33122023498327857,11,4,0.36363636363636365,13,5,0.38461538461538464,18,0.5555555555555556,2.757717042399658,120.05224379896319,12.953239625235213,0,streak_harvest_v11
2024H1,47,2.8175600620873222,-17.182439937912683,-68.47842662785595,0.3191489361702128,0.7224740490526411,-0.05790017909111367,-0.15043451879272196,22.0,193.54091782874508,598.3968811389252,0.3063844225903413,21,6,0.2857142857142857,22,7,0.3181818181818182,24,0.375,3.124517916501566,274.53293542437183,17.581283956036767,0,streak_harvest_v11
2024H2,48,-13.351600158183631,-33.351600158183636,-81.887482137844,0.2916666666666667,0.5320479121249936,-0.15095747311220686,-0.1589715665985546,16.0,138.14973962237593,330.19373249616694,0.2995077013674393,19,5,0.2631578947368421,21,7,0.3333333333333333,23,0.391304347826087,3.1856643836374374,286.90177732229813,15.532698886968962,0,streak_harvest_v11
