adverse_color_streak_bars,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,banked_events,banked_to_nonpositive_events,banked_to_nonpositive_share,runner_armed_events,runner_armed_to_nonpositive_events,runner_armed_to_nonpositive_share,actual_mfe_2atr_events,actual_mfe_2atr_to_nonpositive_share,median_giveback_atr,p95_net_bp,mean_banked_gross_bp,profit_floor_gap_breaches,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,runner_loss_relative_reduction,mean_net_delta_bp,worst_fold_degradation_bp,p95_net_retention
1,182,-2.424557211122811,-22.424557211122817,-65.13609525839846,0.2857142857142857,0.6128788242014471,-0.3763324691864751,-0.46197977395181056,20.5,127.23647441770326,740.3030948043348,0.30745970794774097,79,28,0.35443037974683544,77,25,0.3246753246753247,90,0.4222222222222222,3.2188786103008433,231.81203902658098,15.20281171796831,0,41,True,-23.505982836713343,-32.17060359932205,0.3589743589743589,0.006473460625684879,-1.5895317114317606,0.8123210664952482
2,182,-2.5407414621692324,-22.540741462169237,-65.13609525839846,0.2802197802197802,0.6193421990265136,-0.34905840951994094,-0.4725011889181696,20.5,119.94792819744752,710.647742323917,0.31838810699068126,70,20,0.2857142857142857,77,26,0.33766233766233766,90,0.43333333333333335,3.226977732329521,265.2381487481027,15.387723431782936,0,41,True,-22.65483786770536,-33.351600158183636,0.33333333333333326,-0.10971079042073484,-0.4085351525701739,0.9294536072027659
3,182,-2.920236170618465,-22.920236170618477,-65.74974117346697,0.23626373626373626,0.6212157988015408,-0.3444955106700448,-0.47447575677097564,20.5,127.66280369004977,767.8357318800527,0.3403732941969552,61,19,0.3114754098360656,77,34,0.44155844155844154,90,0.5222222222222223,3.2188786103008433,274.5958770779694,14.557276359992667,0,41,True,-24.03860861497649,-35.83393218559979,0.12820512820512814,-0.4892054988699748,2.073796874845982,0.9622451735459554
4,182,-2.7486886179163115,-22.748688617916322,-65.74974117346697,0.21978021978021978,0.6311815527124999,-0.3326175951666095,-0.46878306435276773,20.5,135.85902635190897,816.8357318800529,0.3659163172373643,43,12,0.27906976744186046,77,37,0.4805194805194805,90,0.5555555555555556,3.2188786103008433,282.4019960218725,10.4621437963371,0,41,True,-24.60950986803438,-35.59750221223774,0.0512820512820512,-0.31765794616782017,1.8373669014839322,0.9895995546744222
