confidence_bucket,task_count,owner_yes_count,owner_yes_rate_pct,median_consumed_atr
0.30–0.40,32,8,25.0,4.043
0.40–0.50,26,13,50.0,4.345
0.50–0.65,48,21,43.75,4.249
≥0.65,94,51,54.26,4.546
