task_id,label_studio_task_id,annotation_id,annotation_time,owner_label,owner_is_target
1,18498,12728,2026-07-29T12:27:05.826405Z,不是,0
2,18499,12729,2026-07-29T12:27:07.448833Z,不是,0
3,18500,12730,2026-07-29T12:27:09.146537Z,不是,0
4,18501,12731,2026-07-29T12:27:10.442048Z,不是,0
5,18502,12732,2026-07-29T12:27:11.830308Z,不是,0
6,18503,12733,2026-07-29T12:27:14.491992Z,是,1
7,18504,12734,2026-07-29T12:27:16.472834Z,不是,0
8,18505,12735,2026-07-29T12:27:17.801891Z,不是,0
9,18506,12736,2026-07-29T12:27:19.968766Z,是,1
10,18507,12737,2026-07-29T12:27:23.119763Z,是,1
11,18508,12738,2026-07-29T12:27:24.629720Z,是,1
12,18509,12739,2026-07-29T12:27:26.419048Z,是,1
13,18510,12740,2026-07-29T12:27:27.614869Z,是,1
14,18511,12741,2026-07-29T12:27:29.407147Z,不是,0
15,18512,12742,2026-07-29T12:27:30.697746Z,是,1
16,18513,12743,2026-07-29T12:27:32.762483Z,不是,0
17,18514,12744,2026-07-29T12:29:29.692811Z,不是,0
18,18515,12745,2026-07-29T12:29:30.842673Z,不是,0
19,18516,12746,2026-07-29T12:29:32.131730Z,是,1
20,18517,12747,2026-07-29T12:29:33.506624Z,不是,0
21,18518,12748,2026-07-29T12:29:35.259089Z,是,1
22,18519,12749,2026-07-29T12:29:36.678211Z,是,1
23,18520,12750,2026-07-29T12:29:38.064291Z,是,1
24,18521,12751,2026-07-29T12:29:39.487643Z,是,1
25,18522,12752,2026-07-29T12:29:41.097658Z,是,1
26,18523,12753,2026-07-29T12:29:42.681098Z,不是,0
27,18524,12754,2026-07-29T12:29:44.934901Z,不是,0
28,18525,12755,2026-07-29T12:29:46.402089Z,不是,0
29,18526,12756,2026-07-29T12:29:47.996930Z,不是,0
30,18527,12757,2026-07-29T12:29:51.261841Z,不是,0
31,18528,12758,2026-07-29T12:29:52.646321Z,不是,0
32,18529,12759,2026-07-29T12:29:54.131598Z,是,1
33,18530,12760,2026-07-29T12:29:55.871027Z,是,1
34,18531,12761,2026-07-29T12:29:57.920242Z,是,1
35,18532,12762,2026-07-29T12:29:59.360094Z,不是,0
36,18533,12763,2026-07-29T12:30:00.690927Z,不是,0
37,18534,12764,2026-07-29T12:30:04.930182Z,不是,0
38,18535,12765,2026-07-29T12:30:06.382528Z,不是,0
39,18536,12766,2026-07-29T12:30:07.891793Z,不是,0
