period,arm,cash,n,months,attempts,rejected_censored,rejected_invalid,random_mean_net_r,excess_net_r,excess_cash,p
development,legacy_gross1,fixed10,809,17,7281,0,0,-0.7952052039592576,0.10000878954906174,80.90711074519095,0.0249
development,next_bar,fixed10,848,17,7632,0,0,-0.7829930802988186,0.06690584656479262,56.73615788694414,0.0309
development,next_bar,double10,9,3,81,0,0,-1.5284445031820797,0.5710866377945961,113.7599663048948,0.37
development,next_bar,double_risk_only,8,1,72,0,0,-1.5988794777479947,-0.922146854558179,-603.6197902617823,1.0
development,ohlc,fixed10,854,17,7686,0,0,-0.7440894239882052,0.0832864590161998,71.12663599983463,0.0136
development,ohlc,double10,16,6,144,0,0,-1.1826148976470239,0.2916929353562333,254.04255648654959,0.1105
development,ohlc,double_risk_only,13,1,117,0,0,-1.5481355534660597,-0.499701328453081,76.91164154638216,1.0
development,olhc,fixed10,854,17,7686,0,0,-0.7518569883902617,0.08125211134469427,69.3893030883689,0.0141
development,olhc,double10,15,6,135,0,0,-1.2514237999426854,0.23441937990943085,187.50270650593149,0.2053
development,olhc,double_risk_only,13,1,117,0,0,-1.5395885449190514,-0.5082483370000891,62.689419324160696,1.0
validation,legacy_gross1,fixed10,575,12,5175,0,0,-0.5208914193770939,0.01684128779866572,9.68374048423279,0.3576
validation,next_bar,fixed10,617,12,5553,0,0,-0.5262425521860816,0.054765519155332204,33.79032531883997,0.0959
validation,next_bar,double10,12,2,108,0,0,-0.5627200228246502,-0.12423315974928135,-0.9573222921282536,1.0
validation,next_bar,double_risk_only,12,1,108,0,0,-0.5995128153912879,-0.17967274524311905,-259.58039742944163,1.0
validation,ohlc,fixed10,619,12,5571,0,0,-0.49156129163847606,0.061760606226309876,38.229815254085814,0.0662
validation,ohlc,double10,20,3,180,0,0,-0.4895151678147099,-0.16150924928288807,-171.5894923870083,1.0
validation,ohlc,double_risk_only,24,1,216,0,0,-0.4843639837385673,-0.0969268236608099,-342.6235910862417,1.0
validation,olhc,fixed10,621,12,5589,0,0,-0.49298937674413795,0.07052778805591675,43.7977563827243,0.0472
validation,olhc,double10,20,3,180,0,0,-0.522848501148043,-0.12817591594955494,-147.922825720341,1.0
validation,olhc,double_risk_only,24,1,216,0,0,-0.512141761516345,-0.027482379216364667,-262.06803553068426,1.0
preholdout,legacy_gross1,fixed10,203,4,1830,3,0,-0.6705882865876108,0.020158121050359072,4.092098573222891,0.3767
preholdout,next_bar,fixed10,216,4,1946,2,0,-0.6428183100242207,0.05950752367913517,12.853625114693196,0.1884
preholdout,next_bar,double10,17,3,153,0,0,-0.7609011397649087,-0.09079788544185233,223.08832602154726,0.6277
preholdout,next_bar,double_risk_only,25,1,225,0,0,-0.7552023715745004,-0.06418616848279848,1577.3872400351793,1.0
preholdout,ohlc,fixed10,216,4,1946,2,0,-0.6015721862799355,0.06790485136520187,14.667447894883605,0.1884
preholdout,ohlc,double10,20,2,180,0,0,-0.7269515271880045,0.1184929818006327,227.58355258767398,0.2546
preholdout,ohlc,double_risk_only,26,1,234,0,0,-0.7652419973224085,0.070797487985979,-156.48593919250828,0.5078
preholdout,olhc,fixed10,218,4,1964,2,0,-0.6090381301994483,0.06766030545985287,14.749946590247927,0.2524
preholdout,olhc,double10,20,2,180,0,0,-0.7325070827435601,0.12404853735618829,233.58355258767386,0.2546
preholdout,olhc,double_risk_only,26,1,234,0,0,-0.7866095186899295,0.09216500935350011,-77.59705030361943,0.5078
continuous_pre,legacy_gross1,fixed10,1574,33,14169,3,0,-0.6774568940743297,0.06741302675435715,106.10810411135816,0.0156
continuous_pre,next_bar,fixed10,1645,33,14806,1,0,-0.6675048022020119,0.0746488793059361,122.79740645826487,0.0019
continuous_pre,next_bar,double10,11,5,99,0,0,-1.3437772899375877,0.465593820305603,109.08855080672328,0.3097
continuous_pre,next_bar,double_risk_only,8,1,72,0,0,-1.5988794777479947,-0.922146854558179,-603.6197902617823,1.0
continuous_pre,ohlc,fixed10,1685,33,15167,2,0,-0.6321209208040038,0.07547873314777569,127.18166535400204,0.0016
continuous_pre,ohlc,double10,22,9,198,0,0,-0.9691046883491103,0.22275828308358345,187.9954671586613,0.1001
continuous_pre,ohlc,double_risk_only,13,1,117,0,0,-1.5481355534660597,-0.499701328453081,76.91164154638216,1.0
continuous_pre,olhc,fixed10,1688,33,15194,2,0,-0.637210251351474,0.07848083457924541,132.47564876976625,0.0009
continuous_pre,olhc,double10,21,9,189,0,0,-1.013377756741878,0.18385700342341332,135.677839400266,0.1671
continuous_pre,olhc,double_risk_only,13,1,117,0,0,-1.5395885449190514,-0.5082483370000891,62.689419324160696,1.0
