period,arm,cash,streak_type,streak_length,rank,signal_i,side,entry_time,risk,notional,fee_reserve,required_cash,equity_before,cycle_id,cycle_net_before,level_before,accepted,entry_i,exit_i,exit_time,reason,net_r,gross_r,cost_r,full_initial_stop,outcome,censored,pnl,raw_pnl,equity_after,cycle_net_after,level_after,cycle_end
development,legacy_gross1,fixed10,initial_stop,10,1,81059,-1,2024-01-16 08:12:00+00:00,1.0,371.8144329896927,0.7436288659793854,37.92507216494866,750.9330885006062,0,-249.06691149939377,165,True,81060,81063,2024-01-16 08:21:00+00:00,initial_stop,-1.7436288659793724,-1.0,0.7436288659793854,True,loss,False,-1.7436288659794172,-1.7436288659793724,749.1894596346268,-250.81054036537319,166,
development,legacy_gross1,fixed10,initial_stop,10,2,81073,1,2024-01-16 08:54:00+00:00,1.0,220.20623916811158,0.44041247833622316,22.46103639514738,749.1894596346268,0,-250.81054036537319,166,True,81074,81106,2024-01-16 10:30:00+00:00,initial_stop,-1.4404124783362189,-1.0,0.44041247833622316,True,loss,False,-1.4404124783362704,-1.4404124783362189,747.7490471562905,-252.25095284370946,167,
development,legacy_gross1,fixed10,initial_stop,10,3,81126,-1,2024-01-16 11:33:00+00:00,1.0,217.06872852233064,0.4341374570446613,22.141010309277725,747.7490471562905,0,-252.25095284370946,167,True,81127,81145,2024-01-16 12:27:00+00:00,initial_stop,-1.4341374570446832,-1.0,0.4341374570446613,True,loss,False,-1.4341374570446987,-1.4341374570446832,746.3149096992458,-253.68509030075415,168,
development,legacy_gross1,fixed10,initial_stop,10,4,81155,1,2024-01-16 13:00:00+00:00,1.0,412.76661264181035,0.8255332252836207,42.10219448946466,746.3149096992458,0,-253.68509030075415,168,True,81156,81163,2024-01-16 13:21:00+00:00,initial_stop,-1.8255332252836076,-1.0,0.8255332252836207,True,loss,False,-1.825533225283607,-1.8255332252836076,744.4893764739622,-255.51062352603776,169,
development,legacy_gross1,fixed10,initial_stop,10,5,81187,-1,2024-01-16 14:36:00+00:00,1.0,107.45835113199345,0.2149167022639869,10.96075181546333,744.4893764739622,0,-255.51062352603776,169,True,81188,81193,2024-01-16 14:51:00+00:00,initial_stop,-1.2149167022639924,-1.0,0.2149167022639869,True,loss,False,-1.214916702263963,-1.2149167022639924,743.2744597716983,-256.7255402283017,170,
development,legacy_gross1,fixed10,initial_stop,10,6,81671,1,2024-01-17 14:48:00+00:00,1.0,87.13989813242839,0.17427979626485676,8.888269609507695,743.2744597716983,0,-256.7255402283017,170,True,81672,81676,2024-01-17 15:00:00+00:00,initial_stop,-1.1742797962648612,-1.0,0.17427979626485676,True,loss,False,-1.174279796264841,-1.1742797962648612,742.1001799754334,-257.89982002456657,171,
development,legacy_gross1,fixed10,initial_stop,10,7,81740,-1,2024-01-17 18:15:00+00:00,1.0,233.3548983364105,0.46670979667282103,23.802199630313872,742.1001799754334,0,-257.89982002456657,171,True,81741,81765,2024-01-17 19:27:00+00:00,initial_stop,-1.4667097966728124,-1.0,0.46670979667282103,True,loss,False,-1.4667097966728306,-1.4667097966728124,740.6334701787606,-259.3665298212394,172,
development,legacy_gross1,fixed10,initial_stop,10,8,81888,-1,2024-01-18 01:39:00+00:00,1.0,169.94594594594386,0.33989189189188773,17.334486486486274,740.6334701787606,0,-259.3665298212394,172,True,81889,81902,2024-01-18 02:18:00+00:00,initial_stop,-1.339891891891905,-1.0,0.33989189189188773,True,loss,False,-1.3398918918918525,-1.339891891891905,739.2935782868688,-260.70642171313125,173,
development,legacy_gross1,fixed10,initial_stop,10,9,81937,1,2024-01-18 04:06:00+00:00,1.0,370.6973684210448,0.7413947368420897,37.81113157894657,739.2935782868688,0,-260.70642171313125,173,True,81938,81939,2024-01-18 04:09:00+00:00,initial_stop,-1.7413947368420828,-1.0,0.7413947368420896,True,loss,False,-1.7413947368420395,-1.7413947368420828,737.5521835500267,-262.4478164499733,174,
development,legacy_gross1,fixed10,initial_stop,10,10,81981,1,2024-01-18 06:18:00+00:00,1.0,632.0523690772724,1.2641047381545447,64.46934164588178,737.5521835500267,0,-262.4478164499733,174,True,81982,81986,2024-01-18 06:30:00+00:00,initial_stop,-2.264104738154517,-1.0,1.264104738154545,True,loss,False,-2.264104738154515,-2.264104738154517,735.2880788118722,-264.7119211881278,175,
