period,arm,cash,signal_i,side,entry_time,risk,notional,fee_reserve,required_cash,equity_before,cycle_id,cycle_net_before,level_before,accepted,entry_i,exit_i,exit_time,reason,net_r,gross_r,cost_r,full_initial_stop,outcome,censored,pnl,raw_pnl,equity_after,cycle_net_after,level_after,cycle_end
development,next_bar,double_risk_only,1305,-1,2023-08-03 04:30:00+00:00,1.0,967.8894736841642,1.9357789473683285,2.9357789473683287,1000.0,0,0.0,0,True,1306.0,1309.0,2023-08-03 04:39:00+00:00,cost_be_gap,-1.2989368421052205,0.6368421052631466,1.9357789473683285,False,loss,False,-1.2989368421052632,-1.2989368421052205,998.7010631578947,-1.2989368421052632,1,
development,next_bar,double_risk_only,1321,-1,2023-08-03 05:18:00+00:00,2.0,1033.8535211267076,2.0677070422534154,4.067707042253415,998.7010631578947,0,-1.2989368421052632,1,True,1322.0,1329.0,2023-08-03 05:39:00+00:00,initial_stop,-2.033853521126675,-1.0,1.0338535211267077,True,loss,False,-4.067707042253346,-4.06770704225335,994.6333561156414,-5.366643884358609,2,
development,next_bar,double_risk_only,1853,1,2023-08-04 07:54:00+00:00,4.0,1404.86424474193,2.80972848948386,6.8097284894838594,994.6333561156414,0,-5.366643884358609,2,True,1854.0,1863.0,2023-08-04 08:21:00+00:00,cost_be_gap,-0.4768107074570075,0.22562141491397913,0.702432122370965,False,loss,False,-1.9072428298280784,-1.90724282982803,992.7261132858133,-7.273886714186688,3,
development,next_bar,double_risk_only,1946,1,2023-08-04 12:33:00+00:00,8.0,4213.272206303714,8.426544412607427,16.426544412607427,992.7261132858133,0,-7.273886714186688,3,True,1947.0,1947.0,2023-08-04 12:33:00+00:00,initial_stop,-2.0533180515759155,-1.0,1.0533180515759284,True,loss,False,-16.426544412607313,-16.426544412607324,976.299568873206,-23.700431126794,4,
development,next_bar,double_risk_only,2340,-1,2023-08-05 08:15:00+00:00,16.0,29290.400000000005,58.58080000000001,74.58080000000001,976.299568873206,0,-23.700431126794,4,True,2341.0,2347.0,2023-08-05 08:33:00+00:00,initial_stop,-4.661299999999905,-1.0,3.6613000000000007,True,loss,False,-74.58079999999848,-74.58079999999848,901.7187688732075,-98.28123112679248,5,
development,next_bar,double_risk_only,2348,1,2023-08-05 08:39:00+00:00,32.0,27142.814814813788,54.28562962962758,86.28562962962758,901.7187688732075,0,-98.28123112679248,5,True,2349.0,2433.0,2023-08-05 12:51:00+00:00,opposite_v6_next_open,-2.363092592592506,-0.6666666666666666,1.6964259259258616,False,loss,False,-75.61896296296015,-75.6189629629602,826.0998059102474,-173.90019408975263,6,
development,next_bar,double_risk_only,2432,-1,2023-08-05 12:51:00+00:00,64.0,67725.31791907443,135.45063583814886,199.45063583814886,826.0998059102474,0,-173.90019408975263,6,True,2433.0,2441.0,2023-08-05 13:15:00+00:00,initial_stop,-3.116416184971187,-1.0,2.116416184971076,True,loss,False,-199.4506358381559,-199.45063583815596,626.6491700720915,-373.35082992790853,7,
development,next_bar,double_risk_only,2723,-1,2023-08-06 03:24:00+00:00,128.0,202526.89655174955,405.0537931034991,533.0537931034992,626.6491700720915,0,-373.35082992790853,7,True,2724.0,2775.0,2023-08-06 05:57:00+00:00,initial_stop,-4.164482758620974,-1.0,3.164482758621087,True,loss,False,-533.0537931034846,-533.0537931034846,93.59537696860684,-906.4046230313932,8,
development,next_bar,double_risk_only,2776,1,2023-08-06 06:03:00+00:00,256.0,635402.3783783707,1270.8047567567414,1526.8047567567414,93.59537696860684,0,-906.4046230313932,8,False,,,,price_risk_exceeds_cash,,,,,,,0.0,,93.59537696860684,-906.4046230313932,8,
development,ohlc,double_risk_only,1321,-1,2023-08-03 05:18:00+00:00,1.0,516.9267605633538,1.0338535211267077,2.0338535211267077,1000.0010631578947,1,0.0,0,True,1322.0,1329.0,2023-08-03 05:39:00+00:00,initial_stop,-2.033853521126675,-1.0,1.0338535211267077,True,loss,False,-2.03385352112673,-2.033853521126675,997.967209636768,-2.03385352112673,1,
