period,arm,cash,n_candidates,n_accepted,n_natural,n_blocked,n_capacity_rejected,n_profit,n_net_be,n_other_zero,n_net_loss,n_strict_positive,n_full_initial_stop,n_tp,max_net_loss_streak,max_initial_stop_streak,max_gross_loss_streak,max_unrecovered_loss_events,max_risk,max_attempted_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,n_boundary,boundary_pnl,natural_net_r,natural_gross_r,positive_cash,negative_cash,halt_reason,halt_time,halt_risk,halt_equity,initial_balance,final_balance,residual_debt,profit,profit_rate,be_rate,loss_rate,mean_net_r,mean_gross_r,cash_pf
preholdout,olhc,double10,233,20,20,0,213,1,12,0,7,13,6,1,2,2,2,7,128.0,128.0,8.986017685199549,0.14011046714627906,0,0,0.0,-12.169170907747436,2.2081792744616147,32.10655182977689,-172.18680779593228,,,,,1000.0,859.9197440338446,140.0802559661554,-140.0802559661554,0.05,0.6,0.35,-0.6084585453873718,0.11040896372308073,0.18646348254407544
preholdout,olhc,double_risk_only,233,26,26,2,2,1,16,0,9,17,7,1,2,1,2,9,256.0,512.0,236.74637603729187,0.9464112802317065,0,0,0.0,-18.055557242747163,6.599887219818662,64.26434087811094,-1010.6756211098175,price_risk_exceeds_cash,2026-01-16 14:54:00+00:00,512.0,53.58871976829346,1000.0,53.58871976829346,946.4112802317065,-946.4112802317065,0.038461538461538464,0.6153846153846154,0.34615384615384615,-0.6944445093364293,0.2538418161468716,0.06358552589558122
continuous_pre,legacy_gross1,fixed10,1809,1574,1574,221,14,679,0,0,895,679,714,771,25,10,12,895,1.0,1.0,9.676333008172232,0.9602090471616371,0,0,0.0,-960.2090471616374,3.014486482660999,346.0253312922484,-1306.2343784538864,,,,,1000.0,39.790952838362834,960.2090471616365,-960.2090471616372,0.4313850063532402,0.0,0.5686149936467598,-0.610043867319973,0.0019151756560743323,0.26490294314701657
continuous_pre,next_bar,fixed10,1809,1645,1645,123,41,131,341,0,1173,469,532,131,27,6,10,1173,1.0,1.0,9.73897986701609,0.9752479931640434,0,0,0.0,-975.2479931640482,-1.9817640411149053,131.23529255485101,-1106.4832857188949,,,,,1000.0,24.752006835956585,975.2479931640447,-975.2479931640435,0.07963525835866261,0.2072948328267477,0.7130699088145896,-0.5928559228960779,-0.0012047197818327692,0.11860576137811783
continuous_pre,next_bar,double10,1809,11,11,1,1797,0,2,0,9,2,4,0,4,1,2,9,256.0,512.0,9.565570500547382,0.4192248058615946,0,0,0.0,-9.660018165951833,-2.803041141380269,0.032364880009140506,-419.2571707416038,,,,,1000.0,580.7751941384054,419.22480586159463,-419.22480586159463,0.0,0.18181818181818182,0.8181818181818182,-0.8781834696319848,-0.2548219219436608,7.719576972742489e-05
continuous_pre,next_bar,double_risk_only,1809,8,8,1,1,0,0,0,8,0,5,0,8,2,5,8,128.0,256.0,323.19024140485226,0.9064046230313931,0,0,0.0,-20.16821065844939,-4.804203146489541,0.0,-906.4046230313932,price_risk_exceeds_cash,2023-08-06 06:03:00+00:00,256.0,93.59537696860684,1000.0,93.59537696860684,906.4046230313932,-906.4046230313932,0.0,0.0,1.0,-2.5210263323061737,-0.6005253933111926,0.0
continuous_pre,ohlc,fixed10,1809,1685,1685,119,5,101,988,0,596,1080,553,101,10,7,10,596,1.0,1.0,9.550374677213727,0.9379421521780349,1,0,0.0,-937.9420862007455,78.03836107164845,101.54552255664193,-1039.4876087573855,,,,,1000.0,62.05791379925591,937.9431493586396,-937.9420862007441,0.0599406528189911,0.5863501483679525,0.3537091988130564,-0.5566421876562287,0.04631356740157178,0.09768805486583003
continuous_pre,ohlc,double10,1809,22,22,1,1023,1,12,0,9,13,7,1,3,2,3,9,256.0,512.0,9.17122772055895,0.5367490561144732,1,0,0.0,-16.419620915841595,-2.2337318243880073,64.10981214068147,-600.8583757462566,price_risk_exceeds_cash,2025-03-05 07:51:00+00:00,512.0,463.25143639442496,1000.0,463.25143639442496,536.7496267634697,-536.7485636055751,0.045454545454545456,0.5454545454545454,0.4090909090909091,-0.746346405265527,-0.10153326474490942,0.10669704331084359
continuous_pre,ohlc,double_risk_only,1809,13,13,1,1,0,5,0,8,5,7,0,6,3,6,8,128.0,256.0,294.9883805792214,0.8987670670334645,1,0,0.0,-26.621879464948826,-1.2516897684762083,0.8465199600591404,-899.6134793669318,price_risk_exceeds_cash,2023-08-10 11:36:00+00:00,256.0,101.23304059312738,1000.0,101.23304059312738,898.7680225647674,-898.7669594068726,0.0,0.38461538461538464,0.6153846153846154,-2.0478368819191406,-0.09628382834432371,0.0009409818544013438
continuous_pre,olhc,fixed10,1809,1688,1688,115,6,92,1003,0,593,1087,551,92,10,7,10,593,1.0,1.0,9.185315517976193,0.9431353159676594,1,0,0.0,-943.1352555115233,73.91529223934627,92.5489865319004,-1035.684242043422,,,,,1000.0,56.86474448847829,943.1363186694175,-943.1352555115217,0.054502369668246446,0.5941943127962085,0.351303317535545,-0.5587294167722294,0.043788680236579544,0.08936023430201055
continuous_pre,olhc,double10,1809,21,21,1,1024,0,12,0,9,12,7,0,3,2,3,9,256.0,512.0,9.729888179165945,0.6007691418971685,1,0,0.0,-17.419935819687762,-3.505967401311098,0.0896582945266573,-600.8583757462566,price_risk_exceeds_cash,2025-03-05 07:51:00+00:00,512.0,399.23128254827014,1000.0,399.23128254827014,600.7697806096246,-600.7687174517298,0.0,0.5714285714285714,0.42857142857142855,-0.8295207533184649,-0.16695082863386182,0.00014921701709708735
continuous_pre,olhc,double_risk_only,1809,13,13,1,1,0,5,0,8,5,7,0,6,3,6,8,128.0,256.0,294.9883805792214,0.8987670670334645,1,0,0.0,-26.621879464948826,-1.2516897684762083,0.8465199600591404,-899.6134793669318,price_risk_exceeds_cash,2023-08-10 11:36:00+00:00,256.0,101.23304059312738,1000.0,101.23304059312738,898.7680225647674,-898.7669594068726,0.0,0.38461538461538464,0.6153846153846154,-2.0478368819191406,-0.09628382834432371,0.0009409818544013438
