entry_i,exit_i,signal_i,entry_time,exit_time,side,entry_price,exit_price,gross_return,net_return,mae_return,mfe_return,censored,exit_reason
69895,70085,69894,2024-01-01 16:30:00+00:00,2024-01-03 16:00:00+00:00,-1,42733.6,42976.9,-0.0056934122095961825,-0.007693412209596183,-0.07409626148978798,0.05966499429020722,False,opposite_entry
70085,70467,70084,2024-01-03 16:00:00+00:00,2024-01-07 15:30:00+00:00,1,42976.9,44168.6,0.027728849684365287,0.025728849684365285,-0.029711310029341353,0.048544683306613434,False,opposite_entry
70467,70998,70466,2024-01-07 15:30:00+00:00,2024-01-13 04:15:00+00:00,-1,44168.6,42680.1,0.033700411604624114,0.03170041160462411,-0.10938540048812961,0.06549222751004102,False,opposite_entry
70998,71360,70997,2024-01-13 04:15:00+00:00,2024-01-16 22:45:00+00:00,1,42680.1,43264.3,0.013687877957174521,0.011687877957174521,-0.022542121503932755,0.021649433811073537,False,opposite_entry
71360,71575,71359,2024-01-16 22:45:00+00:00,2024-01-19 04:30:00+00:00,-1,43264.3,41190.7,0.04792866173727539,0.04592866173727539,-0.0006541189849367246,0.059825306314906346,False,opposite_entry
71575,72269,71574,2024-01-19 04:30:00+00:00,2024-01-26 10:00:00+00:00,1,41190.7,40081.5,-0.026928408597086118,-0.02892840859708612,-0.0640945650353113,0.02438171723228799,False,opposite_entry
72269,72826,72268,2024-01-26 10:00:00+00:00,2024-02-01 05:15:00+00:00,-1,40081.5,42144.4,-0.05146763469431037,-0.05346763469431037,-0.09548045856567233,0.0003093696593191586,False,opposite_entry
72826,73248,72825,2024-02-01 05:15:00+00:00,2024-02-05 14:45:00+00:00,1,42144.4,43300.1,0.02742238589231305,0.02542238589231305,-0.004551019827070846,0.033945197938516136,False,opposite_entry
73248,74704,73247,2024-02-05 14:45:00+00:00,2024-02-20 18:45:00+00:00,-1,43300.1,51509.9,-0.1896023334819088,-0.1916023334819088,-0.225863219715428,0.022632742187662425,False,opposite_entry
74704,75121,74703,2024-02-20 18:45:00+00:00,2024-02-25 03:00:00+00:00,1,51509.9,51612.7,0.0019957328591202472,-4.267140879752815e-06,-0.02018835214201542,0.020110697166952463,False,opposite_entry
75121,77380,75120,2024-02-25 03:00:00+00:00,2024-03-19 15:45:00+00:00,-1,51612.7,63932.0,-0.23868737733154832,-0.24068737733154832,-0.4309656344271857,0.013672991337403295,False,opposite_entry
77380,77513,77379,2024-03-19 15:45:00+00:00,2024-03-21 01:00:00+00:00,1,63932.0,67678.2,0.05859663392354375,0.05659663392354375,-0.049519802289933024,0.06776575111055494,False,opposite_entry
77513,77667,77512,2024-03-21 01:00:00+00:00,2024-03-22 15:30:00+00:00,-1,67678.2,64113.8,0.05266688534860553,0.05066688534860553,-0.004477069425605329,0.0764943512091043,False,opposite_entry
