group,period,arm,events,closed,censored,win_rate,mean_r,total_r,pf_r,pf_nominal,realized_ge10,event_drawdown_r,total_r_without_best,gross_r,cost_r,near_be,material_wins,max_net_loss_streak,max_initial_stop_streak,be_armed,be_changed,matched_pairs,unmatched,control_mean_r,paired_excess_r,blocks,mean_ci_low,mean_ci_high,p_month_signflip,p_holm
ETH 3m,available,v9_cost_be2,1296,1296,0,0.2770061728395062,-0.5818060828066326,-754.0206833173959,0.460808807724725,0.5476557722501778,8,754.0206833173954,-782.2422422146407,15.323901557097656,769.3445848744934,58,301,23,11,329,274,1296,0,-0.7522472106073271,0.17044112780069445,33,0.002975085780241077,0.32700109402651983,0.02848575712143928,0.6836581709145427
ETH 3m,available,v9_original,1293,1293,0,0.24207269914926527,-0.576313739547953,-745.1736652355032,0.4766189600463438,0.5548566342782056,9,745.1736652355032,-773.395224132748,23.14135835728829,768.3150235927912,0,313,24,11,0,0,1293,0,-0.7482512555695191,0.17193751602156615,33,-0.011444862790492578,0.3370767386635773,0.030984507746126936,0.7126436781609196
ETH 3m,common,v9_cost_be2,173,173,0,0.2832369942196532,-0.4082476216232564,-70.62683854082336,0.6318660622461537,0.7632595481320046,3,70.62683854082333,-92.1405261982535,39.19742392993648,109.82426247075982,5,44,13,9,44,38,173,0,-0.8437354681077478,0.4354878464844915,4,0.059769048109208515,0.9381386713379104,0.057971014492753624,1.0
ETH 3m,common,v9_original,171,171,0,0.26900584795321636,-0.4000480958979326,-68.40822439854648,0.6435230396386646,0.7599638239835459,3,68.40822439854647,-89.92191205597663,40.665864850212685,109.07408924875915,0,46,13,9,0,0,171,0,-0.691343021740011,0.29129492584207856,4,-0.11897661570154595,0.8269209593699687,0.18940529735132433,1.0
ETH 5m,available,v9_cost_be2,84,84,0,0.3333333333333333,0.05852261360977445,4.9158995432210535,1.0616644225042084,1.677623215105123,1,21.232088747299713,-13.304171554151358,47.90056161539388,42.98466207217283,3,25,12,12,27,24,84,0,-0.8679873425072709,0.9265099561170453,5,0.2877762205067568,1.5953842962023397,0.06696651674162919,1.0
ETH 5m,available,v9_original,84,84,0,0.2976190476190476,0.03553211488961592,2.984697650727737,1.0365553835129906,1.6502134587052177,1,21.45214388595959,-15.235373446644674,45.96935972290058,42.98466207217283,0,25,12,12,0,0,84,0,-0.8834239868728029,0.9189561017624189,5,0.25614414691502313,1.6162414671259517,0.06696651674162919,1.0
ETH 5m,common,v9_cost_be2,79,79,0,0.34177215189873417,0.14965322373099435,11.822604674748554,1.162370356063543,1.764831997682333,1,18.441439720109898,-6.397466422623857,51.013617099235795,39.19101242448723,2,25,12,12,26,23,79,0,-0.8430401133694476,0.9926933371004423,4,0.3077254206992754,1.698564928283628,0.057971014492753624,1.0
ETH 5m,common,v9_original,79,79,0,0.31645569620253167,0.12647218838171348,9.991302882155365,1.133856235384074,1.7361271080685212,1,18.71559952513622,-8.228768215217046,49.18231530664261,39.19101242448723,0,25,12,12,0,0,79,0,-0.8594537605429248,0.9859259489246383,4,0.2755221680089286,1.6969300816732784,0.057971014492753624,1.0
ETH 15m,available,v9_cost_be2,167,167,0,0.2934131736526946,-0.10100813614317757,-16.868358735910654,0.8743756692002449,1.0868305622864305,2,56.95928388994834,-34.14863695922954,22.63337921497193,39.50173795088256,7,42,15,7,48,45,166,1,-0.12323544021272073,0.021613555815222372,32,-0.870231787168457,0.7102965608703781,0.5087456271864068,1.0
ETH 15m,available,v9_original,167,167,0,0.2634730538922156,-0.08963049261863924,-14.968292267312753,0.8908475886983902,1.097121507407186,2,53.355260090404144,-32.24857049063164,24.53344568356983,39.50173795088256,0,44,15,7,0,0,166,1,-0.06930572680433661,-0.019025559351570742,32,-0.9001884857484869,0.6734532587598268,0.5282358820589705,1.0
