group,period,paired_closed,paired_delta_r,improved_losers,improved_loser_delta_r,harmed_winners,harmed_winner_delta_r,original_ge10,retained_original_ge10,blocks,mean_ci_low,mean_ci_high,p_month_signflip,p_holm
ETH 3m,available,1293,-12.489954605282875,46,26.964684602857574,13,-39.45463920814045,9,8,33,-0.03999143011730637,0.015081601042915657,0.7071464267866067,1.0
ETH 3m,common,171,-6.1610879790997775,2,1.3320676737505877,3,-7.493155652850366,3,3,4,-0.11813785158618545,0.016038820026620083,0.7361319340329835,1.0
ETH 5m,available,84,1.931201892493312,4,1.931201892493312,0,0.0,1,1,5,0.003910461809421142,0.04348387169835784,0.06196901549225387,0.7436281859070465
ETH 5m,common,79,1.8313017925931885,3,1.8313017925931883,0,0.0,1,1,4,0.0029306107014575073,0.0450301777324587,0.11944027986006997,1.0
ETH 15m,available,167,-1.9000664685978974,5,2.858337651628264,2,-4.758404120226162,2,2,32,-0.053771198368315586,0.022939012344313968,0.6586706646676662,1.0
ETH 15m,common,21,1.703957330946282,2,1.703957330946282,0,0.0,1,1,3,0.0,0.1397784491440062,0.23638180909545228,1.0
ETH 30m,available,103,0.5908242587297574,2,0.5908242587297574,0,0.0,0,0,33,0.0,0.014394275308282954,0.2703648175912044,1.0
ETH 30m,common,13,0.0,0,0.0,0,0.0,0,0,4,0.0,0.0,1.0,1.0
ETH 60m,available,58,1.095462038719736,3,1.095462038719736,0,0.0,2,2,24,0.0,0.060859612950978234,0.12993503248375812,1.0
ETH 60m,common,5,0.0002882675122498,1,0.0002882675122498,0,0.0,0,0,2,0.0,0.0001441337561249,0.5007496251874063,1.0
ETH 240m,available,15,1.0436043604360434,1,1.0436043604360434,0,0.0,0,0,12,0.0,0.2408317754852408,0.512743628185907,1.0
ETH 240m,common,4,1.0436043604360434,1,1.0436043604360434,0,0.0,0,0,3,0.0,1.0436043604360434,0.49775112443778113,1.0
