trade_key,arm,matched,reason,control_signal_i,control_signal_bar_open,control_net_r,control_net_return,control_exit_time,month,vol_bin,fold
binance_um:NEARUSDT:4h:v9_long:1554,v9_long,True,matched,1518,2024-09-13 00:00:00+00:00,-1.0401333333333336,-0.051833887043189364,2024-09-15 20:00:00+00:00,2024-09,3,earlier
binance_um:NEARUSDT:4h:v9_long:3277,v9_long,True,matched,3365,2025-07-17 20:00:00+00:00,-1.0299574468085106,-0.06876136363636354,2025-07-24 04:00:00+00:00,2025-07,3,earlier
binance_um:NEARUSDT:4h:v9_long:3581,v9_long,True,matched,3525,2025-08-13 12:00:00+00:00,-1.0332914285714294,-0.06207552351527634,2025-08-14 12:00:00+00:00,2025-08,3,earlier
binance_um:NEARUSDT:4h:v9_long:3737,v9_long,True,matched,3801,2025-09-28 12:00:00+00:00,-0.7751448275862047,-0.04165900667160849,2025-09-30 16:00:00+00:00,2025-09,3,later
binance_um:NEARUSDT:4h:v9_long:4375,v9_long,True,matched,4532,2026-01-28 08:00:00+00:00,-1.0490163934426229,-0.04280267558528439,2026-01-29 04:00:00+00:00,2026-01,3,later
binance_um:NEARUSDT:4h:v9_long:4939,v9_long,True,matched,5050,2026-04-24 16:00:00+00:00,-1.0576326530612252,-0.0367025495750708,2026-04-27 12:00:00+00:00,2026-04,2,later
binance_um:NEARUSDT:4h:box_htf:1572,box_htf,True,matched,1543,2024-09-17 04:00:00+00:00,5.314649746192908,0.2612892438233094,2024-10-01 12:00:00+00:00,2024-09,3,earlier
binance_um:NEARUSDT:4h:box_htf:3750,box_htf,True,matched,3749,2025-09-19 20:00:00+00:00,-1.0333582887700539,-0.06195511381853169,2025-09-22 04:00:00+00:00,2025-09,3,later
binance_um:NEARUSDT:4h:box_any:1572,box_any,True,matched,1544,2024-09-17 08:00:00+00:00,4.123028806584375,0.24725962487660436,2024-10-01 12:00:00+00:00,2024-09,3,earlier
binance_um:NEARUSDT:4h:box_any:3750,box_any,True,matched,3765,2025-09-22 12:00:00+00:00,-1.0286138613861382,-0.07189619377162626,2025-09-26 04:00:00+00:00,2025-09,3,later
