arm,signal_i,status,blocking_trade,symbol,asset,timeframe,signal_bar_open
v9_long,1554,closed,,NEARUSDT,NEAR,4h,2024-09-19 00:00:00+00:00
v9_long,3277,closed,,NEARUSDT,NEAR,4h,2025-07-03 04:00:00+00:00
v9_long,3581,closed,,NEARUSDT,NEAR,4h,2025-08-22 20:00:00+00:00
v9_long,3737,closed,,NEARUSDT,NEAR,4h,2025-09-17 20:00:00+00:00
v9_long,4375,closed,,NEARUSDT,NEAR,4h,2026-01-02 04:00:00+00:00
v9_long,4443,skipped_in_position,binance_um:NEARUSDT:4h:v9_long:4375,NEARUSDT,NEAR,4h,2026-01-13 12:00:00+00:00
v9_long,4939,closed,,NEARUSDT,NEAR,4h,2026-04-06 04:00:00+00:00
v9_long,4940,skipped_in_position,binance_um:NEARUSDT:4h:v9_long:4939,NEARUSDT,NEAR,4h,2026-04-06 08:00:00+00:00
box_htf,1572,closed,,NEARUSDT,NEAR,4h,2024-09-22 00:00:00+00:00
box_htf,3750,closed,,NEARUSDT,NEAR,4h,2025-09-20 00:00:00+00:00
box_any,1572,closed,,NEARUSDT,NEAR,4h,2024-09-22 00:00:00+00:00
box_any,3750,closed,,NEARUSDT,NEAR,4h,2025-09-20 00:00:00+00:00
