signal_i,signal_bar_open,entry_i,entry_time,entry_price,initial_stop,initial_risk,initial_risk_frac,exit_i,exit_time,exit_price,exit_reason,gross_return,net_return,gross_r,net_r,censored,mfe_r,status,arm,trade_key,symbol,asset,timeframe,source,box_entry_i,bars_after_v9
1554,2024-09-19 00:00:00+00:00,1555,2024-09-19 04:00:00+00:00,4.531,3.902,0.6289999999999996,0.1388214522180533,1629,2024-10-01 12:00:00+00:00,5.062,trailing_stop,0.11719267269918343,0.11519267269918343,0.8441971383147862,0.8297901430842615,False,2.1319554848966633,closed,v9_long,binance_um:NEARUSDT:4h:v9_long:1554,NEARUSDT,NEAR,4h,,1554,0
3277,2025-07-03 04:00:00+00:00,3278,2025-07-03 08:00:00+00:00,2.335,2.096,0.23899999999999988,0.10235546038543893,3292,2025-07-05 16:00:00+00:00,2.096,initial_stop,-0.10235546038543897,-0.10435546038543897,-1.0000000000000004,-1.0195397489539753,False,0.10878661087866216,closed,v9_long,binance_um:NEARUSDT:4h:v9_long:3277,NEARUSDT,NEAR,4h,,3277,0
3581,2025-08-22 20:00:00+00:00,3582,2025-08-23 00:00:00+00:00,2.688,2.352,0.3360000000000003,0.1250000000000001,3599,2025-08-25 20:00:00+00:00,2.426,opposite_v6_next_open,-0.09747023809523814,-0.09947023809523814,-0.7797619047619044,-0.7957619047619044,False,0.2976190476190463,closed,v9_long,binance_um:NEARUSDT:4h:v9_long:3581,NEARUSDT,NEAR,4h,,3581,0
3737,2025-09-17 20:00:00+00:00,3738,2025-09-18 00:00:00+00:00,2.824,2.634,0.18999999999999995,0.06728045325779035,3763,2025-09-22 04:00:00+00:00,2.855,trailing_stop,0.010977337110481544,0.008977337110481542,0.16315789473684153,0.13343157894736782,False,2.705263157894739,closed,v9_long,binance_um:NEARUSDT:4h:v9_long:3737,NEARUSDT,NEAR,4h,,3737,0
4375,2026-01-02 04:00:00+00:00,4376,2026-01-02 08:00:00+00:00,1.629,1.514,0.11499999999999999,0.07059545733578883,4475,2026-01-18 20:00:00+00:00,1.6560000000000001,trailing_stop,0.016574585635359185,0.014574585635359183,0.23478260869565315,0.20645217391304443,False,2.3043478260869557,closed,v9_long,binance_um:NEARUSDT:4h:v9_long:4375,NEARUSDT,NEAR,4h,,4375,0
4939,2026-04-06 04:00:00+00:00,4940,2026-04-06 08:00:00+00:00,1.267,1.217,0.04999999999999982,0.03946329913180728,5073,2026-04-28 12:00:00+00:00,1.328,trailing_stop,0.0481452249408052,0.046145224940805196,1.220000000000008,1.1693200000000077,False,3.5000000000000133,closed,v9_long,binance_um:NEARUSDT:4h:v9_long:4939,NEARUSDT,NEAR,4h,,4939,0
1572,2024-09-22 00:00:00+00:00,1573,2024-09-22 04:00:00+00:00,4.607,4.305,0.3020000000000005,0.06555242023008476,1629,2024-10-01 12:00:00+00:00,5.062,trailing_stop,0.09876275233340559,0.09676275233340559,1.5066225165562876,1.4761125827814532,False,4.188741721854297,closed,box_htf,binance_um:NEARUSDT:4h:box_htf:1572,NEARUSDT,NEAR,4h,htf,1554,18
3750,2025-09-20 00:00:00+00:00,3751,2025-09-20 04:00:00+00:00,3.099,2.9090000000000003,0.18999999999999995,0.06131010003226845,3763,2025-09-22 04:00:00+00:00,2.9090000000000003,initial_stop,-0.061310100032268444,-0.06331010003226845,-0.9999999999999999,-1.0326210526315789,False,0.9473684210526303,closed,box_htf,binance_um:NEARUSDT:4h:box_htf:3750,NEARUSDT,NEAR,4h,htf,3737,13
1572,2024-09-22 00:00:00+00:00,1573,2024-09-22 04:00:00+00:00,4.607,4.305,0.3020000000000005,0.06555242023008476,1629,2024-10-01 12:00:00+00:00,5.062,trailing_stop,0.09876275233340559,0.09676275233340559,1.5066225165562876,1.4761125827814532,False,4.188741721854297,closed,box_any,binance_um:NEARUSDT:4h:box_any:1572,NEARUSDT,NEAR,4h,htf,1554,18
3750,2025-09-20 00:00:00+00:00,3751,2025-09-20 04:00:00+00:00,3.099,2.9090000000000003,0.18999999999999995,0.06131010003226845,3763,2025-09-22 04:00:00+00:00,2.9090000000000003,initial_stop,-0.061310100032268444,-0.06331010003226845,-0.9999999999999999,-1.0326210526315789,False,0.9473684210526303,closed,box_any,binance_um:NEARUSDT:4h:box_any:3750,NEARUSDT,NEAR,4h,htf,3737,13
