scope,timeframe_min,arm,policy,kind,bucket,period,analysis_start,analysis_split,analysis_end_exclusive,taken,closed,censored,weeks,symbols,win_rate,mean_net_bp,mean_net_r,wins,sum_net_r,mean_gross_bp,median_net_bp,ge5r,ge10r,pf_r,ge5r_rate,win_rate_low,win_rate_high,mean_net_bp_low,mean_net_bp_high,mean_net_r_low,mean_net_r_high,matched,paired_target_mean_net_bp,random_mean_net_bp,random_win_rate,mean_excess_bp,random_coverage,test_scope,fixed_incumbent_symbols,run_universe_symbols,fixed_universe_coverage,fixed_universe_rule,first_analysis_month_removed
all_fixed_incumbents,15,v9_both,baseline,overall,0,all,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,26440,26414,26,195,132,0.2976451881577951,-12.577090712073133,-0.054233087760067765,7862.0,-1432.51278009443,7.422909287926874,-132.042579653647,775.0,177.0,0.9259961628890708,0.029340501249337472,0.28009643759547526,0.3148793100603692,-30.05622237405195,5.659894075834937,-0.14612306530319058,0.05079091284119218,23025,-14.811347692816879,-19.041190284193068,0.2855157437567861,4.229842591376188,0.871696827439994,descriptive same-clock matched random,135,638,0.2115987460815047,merged source first_ms < analysis_start; not a point-in-time universe,False
all_fixed_incumbents,15,v9_both,baseline,overall,0,earlier,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,14667,14667,0,105,132,0.2953569237062794,-11.149944858168688,-0.05520686950453329,4332.0,-809.7191550229898,8.850055141831316,-130.021786492373,445.0,98.0,0.9249430903803106,0.03034021954046499,0.27262010595764574,0.3193086453466092,-33.5699906683832,15.011714281814267,-0.17397551324722413,0.08988502814524042,12782,-12.752284970672552,-16.582463864220266,0.2836801752464403,3.8301788935477092,0.8714801936319629,descriptive same-clock matched random,135,638,0.2115987460815047,merged source first_ms < analysis_start; not a point-in-time universe,False
all_fixed_incumbents,15,v9_both,baseline,overall,0,later,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,11758,11733,25,91,123,0.3004346714395295,-14.39595123405743,-0.05296678579941411,3525.0,-621.4592977845257,5.604048765942576,-134.79591836734602,330.0,79.0,0.9274266496392537,0.028125799028381488,0.2787676008214871,0.3247863898896037,-37.178782412244296,17.01794589402668,-0.17491912348137414,0.10517483360657727,10219,-17.184240910076934,-21.929657323364466,0.28809081123397595,4.7454164132875345,0.8709622432455467,descriptive same-clock matched random,135,638,0.2115987460815047,merged source first_ms < analysis_start; not a point-in-time universe,False
all_fixed_incumbents,15,v9_both,baseline,overall,0,cross,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,15,14,1,1,14,0.35714285714285715,16.618785375447153,-0.09530909192247602,5.0,-1.3343272869146643,36.618785375447146,-98.70758065159299,0.0,0.0,0.7783089062145409,0.0,,,,,,,1,-154.453781512604,-38.691588785046,0.0,-115.76219272755799,0.07142857142857142,descriptive same-clock matched random,135,638,0.2115987460815047,merged source first_ms < analysis_start; not a point-in-time universe,False
all_fixed_incumbents,15,v9_both,baseline,4h,0,all,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,4079,4077,2,195,132,0.3034093696345352,-21.470289095898263,-0.052946945408812174,1237.0,-215.86469643172722,-1.4702890958982522,-136.161616161616,101.0,26.0,0.9252110590267001,0.024773117488349275,0.27068467725433476,0.33862907102035644,-49.56449405570495,8.043882453966056,-0.19408806318731914,0.1056997478374604,752,-41.96630483924034,-34.91834150645681,0.30186170212765956,-7.047963332783528,0.18444935001226392,descriptive same-clock matched random,135,638,0.2115987460815047,merged source first_ms < analysis_start; not a point-in-time universe,False
all_fixed_incumbents,15,v9_both,baseline,4h,0,earlier,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,2160,2160,0,105,132,0.2875,-19.674487656670568,-0.036731873195774326,621.0,-79.34084610287255,0.3255123433294374,-131.00230428181248,63.0,16.0,0.9495382188625376,0.029166666666666667,0.24482032006889373,0.33484145145472377,-57.18743159608992,21.43165204733864,-0.24460809675191902,0.18660486587987601,395,-55.722689029059914,-35.915820806044565,0.28354430379746837,-19.80686822301534,0.18287037037037038,descriptive same-clock matched random,135,638,0.2115987460815047,merged source first_ms < analysis_start; not a point-in-time universe,False
all_fixed_incumbents,15,v9_both,baseline,4h,0,later,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,1910,1908,2,91,120,0.3223270440251572,-23.01664292128351,-0.06889529120412492,615.0,-131.45221561747036,-3.016642921283494,-143.99851447792548,38.0,10.0,0.899508334616193,0.019916142557651992,0.2679970612976778,0.38158066242247957,-65.35080946849622,20.691455859691324,-0.2531058585576618,0.13852356006407746,354,-25.429072328674632,-32.01500781227751,0.3248587570621469,6.585935483602875,0.18553459119496854,descriptive same-clock matched random,135,638,0.2115987460815047,merged source first_ms < analysis_start; not a point-in-time universe,False
all_fixed_incumbents,15,v9_both,baseline,4h,0,cross,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,9,9,0,1,9,0.1111111111111111,-124.63562352887311,-0.5635149679315913,1.0,-5.071634711384322,-104.63562352887311,-135.138592750534,0.0,0.0,0.14502091713358883,0.0,,,,,,,1,-154.453781512604,-38.691588785046,0.0,-115.76219272755799,0.1111111111111111,descriptive same-clock matched random,135,638,0.2115987460815047,merged source first_ms < analysis_start; not a point-in-time universe,False
all_fixed_incumbents,15,v9_both,baseline,4h,4,all,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,2709,2701,8,194,132,0.3087745279526101,-16.526911542079457,-0.13902997819153612,834.0,-375.5199710953391,3.4730884579205488,-121.16696588868899,40.0,6.0,0.8097473504840538,0.014809329877823029,0.2660299163559878,0.3560996516112881,-51.50754674958527,26.389871316106863,-0.30374061704074773,0.05165506929209091,427,-19.44312697825509,-37.48594182002226,0.2903981264637002,18.042814841767182,0.15808959644576082,descriptive same-clock matched random,135,638,0.2115987460815047,merged source first_ms < analysis_start; not a point-in-time universe,False
all_fixed_incumbents,15,v9_both,baseline,4h,4,earlier,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,1484,1484,0,104,132,0.2971698113207547,-18.961732368075186,-0.17248762149103883,441.0,-255.97163029270163,1.0382676319248219,-121.1548739859835,23.0,6.0,0.7695444250888657,0.01549865229110512,0.23889498789965793,0.3545615989789299,-59.82785060565432,23.78011699432164,-0.38284908176334775,0.04880772491294633,245,-41.83345164728437,-59.15618958110855,0.24897959183673468,17.322737933824175,0.1650943396226415,descriptive same-clock matched random,135,638,0.2115987460815047,merged source first_ms < analysis_start; not a point-in-time universe,False
all_fixed_incumbents,15,v9_both,baseline,4h,4,later,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,1224,1216,8,91,119,0.3223684210526316,-13.634567373385678,-0.09878326512473566,392.0,-120.12045039167856,6.365432626614333,-122.1654589306455,17.0,0.0,0.8608228933210041,0.013980263157894737,0.26266893785064904,0.3923319755475534,-67.77444354477424,61.00240956693809,-0.33533089760730994,0.2325297342727094,182,10.69769469159202,-8.314454449329217,0.34615384615384615,19.012149140921235,0.14967105263157895,descriptive same-clock matched random,135,638,0.2115987460815047,merged source first_ms < analysis_start; not a point-in-time universe,False
