timeframe_min,arm,policy,kind,bucket,period,analysis_start,analysis_split,analysis_end_exclusive,earlier_closed,later_closed,taken,closed,censored,weeks,symbols,win_rate,mean_net_bp,mean_net_r,wins,sum_net_r,mean_gross_bp,median_net_bp,ge5r,ge10r,pf_r,ge5r_rate,win_rate_low,win_rate_high,mean_net_bp_low,mean_net_bp_high,mean_net_r_low,mean_net_r_high,matched,paired_target_mean_net_bp,random_mean_net_bp,random_win_rate,mean_excess_bp,random_coverage,source_available_symbols,source_universe_symbols,source_coverage_is_span_only,test_scope,paired_weeks,p_one_sided,ci_low_bp,ci_high_bp,minimum_p_resolution,holm_p_48_slots
15,v9_both,baseline,overall,0,all,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,25128,50818,76062,75982,80,195,634,0.3013345265984049,-6.9582316407705145,-0.025222218787978007,22896.0,-1916.434627948145,13.041768359229494,-148.75869388342,2188.0,529.0,0.9649417011773097,0.028796293859071887,0.2878131505502579,0.3152639800426328,-22.213329528035576,8.78517047467107,-0.09698165204169107,0.054699370011439374,66229,-8.42327748399075,-11.81736159945913,0.2878497335004303,3.3940841154683814,0.8716406517333053,638,638,True,descriptive same-clock matched random,,,,,,
15,v9_both,baseline,overall,0,earlier,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,25128,50818,25128,25128,0,105,347,0.3044412607449857,-5.542450284783999,-0.015047532165588925,7650.0,-378.1143882569185,14.457549715216011,-141.7388448445845,781.0,173.0,0.979051760313492,0.031080865966252785,0.2807414960794916,0.32888946352966075,-31.68471226284798,22.94713559715149,-0.13507173558262,0.12103346360957166,21894,-6.293165535511653,-17.798767466206566,0.28304558326482143,11.505601930694914,0.8712989493791786,360,638,True,descriptive same-clock matched random,,,,,,
15,v9_both,baseline,overall,0,later,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,25128,50818,50894,50818,76,91,613,0.2996969577708686,-7.695256593706148,-0.03025329099795432,15230.0,-1537.4117419340425,12.30474340629386,-152.273144072332,1407.0,356.0,0.9579917040620409,0.027687040025187924,0.284473519313643,0.31644333010053904,-24.61701329226286,13.743486694694555,-0.11392591927016402,0.07262123967805613,44269,-9.377357194045318,-8.87222673507135,0.29015789830355326,-0.5051304589739664,0.8711283403518438,638,638,True,descriptive same-clock matched random,,,,,,
15,v9_both,baseline,overall,0,cross,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,25128,50818,40,36,4,1,36,0.4444444444444444,45.21899461072693,-0.025236048810662635,16.0,-0.9084977571838548,65.21899461072694,-88.7389130785345,0.0,0.0,0.9448500666951264,0.0,,,,,,,8,337.7256758238134,451.2942897662154,0.625,-113.568613942402,0.2222222222222222,360,638,True,descriptive same-clock matched random,,,,,,
15,v9_both,baseline,4h,0,all,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,3596,7983,11613,11602,11,195,634,0.31572142734011377,-6.66910000279327,-0.025988196297586762,3663.0,-301.5150534446016,13.33089999720674,-153.95742979378252,285.0,66.0,0.9619875262006896,0.02456473021892777,0.28463484898675273,0.34801051124506444,-36.22899197061899,25.88222241342166,-0.1401527423781319,0.09658108750450478,2085,-23.915641268062025,-26.196462409256014,0.3011990407673861,2.2808211411939805,0.17971039475952422,638,638,True,"same-clock matched random, entry-week block inference",191.0,0.44765523447655237,-29.69047706661969,35.61471733183831,9.999000099990002e-05,1.0
15,v9_both,baseline,4h,0,earlier,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,3596,7983,3596,3596,0,105,321,0.30228031145717466,-17.217992778843463,-0.02137922107667155,1087.0,-76.8796789917109,2.782007221156547,-140.913689846236,99.0,23.0,0.9695031531415572,0.02753058954393771,0.2560475845062324,0.3534778884540816,-58.135276253850115,27.27295066968224,-0.21111616352785564,0.18129338259368633,659,-44.542961515469365,-33.625309336292446,0.2943854324734446,-10.917652179176914,0.1832591768631813,360,638,True,descriptive same-clock matched random,,,,,,
15,v9_both,baseline,4h,0,later,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,3596,7983,7994,7983,11,91,609,0.3219341099837154,-1.602946088878228,-0.026809121606836343,2570.0,-214.01721778737453,18.39705391112178,-159.64784456587702,186.0,43.0,0.960344820177514,0.023299511461856444,0.28004992793514394,0.36511702651571903,-41.31197896992676,42.52642246854173,-0.17082582077253647,0.14116320427680404,1418,-13.778409812473164,-22.366577734501757,0.304654442877292,8.588167922028601,0.1776274583489916,638,638,True,descriptive same-clock matched random,,,,,,
15,v9_both,baseline,4h,0,cross,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,3596,7983,23,23,0,1,23,0.2608695652173913,-115.76859009441431,-0.46165898545722606,6.0,-10.6181566655162,-95.76859009441426,-135.138592750534,0.0,0.0,0.2491853135806725,0.0,,,,,,,3,-34.04991914475167,-29.186278653874332,0.3333333333333333,-4.8636404908773345,0.13043478260869565,360,638,True,descriptive same-clock matched random,,,,,,
15,v9_both,baseline,4h,4,all,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,2563,5258,7843,7825,18,195,630,0.3096485623003195,-11.043837573848451,-0.08877159849530536,2423.0,-694.6377582257644,8.956162426151556,-137.704757233938,165.0,26.0,0.8769940801269517,0.021086261980830672,0.2760324795896026,0.34267059940492023,-41.07747376649401,22.85930991838961,-0.21398445671307217,0.05179722873270034,1245,-19.935789803520287,-24.933169617431506,0.2987951807228916,4.99737981391122,0.15910543130990415,638,638,True,"same-clock matched random, entry-week block inference",182.0,0.3618638136186381,-23.479430933034592,35.0246297498797,9.999000099990002e-05,1.0
15,v9_both,baseline,4h,4,earlier,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,2026-09-23 04:00:00+00:00,2563,5258,2563,2563,0,105,320,0.30823253999219663,-8.309452350835201,-0.12042306547998906,790.0,-308.64431682521194,11.690547649164802,-130.959704107456,47.0,9.0,0.8346441236047834,0.01833788529067499,0.24889883009214173,0.3722731490936643,-50.643049296580735,36.10882856287547,-0.316064301168027,0.0749090929567586,426,-14.248310358847737,-36.14504416966146,0.28169014084507044,21.896733810813732,0.16621147093250097,360,638,True,descriptive same-clock matched random,,,,,,
