asset,closed,wins,total_r,positive_r,negative_r,win_rate,mean_r,pf_r,score_known,arm,selection_mode,win_le_10pct,mean_lt_neg036,pf_lt_05
0G,154,59,31.77727056339807,124.78729713249477,93.0100265690967,0.38311688311688313,0.2063459127493381,1.341654246704154,True,v9,full_history_posthoc,False,False,False
1000000BOB,68,22,-4.359059574627828,42.158933628431974,46.5179932030598,0.3235294117647059,-0.06410381727393866,0.9062930433047764,True,v9,full_history_posthoc,False,False,False
1000000MOG,113,34,23.783843840692825,97.03853806378633,73.25469422309351,0.3008849557522124,0.21047649416542322,1.3246733071912131,True,v9,full_history_posthoc,False,False,False
1000BONK,142,38,3.8653197641389276,106.2363196942771,102.37099993013818,0.2676056338028169,0.027220561719288223,1.037757956518709,True,v9,full_history_posthoc,False,False,False
1000CAT,100,34,9.012260967169228,71.99179371231075,62.979532745141526,0.34,0.09012260967169228,1.1430982507228027,True,v9,full_history_posthoc,False,False,False
1000CHEEMS,106,27,-10.857502748344611,60.64408589351393,71.50158864185853,0.25471698113207547,-0.10242927121079821,0.8481501886240834,True,v9,full_history_posthoc,False,False,False
1000FLOKI,127,37,-20.126110763553825,68.7493658127704,88.87547657632423,0.29133858267716534,-0.15847331309884902,0.7735470847656161,True,v9,full_history_posthoc,False,False,False
1000LUNC,122,32,-22.168667660068614,66.27286579856232,88.44153345863094,0.26229508196721313,-0.18171039065630012,0.7493409850199154,True,v9,full_history_posthoc,False,False,False
1000PEPE,147,48,48.40872661119471,142.91629024346716,94.50756363227244,0.32653061224489793,0.32931106538227695,1.512220659920431,True,v9,full_history_posthoc,False,False,False
1000RATS,129,33,7.105388777403025,99.58828349594528,92.48289471854224,0.2558139534883721,0.055080533158162984,1.076829221220067,True,v9,full_history_posthoc,False,False,False
1000SATS,111,37,-1.086199279034684,72.44525946773155,73.53145874676623,0.3333333333333333,-0.009785579090402558,0.9852281010393737,True,v9,full_history_posthoc,False,False,False
1000SHIB,121,39,18.760862960976958,99.03659475283517,80.27573179185822,0.32231404958677684,0.15504845422295008,1.2337052872918155,True,v9,full_history_posthoc,False,False,False
1000WHY,72,21,-4.303457386608334,46.19419348985177,50.497650876460106,0.2916666666666667,-0.0597702414806713,0.9147790577994108,True,v9,full_history_posthoc,False,False,False
1000X,64,20,-6.0849652329955255,37.9413649465502,44.026330179545724,0.3125,-0.09507758176555509,0.8617880434689842,True,v9,full_history_posthoc,False,False,False
1000XEC,139,35,-27.96286115634654,76.5619886128756,104.52484976922214,0.2517985611510791,-0.20117166299529884,0.732476428159571,True,v9,full_history_posthoc,False,False,False
1INCH,265,83,-29.62418554746232,144.29449027570757,173.9186758231699,0.3132075471698113,-0.11178937942438612,0.8296664495216004,True,v9,full_history_posthoc,False,False,False
1MBABYDOGE,117,37,31.156409157673316,107.4106699607164,76.25426080304308,0.3162393162393162,0.2662940953647292,1.4085858131671767,True,v9,full_history_posthoc,False,False,False
2Z,109,34,11.269928121823195,87.1281649349097,75.8582368130865,0.3119266055045872,0.10339383598002931,1.1485656481786166,True,v9,full_history_posthoc,False,False,False
4,63,16,-7.919078622530659,33.67766359551996,41.596742218050615,0.25396825396825395,-0.12569966067508984,0.8096226242666132,True,v9,full_history_posthoc,False,False,False
42,15,0,-13.938129809472047,0.0,13.938129809472047,0.0,-0.9292086539648031,0.0,True,v9,full_history_posthoc,True,True,True
A,141,41,-0.4351772010049898,94.60913153688239,95.04430873788738,0.2907801418439716,-0.003086363127694963,0.9954213228884107,True,v9,full_history_posthoc,False,False,False
A2Z,37,5,-15.021733681757981,17.01369345899859,32.03542714075657,0.13513513513513514,-0.40599280220967515,0.5310899518912043,True,v9,full_history_posthoc,False,True,False
AAOI,9,2,-4.2344367477880605,1.7803614766133908,6.014798224401451,0.2222222222222222,-0.4704929719764512,0.2959968747398105,True,v9,full_history_posthoc,False,True,True
AAPL,22,11,3.950893026737104,16.66207629945638,12.711183272719277,0.5,0.17958604666986835,1.310820239309782,True,v9,full_history_posthoc,False,False,False
AAVE,257,78,11.290653062073028,185.947006907921,174.656353845848,0.3035019455252918,0.043932502187054585,1.0646449603089627,True,v9,full_history_posthoc,False,False,False
ACE,100,22,-20.47060335703258,54.85958600166818,75.33018935870075,0.22,-0.2047060335703258,0.7282549860646516,True,v9,full_history_posthoc,False,False,False
ACH,267,77,-21.493459335505193,169.13238641376202,190.62584574926723,0.2883895131086142,-0.08049984769852132,0.8872479266857871,True,v9,full_history_posthoc,False,False,False
ACT,204,79,68.32437640720217,188.46572353627178,120.1413471290696,0.3872549019607843,0.33492341376079493,1.5686999358663782,True,v9,full_history_posthoc,False,False,False
