arm,selection_mode,period,policy,events,closed,censored,win_rate,mean_r,total_r,pf_r,pf_nominal,realized_ge10,event_drawdown_r,total_r_without_best,control_receipts,matched_pairs,unmatched_or_cross_period,paired_target_mean_r,control_mean_r,paired_excess_r,control_win_rate,paired_excess_nominal,blocks,mean_ci_low,mean_ci_high,p_month_signflip,assets_with_events,known_assets_with_events,blacklist_assets,excluded_assets_present,removed_closed,net_r_delta,gross_r,gross_r_delta,cost_r_reduction,original_ge10,retained_original_ge10,lost_original_ge10,excluded_fit_under10,excluded_fit_under30,unscored_retained_assets,unknown_asset_closed
v9,full_history_posthoc,full,baseline,82282,81854,428,0.3088059227404892,0.033696170701831334,2758.166356627702,1.0497409154833823,1.0487620997769338,462,5716.580327476863,2623.515192308453,82282,81703,579,0.034139330675181226,-0.02866908401542395,0.06280841469060518,0.2895242524754293,0.001483361382665049,25,0.01235786584249843,0.11849513562895247,0.01699150424787606,821,821,0,0,0,0.0,8593.080640660555,0.0,0.0,462,462,0,0,0,1,0
v9,full_history_posthoc,full,win_le_10pct,82132,81712,420,0.30929361660466026,0.035593964337955954,2908.454013983057,1.0525974095655242,1.050386079799825,462,5653.127801551536,2773.802849663808,82132,81563,569,0.03601166228524433,-0.027302662953242553,0.06331432523848687,0.2895920944545934,0.001519060538952292,25,0.012586229971016785,0.1192627253974797,0.01649175412293853,795,795,26,26,142,150.2876573553549,8716.101525662823,123.02088500226819,27.26677235308398,462,462,0,22,26,1,0
v9,full_history_posthoc,full,mean_lt_neg036,78589,78211,378,0.31389446497295775,0.059299702372536574,4637.889022258458,1.0884442305948976,1.0808990323424468,461,4391.256135311081,4503.237857939209,78589,78081,508,0.05965848383099288,-0.01887598535341306,0.07853446918440592,0.2904547841344245,0.002089084555550466,25,0.02560303372973715,0.13700224769056063,0.004497751124437781,703,703,118,118,3643,1879.7226656307557,10107.469458164604,1514.3888175040483,365.3338481267074,462,461,1,37,74,1,0
v9,full_history_posthoc,full,pf_lt_05,79205,78821,384,0.3131398992654242,0.055711686628659586,4391.250851757577,1.082926410290328,1.077069168097934,462,4577.872691002943,4256.599687438328,79205,78691,514,0.05606175935630344,-0.020426959318725714,0.07648871867502915,0.2903000343114206,0.002038882193847062,25,0.023981245056952576,0.13448003917029067,0.006496751624187906,714,714,107,107,3033,1633.084495129875,9921.933351293648,1328.852710633093,304.2317844967838,462,462,0,35,70,1,0
v9,full_history_posthoc,earlier,baseline,31295,31295,0,0.3281993928742611,0.13685695564382006,4282.938426873348,1.210612951253426,1.1238563050389594,176,2905.023786835437,4214.820214559123,31295,31076,219,0.1428234103540723,0.004202982253431544,0.13862042810064076,0.29295919680782595,0.0034833476044453075,13,0.030161819784606258,0.2489359132257147,0.014492753623188406,514,514,0,0,0,0.0,6254.929797231486,0.0,0.0,176,176,0,0,0,0,0
v9,full_history_posthoc,earlier,win_le_10pct,31289,31289,0,0.3282623286138899,0.1370967119153439,4289.619019119195,1.2110107892145097,1.1240215497413641,176,2905.023786835437,4221.50080680497,31289,31070,219,0.1430660087675892,0.004148225482673684,0.13891778328491547,0.29295140006437076,0.003490478313658892,13,0.031020922050296898,0.24916651694208664,0.014492753623188406,513,513,26,1,6,6.680592245847038,6260.929797231487,6.0000000000009095,0.6805922458452187,176,176,0,22,26,0,0
v9,full_history_posthoc,earlier,mean_lt_neg036,30903,30903,0,0.3299356049574475,0.14457679481870758,4467.8566902825205,1.2231580016200065,1.1352171313126165,176,2822.850779379265,4399.738477968295,30903,30688,215,0.15051331802092283,0.004456073087105243,0.14605724493381758,0.2926551094890511,0.0037964746308850324,13,0.03577274880684779,0.2587145269388271,0.013993003498250875,490,490,118,24,392,184.91826340917214,6415.4091722409885,160.4793750095023,24.43888839967167,176,176,0,37,74,0,0
v9,full_history_posthoc,earlier,pf_lt_05,30909,30909,0,0.3299039114820926,0.14444960676284146,4464.792895432667,1.22294728701693,1.134872661775894,176,2825.9145742291194,4396.674683118442,30909,30694,215,0.15038407860090652,0.004466662567621289,0.14591741603328523,0.29266306118459634,0.0037873024128347193,13,0.035697056739301125,0.2586051926303796,0.013993003498250875,491,491,107,23,386,181.85446855931878,6412.570178530297,157.640381298811,24.21408726050913,176,176,0,35,70,0,0
v9,full_history_posthoc,later,baseline,50447,50021,426,0.29427640391035764,-0.04176620419053339,-2089.1872998146705,0.9401374674427213,0.9905692417372317,275,3852.6794860229593,-2223.8384641339194,50447,49874,573,-0.04121018440761878,-0.06001086157730027,0.018800677169681486,0.28491799334322493,0.00043242436154929337,13,-0.021189096012613328,0.05411135334043547,0.1924037981009495,791,791,0,0,0,0.0,1743.0748524197995,0.0,0.0,275,275,0,0,0,1,0
v9,full_history_posthoc,later,win_le_10pct,50303,49885,418,0.2949984965420467,-0.03900130770181743,-1945.5802347051626,0.9440157835523648,0.9930810912483544,275,3790.2538091922106,-2080.2313990244115,50303,49740,563,-0.03848138022867659,-0.05781648827278741,0.019335108044110826,0.2850221149979896,0.0004839192048442562,13,-0.020573535998886224,0.05472705756560291,0.1874062968515742,766,766,26,25,136,143.60706510950786,1860.0957374220686,117.0208850022691,26.58618010723876,275,275,0,22,26,1,0
v9,full_history_posthoc,later,mean_lt_neg036,47148,46771,377,0.300784674263967,-0.00845418933871328,-395.4108895609588,0.9877213918897507,1.0345769007599557,274,2737.11765119769,-530.0620538802077,47148,46644,504,-0.007961015242573163,-0.04550182875472741,0.037540813512154256,0.28644627390446786,0.001177041443088597,13,-0.003418735071308498,0.07547661955558846,0.049475262368815595,678,678,118,113,3250,1693.7764102537117,3095.9842949143476,1352.909442494548,340.8669677591629,275,274,1,37,74,1,0
v9,full_history_posthoc,later,pf_lt_05,47758,47375,383,0.2997150395778364,-0.013487815624527388,-638.985265211985,0.9804669733104212,1.0287821766311456,275,2900.7093354776125,-773.636429531234,47758,47248,510,-0.01301447618154438,-0.04775442587535954,0.034739949693815164,0.2862343379613952,0.001110830973132381,13,-0.005984366829016697,0.07229370807113851,0.06496751624187906,689,689,107,102,2646,1450.2020346026854,2913.2871817540813,1170.2123293342818,279.98970526840276,275,275,0,35,70,1,0
