arm,period,threshold,baseline_winners,retained,lost,new,common_closed
ma_density_only,full,ge3,3147,981,2166,55,13812
ma_density_only,full,gt5,1374,450,924,25,13812
ma_density_only,full,gt10,339,113,226,12,13812
ma_hard,full,ge3,3147,5,3142,1,55
ma_hard,full,gt5,1374,4,1370,1,55
ma_hard,full,gt10,339,2,337,0,55
ma_grade_a,full,ge3,3147,0,3147,0,6
ma_grade_a,full,gt5,1374,0,1374,0,6
ma_grade_a,full,gt10,339,0,339,0,6
ma_density_only,earlier,ge3,1821,520,1301,37,7007
ma_density_only,earlier,gt5,787,232,555,18,7007
ma_density_only,earlier,gt10,205,58,147,9,7007
ma_hard,earlier,ge3,1821,3,1818,1,20
ma_hard,earlier,gt5,787,2,785,1,20
ma_hard,earlier,gt10,205,2,203,0,20
ma_grade_a,earlier,ge3,1821,0,1821,0,3
ma_grade_a,earlier,gt5,787,0,787,0,3
ma_grade_a,earlier,gt10,205,0,205,0,3
ma_density_only,later,ge3,1325,461,864,18,6802
ma_density_only,later,gt5,586,218,368,7,6802
ma_density_only,later,gt10,134,55,79,3,6802
ma_hard,later,ge3,1325,2,1323,0,35
ma_hard,later,gt5,586,2,584,0,35
ma_hard,later,gt10,134,0,134,0,35
ma_grade_a,later,ge3,1325,0,1325,0,3
ma_grade_a,later,gt5,586,0,586,0,3
ma_grade_a,later,gt10,134,0,134,0,3
ma_density_only,cross_split,ge3,1,0,1,0,3
ma_density_only,cross_split,gt5,1,0,1,0,3
ma_density_only,cross_split,gt10,0,0,0,0,3
ma_hard,cross_split,ge3,1,0,1,0,0
ma_hard,cross_split,gt5,1,0,1,0,0
ma_hard,cross_split,gt10,0,0,0,0,0
ma_grade_a,cross_split,ge3,1,0,1,0,0
ma_grade_a,cross_split,gt5,1,0,1,0,0
ma_grade_a,cross_split,gt10,0,0,0,0,0
