arm,period,direction,entries,n,censored,win_rate,mean_gross_bp,mean_net_bp,sum_net_r,mean_net_r,pf_r,net_ge3r,net_gt5r,net_gt10r,random_pairs,random_mean_net_bp,paired_excess_bp,paired_excess_r
baseline,full,both,44318,44226,92,0.31275720164609055,22.8163913370303,2.816391337030291,1429.3447054812173,0.03231910427081846,1.0459497847957606,3147,1374,339,44146,-8.197379401429673,10.858392398965822,0.10684176301550528
baseline,full,long,21464,21448,16,0.2866467735919433,-1.343440544434797,-21.34344054443481,-1973.2653024569252,-0.09200229869717107,0.87329177269657,1191,529,136,21411,-15.326118340530396,-6.2174353863589715,0.0389046131052064
baseline,full,short,22854,22778,76,0.33734305031170425,45.565538505072425,25.565538505072414,3402.6100079381426,0.14938142101756707,1.2190516633439503,1956,845,203,22735,-1.483791126739302,26.93978886747645,0.17082251149711555
ma_density_only,full,both,14550,14506,44,0.30842410037225976,19.507693055931956,-0.492306944068055,319.5311784320275,0.022027518160211465,1.0308759224661153,1036,475,125,14476,-9.769428590760212,9.133108726271425,0.10736294279335316
ma_density_only,full,long,7054,7046,8,0.2848424638092535,-4.493172565490288,-24.493172565490298,-905.419023677823,-0.12850113875643246,0.8252460329011584,378,163,42,7035,-9.638186148942209,-15.31651435481024,-0.016144961918260897
ma_density_only,full,short,7496,7460,36,0.3306970509383378,42.176607153591625,22.176607153591615,1224.9502021098506,0.16420243996110598,1.2370364416947395,658,312,83,7441,-9.89351010913001,32.248697810454935,0.22413194019238622
ma_hard,full,both,59,59,0,0.2711864406779661,100.42666613794988,80.42666613794985,37.821070329456056,0.6410350903297637,1.9140576168757115,6,5,2,59,5.722157457247457,74.7045086807024,0.5275576339547029
ma_hard,full,long,24,24,0,0.16666666666666666,-14.140408420181595,-34.140408420181586,-2.1544279614774933,-0.08976783172822889,0.8897791166190916,2,2,0,24,72.73433564729528,-106.8747440674769,-0.6835812420513973
ma_hard,full,short,35,35,0,0.34285714285714286,178.98694583495427,158.98694583495424,39.97549829093355,1.142157094026673,2.8311630950481796,4,3,2,35,-40.22905044449963,199.21599627945392,1.358052863216029
ma_grade_a,full,both,6,6,0,0.0,-241.09953735888965,-261.0995373588897,-6.5354855296402405,-1.0892475882733734,0.0,0,0,0,6,319.5485734152325,-580.6481107741221,-2.6663608258184657
ma_grade_a,full,long,4,4,0,0.0,-264.0337077401455,-284.0337077401455,-4.317714876262603,-1.0794287190656509,0.0,0,0,0,4,573.3548097871312,-857.3885175272767,-4.028185728161069
ma_grade_a,full,short,2,2,0,0.0,-195.23119659637797,-215.23119659637803,-2.217770653377637,-1.1088853266888186,0.0,0,0,0,2,-188.06389932856501,-27.167297267813012,0.05728897886674178
baseline,earlier,both,23612,23612,0,0.33118753176351007,34.02186000016274,14.021860000162729,2726.4314710529907,0.11546804468291508,1.1696246164918813,1821,787,205,23558,-4.746764843153323,18.823384699069354,0.15780516559352725
baseline,earlier,long,11539,11539,0,0.32073836554294133,13.73948903090519,-6.2605109690948195,198.46132372454693,0.01719917876111855,1.0249311710220306,731,312,77,11515,-13.081870579892158,6.860263023286585,0.12380873501011874
baseline,earlier,short,12073,12073,0,0.34117452165990225,53.407122868899826,33.40712286889982,2527.970147328443,0.20939038742056185,1.3115967100767472,1090,475,128,12043,3.2229057172176527,30.26200847193647,0.19031109419669504
