i,stem,symbol,tip_idx,tip_time,max_conf,n_boxes,tip_spread,right_p50,owner_keep,owner_note,image
1,XRP_USDT_SWAP_014579,XRP_USDT_SWAP,14579,2025-11-01 12:45:00+00:00,0.5684,1,0.001139,0.9972,,,images/train/XRP_USDT_SWAP_014579.png
2,OL_USDT_SWAP_006059,OL_USDT_SWAP,6059,2025-12-31 13:00:00+00:00,0.4057,1,0.001486,0.9974,,,images/train/OL_USDT_SWAP_006059.png
3,LUNA_USDT_SWAP_008199,LUNA_USDT_SWAP,8199,2025-08-28 02:00:00+00:00,0.497,1,0.001637,0.9984,,,images/train/LUNA_USDT_SWAP_008199.png
4,API3_USDT_SWAP_018119,API3_USDT_SWAP,18119,2025-12-09 07:30:00+00:00,0.3388,1,0.001639,0.997,,,images/train/API3_USDT_SWAP_018119.png
5,CRV_USDT_SWAP_009259,CRV_USDT_SWAP,9259,2025-09-07 01:45:00+00:00,0.3983,1,0.001699,0.9965,,,images/train/CRV_USDT_SWAP_009259.png
6,SUI_USDT_SWAP_021259,SUI_USDT_SWAP,21259,2026-01-10 02:30:00+00:00,0.5341,1,0.001902,0.9995,,,images/train/SUI_USDT_SWAP_021259.png
7,SSV_USDT_SWAP_027619,SSV_USDT_SWAP,27619,2026-03-18 10:15:00+00:00,0.3876,1,0.001917,0.9977,,,images/train/SSV_USDT_SWAP_027619.png
8,S_USDT_SWAP_020239,S_USDT_SWAP,20239,2025-12-31 13:00:00+00:00,0.5698,1,0.001953,0.9967,,,images/train/S_USDT_SWAP_020239.png
9,WCT_USDT_SWAP_027759,WCT_USDT_SWAP,27759,2026-03-19 21:30:00+00:00,0.477,1,0.002027,0.9977,,,images/train/WCT_USDT_SWAP_027759.png
10,A_USDT_SWAP_025219,A_USDT_SWAP,25219,2026-02-21 06:00:00+00:00,0.5494,1,0.002042,0.9979,,,images/train/A_USDT_SWAP_025219.png
11,F_USDT_SWAP_013559,F_USDT_SWAP,13559,2026-03-15 13:45:00+00:00,0.4278,1,0.002081,0.997,,,images/train/F_USDT_SWAP_013559.png
12,MUBARAK_USDT_SWAP_014559,MUBARAK_USDT_SWAP,14559,2025-11-02 08:15:00+00:00,0.5272,1,0.002084,0.9976,,,images/train/MUBARAK_USDT_SWAP_014559.png
