signal_i,signal_bar_open,symbol,asset,timeframe,source,box_entry_i,bars_after_v9,trade_key,entry_i,entry_time,entry_price,initial_stop,initial_risk,initial_risk_frac,exit_i,exit_time,exit_price,exit_reason,gross_return,net_return,gross_r,net_r,censored,mfe_r,arm,status,baseline_risk_frac,net_r_on_baseline_risk,signal_close,period,month,matched,reason,control_signal_i,control_parent_i,control_signal_bar_open,control_net_r,control_net_return,control_baseline_risk_frac,control_net_r_on_baseline_risk,control_exit_time,vol_bin,fold,net_bp,gross_bp
1783,2024-09-12 22:45:00+00:00,1000PEPEUSDT,1000PEPE,15m,chart,1769.0,14.0,binance_um:1000PEPEUSDT:15m:box_any:1783,1784,2024-09-12 23:00:00+00:00,0.007425,0.0073379,8.710000000000055e-05,0.0117306397306398,1807,2024-09-13 04:45:00+00:00,0.0073379,initial_stop,-0.0117306397306398,-0.0137306397306398,-1.0000000000000009,-1.1704936854190586,False,0.095292766934559,baseline,closed,0.0117306397306398,-1.1704936854190586,2024-09-12 23:00:00+00:00,earlier,2024-09,True,matched,1954.0,1940.0,2024-09-14 17:30:00+00:00,-1.22826253687315,-0.0107618407619441,0.0087618407619442,-1.22826253687315,2024-09-14 18:00:00+00:00,0.0,earlier,-137.306397306398,-117.306397306398
2876,2024-09-24 08:00:00+00:00,1000PEPEUSDT,1000PEPE,15m,chart,2876.0,0.0,binance_um:1000PEPEUSDT:15m:box_any:2876,2877,2024-09-24 08:15:00+00:00,0.0081237,0.0080185999999999,0.0001051,0.0129374546081219,2965,2024-09-25 06:15:00+00:00,0.0084470999999999,trailing_stop,0.0398094464345064,0.0378094464345064,3.077069457659363,2.922479543292094,False,6.356803044719308,baseline,closed,0.0129374546081219,2.922479543292094,2024-09-24 08:15:00+00:00,earlier,2024-09,True,matched,2842.0,2842.0,2024-09-23 23:30:00+00:00,-1.1753369330453527,-0.0134066099210405,0.0114066099210406,-1.1753369330453527,2024-09-24 00:30:00+00:00,1.0,earlier,378.094464345064,398.094464345064
9996,2024-12-07 12:00:00+00:00,1000PEPEUSDT,1000PEPE,15m,htf,9983.0,13.0,binance_um:1000PEPEUSDT:15m:box_any:9996,9997,2024-12-07 12:15:00+00:00,0.0222437,0.0217687999999999,0.0004749,0.0213498653551344,10045,2024-12-08 00:15:00+00:00,0.0244227,trailing_stop,0.0979603213494155,0.0959603213494155,4.588334386186519,4.494656980416884,False,9.994314592545717,baseline,closed,0.0213498653551344,4.494656980416884,2024-12-07 12:15:00+00:00,earlier,2024-12,True,matched,12305.0,12292.0,2024-12-31 13:15:00+00:00,-1.0270446906035149,-0.0759516687146025,0.0739516687146025,-1.0270446906035149,2025-01-01 09:00:00+00:00,2.0,earlier,959.6032134941548,979.6032134941548
11985,2024-12-28 05:15:00+00:00,1000PEPEUSDT,1000PEPE,15m,chart,11985.0,0.0,binance_um:1000PEPEUSDT:15m:box_any:11985,11986,2024-12-28 05:30:00+00:00,0.0182743,0.0178943,0.00038,0.0207942301483505,12111,2024-12-29 12:45:00+00:00,0.0187113,trailing_stop,0.0239133646706029,0.0219133646706028,1.1499999999999906,1.0538194736842017,False,2.4134210526315685,baseline,closed,0.0207942301483505,1.0538194736842017,2024-12-28 05:30:00+00:00,earlier,2024-12,True,matched,11616.0,11616.0,2024-12-24 09:00:00+00:00,1.810133480825932,0.0271281450494309,0.0149868202189447,1.810133480825932,2024-12-24 20:00:00+00:00,1.0,earlier,219.133646706028,239.133646706029
12850,2025-01-06 05:30:00+00:00,1000PEPEUSDT,1000PEPE,15m,chart,12837.0,13.0,binance_um:1000PEPEUSDT:15m:box_any:12850,12851,2025-01-06 05:45:00+00:00,0.0210043,0.0207534999999999,0.0002508,0.0119404122013112,12856,2025-01-06 07:00:00+00:00,0.0207534999999999,initial_stop,-0.0119404122013112,-0.0139404122013112,-0.9999999999999986,-1.1674984051036654,False,0.2515948963317359,baseline,closed,0.0119404122013112,-1.1674984051036654,2025-01-06 05:45:00+00:00,earlier,2025-01,True,matched,12950.0,12937.0,2025-01-07 06:30:00+00:00,-1.1925164011246467,-0.0123887252634911,0.0103887252634911,-1.1925164011246467,2025-01-07 11:30:00+00:00,1.0,earlier,-139.404122013112,-119.404122013112
19424,2025-03-15 17:00:00+00:00,1000PEPEUSDT,1000PEPE,15m,htf,19419.0,5.0,binance_um:1000PEPEUSDT:15m:box_any:19424,19425,2025-03-15 17:15:00+00:00,0.0071428,0.0070241999999999,0.0001186,0.0166041328330627,19457,2025-03-16 01:15:00+00:00,0.0070754,opposite_v6_next_open,-0.0094360754886039,-0.0114360754886039,-0.5682967959527794,-0.6887487352445156,False,2.0210792580101025,baseline,closed,0.0166041328330627,-0.6887487352445156,2025-03-15 17:15:00+00:00,earlier,2025-03,True,matched,20037.0,20032.0,2025-03-22 02:15:00+00:00,-1.1401888246628162,-0.0162664724154045,0.0142664724154045,-1.1401888246628162,2025-03-22 14:45:00+00:00,1.0,earlier,-114.360754886039,-94.360754886039
22080,2025-04-12 09:00:00+00:00,1000PEPEUSDT,1000PEPE,15m,htf,22067.0,13.0,binance_um:1000PEPEUSDT:15m:box_any:22080,22081,2025-04-12 09:15:00+00:00,0.0070712,0.0069711,0.0001000999999999,0.0141560131236564,22086,2025-04-12 10:30:00+00:00,0.0069711,initial_stop,-0.0141560131236564,-0.0161560131236564,-0.9999999999999976,-1.1412827172827154,False,0.0759240759240758,baseline,closed,0.0141560131236564,-1.1412827172827154,2025-04-12 09:15:00+00:00,earlier,2025-04,True,matched,23803.0,23790.0,2025-04-30 07:45:00+00:00,0.2727419354838814,0.003256896844729,0.0119413130912593,0.2727419354838814,2025-04-30 12:30:00+00:00,1.0,earlier,-161.56013123656402,-141.560131236564
22728,2025-04-19 03:00:00+00:00,1000PEPEUSDT,1000PEPE,15m,chart,22715.0,13.0,binance_um:1000PEPEUSDT:15m:box_any:22728,22729,2025-04-19 03:15:00+00:00,0.0073461,0.0072672,7.890000000000067e-05,0.0107403928615184,22740,2025-04-19 06:00:00+00:00,0.0072672,initial_stop,-0.0107403928615184,-0.0127403928615184,-0.9999999999999954,-1.186212927756648,False,0.6451204055766683,baseline,closed,0.0107403928615184,-1.186212927756648,2025-04-19 03:15:00+00:00,earlier,2025-04,True,matched,22799.0,22786.0,2025-04-19 20:45:00+00:00,0.3875999999999791,0.0032294311300176,0.0083318656605206,0.3875999999999791,2025-04-20 08:30:00+00:00,0.0,earlier,-127.403928615184,-107.403928615184
22784,2025-04-19 17:00:00+00:00,1000PEPEUSDT,1000PEPE,15m,htf,22782.0,2.0,binance_um:1000PEPEUSDT:15m:box_any:22784,22785,2025-04-19 17:15:00+00:00,0.0073374,0.0072537,8.369999999999992e-05,0.0114073104914547,22846,2025-04-20 08:30:00+00:00,0.0074198999999999,trailing_stop,0.0112437648213261,0.0092437648213261,0.98566308243726,0.8103369175627078,False,3.1589008363201905,baseline,closed,0.0114073104914547,0.8103369175627078,2025-04-19 17:15:00+00:00,earlier,2025-04,True,matched,22570.0,22568.0,2025-04-17 11:30:00+00:00,-1.130872207327973,-0.0172820834983544,0.0152820834983544,-1.130872207327973,2025-04-17 13:30:00+00:00,1.0,earlier,92.437648213261,112.437648213261
23708,2025-04-29 08:00:00+00:00,1000PEPEUSDT,1000PEPE,15m,chart,23708.0,0.0,binance_um:1000PEPEUSDT:15m:box_any:23708,23709,2025-04-29 08:15:00+00:00,0.0090765,0.0089207,0.0001557999999999,0.0171652068528617,23725,2025-04-29 12:15:00+00:00,0.0089207,initial_stop,-0.0171652068528617,-0.0191652068528617,-1.0,-1.1165147625160468,False,0.1078305519897362,baseline,closed,0.0171652068528617,-1.1165147625160468,2025-04-29 08:15:00+00:00,earlier,2025-04,True,matched,22643.0,22643.0,2025-04-18 05:45:00+00:00,1.2609281314168297,0.0173153620572974,0.013732235506429,1.2609281314168297,2025-04-19 09:45:00+00:00,1.0,earlier,-191.65206852861695,-171.652068528617
