symbol,loaded_first_5m,loaded_last_5m,chart_pre_start_bars,daily_pre_start_bars,chart_bars,daily_bars,source_sha256,btc_1h_full_trade_parity
1000PEPEUSDT,2023-05-05 16:30:00+00:00,2026-04-30 23:55:00+00:00,1500,494,5088,1092,d30690b93dc3f4591beb946301e3633275d627878bc77414ead37780c61afb9d,
SOLUSDT,2020-09-14 07:00:00+00:00,2026-04-30 23:55:00+00:00,1500,1452,5088,2050,87a76aa5c36208d862a29016c399d9124365dc93e7cdbd9799e14e2dba8e1165,
ETHUSDT,2020-08-02 00:00:00+00:00,2026-04-30 23:55:00+00:00,1500,1500,5088,2098,8041770149cff3551f84966b1b5f3641f2f731dc3ae7c7d0bfeaf7b24dcd64e8,
HYPEUSDT,2025-05-30 10:30:00+00:00,2026-04-30 23:55:00+00:00,0,0,2014,336,1b9275701a078f61d7e879cb70d73417c4cc225240741143ee1272b6ccbca930,
WIFUSDT,2024-01-18 14:15:00+00:00,2026-04-30 23:55:00+00:00,1413,236,5001,834,2d2103b45a435104547f29b8526702a3fc1172d7057480dfff330a460e59ff06,
USELESSUSDT,2025-08-15 12:15:00+00:00,2026-04-30 23:55:00+00:00,0,0,1551,259,9f1490e8856a39b419eb5b52b8bd460541510f1fae7a78a8672d13cd9e05390e,
MUBARAKUSDT,2025-03-17 13:45:00+00:00,2026-04-30 23:55:00+00:00,0,0,2457,410,015799945dacbd2cbb0a48e58125dade70b333f1452a1bdc434df3c181bdb09b,
ZECUSDT,2020-08-02 00:00:00+00:00,2026-04-30 23:55:00+00:00,1500,1495,5088,2093,72d9cd5b7d20ed0fe4286388c59cfe1ab0f076ad2c53a5d84c534f51bd122e8d,
PUMPUSDT,2025-07-01 00:00:00+00:00,2026-04-30 23:55:00+00:00,0,0,1823,304,40ef103f438fc14c6f2c3ba098325bb5b22e14eebf2c3c76306c1f30d8cb861e,
BTCUSDT,2020-08-02 00:00:00+00:00,2026-04-30 23:55:00+00:00,1500,1500,5088,2098,b609b006d30c1db0aba54bad31f16e7b533c95005a977f43ce0033931f226322,4.0
UNIUSDT,2020-09-18 07:00:00+00:00,2026-04-30 23:55:00+00:00,1500,1453,5088,2051,f83f02cff8f09936a40b7c70137f7add7e43e3d6cd8edb395a7ea35a4fae2a41,
ARBUSDT,2023-03-23 15:00:00+00:00,2026-04-30 23:55:00+00:00,1500,537,5088,1135,3676a8600eba7438a4ed5cf79faf95d9f8e67c543d677ed54e65f2840bb12457,
BOMEUSDT,2024-03-16 12:30:00+00:00,2026-04-30 23:55:00+00:00,1065,178,4653,776,885c8d3bb7e72f96847574e8bb560c6808b06f1fb1ea620caec0ff8a53de8416,
ARUSDT,2021-09-28 03:30:00+00:00,2026-04-30 23:55:00+00:00,1500,1078,5088,1676,8cc0ce24938b8a1c759cfebbf15807faf92afd70d080306a541fe4cd06c9ef00,
PIEVERSEUSDT,2025-11-14 11:30:00+00:00,2026-04-30 23:55:00+00:00,0,0,1006,168,772a33bfeed296d75c34004e68580a75ae851a9cefdc49637a8bf4d729849bd8,
ENAUSDT,2024-04-02 12:30:00+00:00,2026-04-30 23:55:00+00:00,963,161,4551,759,f7d23039b42fdaa1603c32b47ff4ffa5c6417bff1bbe3aac90fdbd21d7bf54a2,
ONEUSDT,2021-03-18 07:00:00+00:00,2026-04-30 23:55:00+00:00,1500,1267,5088,1865,d1c03799d236337c341f33fa0aade7790d4dd6f18b1b9b4b39f571f6fca9ae70,
AAVEUSDT,2020-10-16 07:00:00+00:00,2026-04-30 23:55:00+00:00,1500,1425,5088,2023,d7394fcba22f0390a04eb5733cd4a8d6cfc2edd39b5169d1ad0d2d04fd14b28d,
NEARUSDT,2020-10-15 08:00:00+00:00,2026-04-30 23:55:00+00:00,1500,1421,5088,2019,a8f054cfedff52926185445e187e03f1aa6f3661468be36f821f2561a9aa5188,
ZENUSDT,2020-11-24 07:00:00+00:00,2026-04-30 23:55:00+00:00,1500,1381,5088,1979,08a43c69bc3a198a0ac451356d027761dac948846f45e6b83aa1bdd0d653ebfd,
