gate_id,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,baseline_top_decile_events,baseline_top_decile_event_capture,baseline_top_decile_positive_pnl_capture,candidate_p95_net_bp,baseline_p95_net_bp,candidate_p95_net_retention,selection_rate,candidate_minus_baseline_mean_net_bp,minimum_fold_events,positive_absolute_folds,folds_beating_baseline,robust_score_bp,worst_fold_net_bp,familywise_permutation_p,gate_events_total,gate_events_per_fold,gate_selection_rate,gate_mean_improvement,gate_mean_net,gate_profit_factor,gate_positive_folds,gate_folds_beating_baseline,gate_right_tail_pnl,gate_p95_retention,gate_familywise_p,all_opening_gates_pass
eth_1h,147,-11.51127240462568,-31.511272404625615,-68.023660971634,0.19047619047619047,0.511237193795102,-0.4864689780148167,-0.49239455143954936,18.0,127.40452471091822,697.275504776673,0.34521399909106987,19,0.7368421052631579,0.662199165177349,255.9112494782816,273.69915667331327,0.9350092729139707,0.8076923076923077,-9.187643750886796,31,0,0,-41.734668794921525,-41.15228094098343,0.999920001599968,True,True,False,False,False,False,False,False,True,True,False,False
eth_4h,124,-2.5116461803853034,-22.511646180385238,-66.9802088237825,0.20161290322580644,0.6380553139555889,-0.22006054203880032,-0.37575797841887437,22.0,129.2703318156681,811.3530622687599,0.3405079445820691,19,0.631578947368421,0.6834653794457869,250.39281341683147,273.69915667331327,0.9148468576236785,0.6813186813186813,-0.18801752664641924,26,1,3,-30.673835363818405,-43.3159757659995,0.9776204475910482,True,True,True,False,False,False,True,True,True,True,False,False
btc_stack,121,-4.039473412020415,-24.039473412020353,-65.558349514512,0.21487603305785125,0.5958926295160661,-0.36744206464228013,-0.39089436466695804,22.0,124.91678190458501,811.3530622687599,0.33958469895368376,19,0.5789473684210527,0.5706187274555153,256.003055584773,273.69915667331327,0.9353446999850924,0.6648351648351648,-1.7158447582815342,24,0,2,-26.6629738735196,-43.75765991784903,0.9887402251954961,True,True,True,False,False,False,False,False,True,True,False,False
participation,36,13.15654285281536,-6.843457147184503,-49.328005062694004,0.25,0.8830648293005962,-0.04274787174025363,-0.10185777092772574,17.0,163.8746511104595,697.275504776673,0.3138923518019373,19,0.21052631578947367,0.24463392879864335,257.47748931302925,273.69915667331327,0.9407317597998807,0.1978021978021978,15.480171506554317,8,1,3,-31.919935420693683,-81.6818958890725,0.6644467110657787,False,True,False,True,True,True,True,True,False,True,False,False
expansion,28,76.78175681427336,56.781756814273386,-20.2614189531895,0.4642857142857143,1.9989955500024799,0.2987222719433946,-0.06770640302119801,49.0,361.6671954294717,697.275504776673,0.561207370827565,19,0.42105263157894735,0.4375295282291,371.91985750748233,273.69915667331327,1.3588637320918204,0.15384615384615385,79.1053854680122,4,4,4,49.77357470763893,4.3974638614134935,0.1403371932561349,False,False,False,True,True,True,True,True,False,True,True,False
structure,7,-26.587102837511285,-46.587102837511146,-84.807921355349,0.2857142857142857,0.345514082677478,-0.029666795986529104,-0.04316760875419323,15.0,78.31191497173123,124.91678190458501,0.21922161101794982,19,0.0,0.0,101.61434843815806,273.69915667331327,0.37126292120601867,0.038461538461538464,-24.263474183772328,1,2,2,-70.07504143128745,-106.94989165868432,1.0,False,False,False,False,False,False,True,False,False,False,False,False
eth_multitimeframe,96,-17.418411103830767,-37.4184111038307,-69.14708166033,0.17708333333333334,0.4330162936548501,-0.4001902695738646,-0.40142258794690555,19.5,103.2227144621575,697.275504776673,0.3068157423110056,19,0.3684210526315789,0.34566454462313556,195.30512030829348,273.69915667331327,0.7135758936276492,0.5274725274725275,-15.09478245009188,18,0,1,-43.86405386107264,-49.85576347532789,1.0,True,True,True,False,False,False,False,False,False,False,False,False
market_stack,102,-16.74304620666087,-36.743046206660814,-68.4296841613905,0.19607843137254902,0.41777503814181577,-0.4320900552630347,-0.4320900552630347,18.5,118.91069909151413,384.792098088823,0.33735617552131925,19,0.42105263157894735,0.3268756709771329,199.48419034428255,273.69915667331327,0.7288447387595953,0.5604395604395604,-14.419417552921995,20,0,1,-40.723577215124934,-44.67230707364449,1.0,True,True,True,False,False,False,False,False,False,False,False,False
trend_quality,7,-26.587102837511285,-46.587102837511146,-84.807921355349,0.2857142857142857,0.345514082677478,-0.029666795986529104,-0.04316760875419323,15.0,78.31191497173123,124.91678190458501,0.21922161101794982,19,0.0,0.0,101.61434843815806,273.69915667331327,0.37126292120601867,0.038461538461538464,-24.263474183772328,1,2,2,-70.07504143128745,-106.94989165868432,1.0,False,False,False,False,False,False,True,False,False,False,False,False
confirmed_expansion,5,16.350093355423404,-3.649906644576399,-16.739893928403,0.4,0.9041557987756192,-0.006816178912041115,-0.020634925665136472,47.0,93.8468706160158,124.91678190458501,0.21922161101794982,19,0.0,0.0,109.3818262603004,273.69915667331327,0.39964254033438,0.027472527472527472,18.673722009162418,0,0,2,,,0.6039679206415872,False,False,False,True,True,True,False,False,False,False,False,False
