gate_id,fold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe
v16_all,2023H1,46,-1.8579942491569548,-21.85799424915691,-55.106833144755,0.2391304347826087,0.5975696197240324,-0.012826934773338627,-0.19291567254130815,24.0,128.0264604125015,388.44055577163095,0.38856953097628083
v16_all,2023H2,41,0.4503026702976299,-19.54969732970232,-63.780517462098,0.14634146341463414,0.6239986123500633,-0.19058369575538758,-0.23404032663756014,16.0,63.161401435913994,811.3530622687599,0.34670592476704515
v16_all,2024H1,47,5.617656205270483,-14.38234379472947,-68.478426627855,0.2553191489361702,0.7775082561218905,-0.03377513449997316,-0.16802468224326372,22.0,220.07405148826447,697.275504776673,0.3486073719930984
v16_all,2024H2,48,-12.915102721857728,-32.91510272185764,-80.3281146121995,0.1875,0.5539402961725907,-0.14665373187270925,-0.15650039303246244,16.0,152.94494070440822,420.02266495803605,0.35336880269652654
eth_1h,2023H1,34,-16.813011177981235,-36.8130111779812,-63.5087517547325,0.20588235294117646,0.37854203723825725,-0.20090828540073813,-0.20090828540073813,23.0,107.16582285480187,218.601441131831,0.3705268428258661
eth_1h,2023H2,31,-16.279485192963715,-36.27948519296361,-63.780517462098,0.12903225806451613,0.28834632556761824,-0.22770904001606507,-0.22770904001606507,11.0,20.002894758802,202.83252031633398,0.30310642519481434
eth_1h,2024H1,42,5.4819194093476575,-14.518080590652287,-69.8423040317495,0.23809523809523808,0.7787896178801832,-0.032377882439025396,-0.13756984003189487,22.0,250.78474031003591,697.275504776673,0.34786441743635926
eth_1h,2024H2,40,-21.152280940983506,-41.15228094098343,-85.12602499858201,0.175,0.47349471539932375,-0.14002996589814298,-0.1499530579061803,13.0,141.55892748501608,367.860558573362,0.35405508858721746
eth_4h,2023H1,34,6.535489434800558,-13.464510565199383,-51.24045735274301,0.2647058823529412,0.7388467751100851,0.09309619525647506,-0.12511596670175829,25.0,129.2703318156681,388.44055577163095,0.3975050353835971
eth_4h,2023H2,26,22.251567685165345,2.2515676851653854,-46.538139894251,0.19230769230769232,1.048440792085352,-0.04899670802366929,-0.13446222766595628,20.5,116.426787169643,811.3530622687599,0.3974077398114761
eth_4h,2024H1,34,-23.315975765999575,-43.3159757659995,-74.068523174798,0.17647058823529413,0.3981922408943101,-0.191743522222655,-0.22199371410803181,16.0,23.237746398907184,697.275504776673,0.2048755297655958
eth_4h,2024H2,30,-10.648278364043666,-30.648278364043563,-84.0582347506765,0.16666666666666666,0.6008787248763267,-0.07173645424529485,-0.10431378158816906,18.5,201.5885259275522,420.02266495803605,0.3772921204423001
btc_stack,2023H1,36,-9.479955637691663,-29.479955637691614,-60.484811089002996,0.2222222222222222,0.4827393150201821,-0.16012178127373022,-0.16012178127373022,23.5,128.0264604125015,256.003055584773,0.32221156211995006
btc_stack,2023H2,24,13.125388585126867,-6.874611414873089,-65.136095258398,0.16666666666666666,0.8713815733563042,-0.07752947352687944,-0.1073146097085409,18.0,64.52978200046395,811.3530622687599,0.397013576132139
btc_stack,2024H1,33,-23.757659917849086,-43.75765991784903,-71.206181435644,0.21212121212121213,0.3480149640259313,-0.1493524203732527,-0.15209783293853896,22.0,28.468510847669204,384.792098088823,0.29613572835274415
btc_stack,2024H2,28,11.48198469101446,-8.518015308985426,-60.235547048151496,0.25,0.8553404340574391,-0.04019762532826665,-0.08746312877790408,19.5,179.32255757022438,420.02266495803605,0.36160458302119
participation,2023H1,11,15.187512306062821,-4.812487693937,-42.170288143065996,0.2727272727272727,0.8854671622556858,-0.031677696073636796,-0.03297030030535564,43.0,124.91678190458501,218.601441131831,0.26185851725482967
participation,2023H2,8,10.863238994093374,-9.13676100590638,-31.591109317881497,0.125,0.7350959065501365,-0.049486758193421965,-0.0712361478082032,20.5,54.08336610622506,202.83252031633398,0.26289494100090915
participation,2024H1,9,79.23579583272178,59.23579583272177,-49.827296740310004,0.4444444444444444,1.8998912525660594,0.09942309242365055,-0.05259087493932624,56.0,438.7396080406338,697.275504776673,0.4629652566728025
participation,2024H2,8,-61.68189588907263,-81.6818958890725,-109.25651226087099,0.125,0.15823085894348704,-0.05401689722780667,-0.059131346717905764,4.5,25.13188282477378,122.832695248853,0.22232724462951825
expansion,2023H1,6,121.38585170161399,101.38585170161399,128.0264604125015,0.8333333333333334,8.17285721059966,0.101115521666991,-0.013086042505566442,79.5,194.05098675776202,256.003055584773,0.4864070190306191
expansion,2023H2,4,65.27434585054876,45.27434585054875,28.793262154308007,0.5,2.719041708091927,0.022476013851649768,-0.01337144975170168,71.0,167.0665843240724,202.83252031633398,0.736041242092259
expansion,2024H1,6,144.61785514180232,124.61785514180231,-36.805120359143004,0.3333333333333333,3.3100623246624474,0.11340653930466105,-0.03383243870356112,26.0,535.6905693166484,697.275504776673,0.724986816610004
expansion,2024H2,12,24.39746386141342,4.3974638614134935,-102.7404276403615,0.3333333333333333,1.0489668969646626,0.03603996205278204,-0.06770640302119801,34.5,351.1837448978098,367.860558573362,0.5005623958056578
structure,2023H1,2,40.054430274618,20.054430274618003,20.054430274618003,0.5,1.472937667947055,0.000839218260928698,-0.01308604250556622,44.0,103.94431157859161,124.91678190458501,0.4170014112943774
structure,2023H2,1,-72.610909118923,-92.610909118923,-92.610909118923,0.0,0.0,-0.012116686697708268,-0.012116686697708268,6.0,-92.610909118923,-92.610909118923,
