arm,timeframe_min,period,reason,trades,missed_winners10,removed_losers
first,30,development,episode_consumed,8058,40,5469
first,30,development,first,1,0,1
first,30,validation,episode_consumed,14249,74,10036
first,30,validation,first,1,0,1
first,60,development,episode_consumed,4048,11,2825
first,60,validation,episode_consumed,6429,35,4370
first,60,validation,first,1,0,1
first,240,development,episode_consumed,1240,15,779
first,240,validation,episode_consumed,1969,16,1261
first_break,30,development,episode_consumed,4123,17,2812
first_break,30,development,first_escape,5,0,2
first_break,30,development,inside_envelope,10309,81,7004
first_break,30,validation,episode_consumed,6597,27,4574
first_break,30,validation,first_escape,20,0,14
first_break,30,validation,inside_envelope,18640,113,13578
first_break,60,development,episode_consumed,1927,8,1338
first_break,60,development,first_escape,2,0,1
first_break,60,development,inside_envelope,5607,30,3855
first_break,60,validation,episode_consumed,2887,20,1980
first_break,60,validation,first_escape,4,0,3
first_break,60,validation,inside_envelope,9229,53,6508
first_break,240,development,episode_consumed,529,6,328
first_break,240,development,inside_envelope,2021,16,1402
first_break,240,validation,episode_consumed,814,8,539
first_break,240,validation,first_escape,5,0,4
first_break,240,validation,inside_envelope,2743,15,1920
