arm,timeframe_min,period,side,trades,win_rate,mean_net_r,realized_10r
baseline,30,development,-1,12272,0.3463983050847458,0.12722381142931857,35
baseline,30,development,1,12263,0.30645029764331727,0.09964321152990575,108
baseline,30,validation,-1,19987,0.30139590733977084,-0.13105735985034106,47
baseline,30,validation,1,20294,0.2695870700699714,-0.1177726182007164,159
baseline,60,development,-1,6055,0.30701899256812554,-0.14730765680864674,2
baseline,60,development,1,6758,0.32361645457235866,0.04326943374052039,51
baseline,60,validation,-1,9299,0.3458436391009786,0.032152420280600176,25
baseline,60,validation,1,10153,0.2644538560031518,-0.12398458004082771,73
baseline,240,development,-1,2027,0.23482979773063642,-0.37587282932915406,0
baseline,240,development,1,2083,0.3931829092654825,0.5774596148224685,30
baseline,240,validation,-1,2572,0.3868584758942457,0.2837480871722359,8
baseline,240,validation,1,2928,0.2503415300546448,-0.18601409710211028,23
first,30,development,-1,8465,0.34636739515652687,0.10453633125768239,18
first,30,development,1,8174,0.31172008808416934,0.11381825799541054,85
first,30,validation,-1,12994,0.30198553178390025,-0.11835216487892573,29
first,30,validation,1,13380,0.2585949177877429,-0.15241614394891473,105
first,60,development,-1,4234,0.31695795937647614,-0.1296400848217742,1
first,60,development,1,4616,0.3275563258232236,0.058817937938537124,41
first,60,validation,-1,6135,0.33463732681336594,-0.010378308587521375,17
first,60,validation,1,7056,0.26346371882086167,-0.12307678024780447,46
first,240,development,-1,1517,0.24060646011865525,-0.3534130418082212,0
first,240,development,1,1379,0.34445250181290793,0.34242628150520876,15
first,240,validation,-1,1582,0.34892541087231355,0.08323969421753419,3
first,240,validation,1,1988,0.24446680080482897,-0.24848788890467516,12
first_break,30,development,-1,6099,0.3557960321364158,0.10918933790373042,7
first_break,30,development,1,5903,0.32746061324750125,0.175173728684909,53
first_break,30,validation,-1,8892,0.31826360773729195,-0.06781910872848497,14
first_break,30,validation,1,9148,0.270222999562746,-0.10427595154267072,73
first_break,60,development,-1,3159,0.3238366571699905,-0.13704853314926074,1
first_break,60,development,1,3221,0.33592052157714997,0.054185412361630866,17
first_break,60,validation,-1,4407,0.35625141819832085,0.03160633769381749,4
first_break,60,validation,1,4610,0.2616052060737527,-0.14129523027242835,22
first_break,240,development,-1,915,0.2360655737704918,-0.39465252824800007,0
first_break,240,development,1,915,0.3704918032786885,0.5371634934773892,13
first_break,240,validation,-1,1166,0.4013722126929674,0.2785397931010644,0
first_break,240,validation,1,1191,0.24265323257766583,-0.23567052139183026,8
