feature,interventional_mean_abs,path_dependent_mean_abs,interventional_mean_signed
atr_ratio96,0.0016433160500580733,0.0015867315634003432,0.0013897617081143046
sma60_sma160_spread_atr,0.0008772687153571426,0.0008669129378062679,0.0006716438664544971
direction,0.000678887536832696,0.0006281585667625037,0.0006338745159194866
sma60_sma120_spread_atr,0.0003701300583908348,0.0003538075534176848,0.00028120913051796654
sma120_sma240_spread_atr,0.0003214032483313217,0.0002870326918667348,0.00031959981151197426
signed_body_atr,0.0003160820408149762,0.00031364561329620623,0.0002448175726027709
ema30_sma60_spread_atr,0.00024956573260990486,0.0002960635898928695,0.00020355296224331939
signed_close_atr,0.0001971130796474161,0.00013947947827667927,9.446316173628564e-05
eff12,0.000158967282667159,0.0001514640553381155,9.631242759017781e-06
fee_to_risk,0.0001389292617025289,0.00012643871294764408,-4.243134637347157e-05
adx14,0.00013545990792006784,0.00012792707829368676,9.059452484506847e-05
signed_return8_atr,0.0001295377513877739,0.00011720562949137695,4.149577089965451e-05
prior_range_atr,0.00012841905119362668,0.00011533869190499844,6.0881911337484795e-05
atr_pct,0.00012630620621717926,0.00011685074667250388,-6.066401505554529e-06
eff24,0.00011473919595780787,0.00011562355064905965,4.6037895820425747e-05
prior24_range_atr,8.286679448746035e-05,0.00011214151458416344,6.908717826859055e-05
signed_slope_atr_per_bar,7.897721541212375e-05,7.514654612369659e-05,-6.580445082427796e-07
range_ratio20,7.531512061097147e-05,7.291125146292243e-05,3.713894420025501e-05
signed_di_balance,6.608679632432713e-05,6.855430617972812e-05,5.573601874938046e-06
ema20_sma60_spread_atr,5.7972655251867644e-05,5.669770560137985e-05,3.957063181346266e-05
volume_ratio20,3.602037810140295e-05,3.466707438053026e-05,-7.0035472144487414e-06
breakout_atr,3.471622120500355e-05,3.1270204237670074e-05,4.4968491916750015e-06
prior_near_ma_share,2.984095185678823e-05,2.8043136088600786e-05,-2.259937890096253e-05
signed_return24_atr,2.6426141032415568e-05,2.4837956628042385e-05,5.840507675097756e-07
signal_score,1.7884548538794845e-05,1.646948988044686e-05,1.807473639188035e-07
family_has_direct,4.396100929890993e-06,4.90544302310263e-06,2.4197764724277426e-06
family_has_rejection,0.0,0.0,0.0
family_has_coil,0.0,0.0,0.0
