cohort,events,feature,mean_signed_shap,mean_abs_shap,median_feature_value
net_winner,33,direction,0.0006744337491513899,0.0007181741292285524,1.0
net_winner,33,signal_score,9.924312046705656e-06,2.4905567359548346e-05,0.6911895130898658
net_winner,33,signed_close_atr,8.564739169177107e-05,0.0002031640975718057,0.6642615606256101
net_winner,33,signed_slope_atr_per_bar,4.261806243793025e-06,6.952209109020702e-05,0.0022830387294273
net_winner,33,signed_body_atr,0.0003314931291287614,0.0004109057459968977,0.8600517267587731
net_winner,33,breakout_atr,-6.777718519625716e-06,2.6497467011502133e-05,-0.6654135507324749
net_winner,33,prior_near_ma_share,-2.221718595661294e-05,2.7691732880846372e-05,0.625
net_winner,33,prior_range_atr,4.144922665125595e-05,0.0001398361178947501,2.4032370040632336
net_winner,33,fee_to_risk,-6.729952527290484e-05,0.00014829812364330956,0.3158611758810061
net_winner,33,atr_pct,-1.960069183799836e-05,0.000123167139754652,0.0031659508302312
net_winner,33,volume_ratio20,-1.5370905726520126e-07,3.091827112725834e-05,1.3377958687683678
net_winner,33,atr_ratio96,0.0017263745080858275,0.0019449061382318755,1.7546503148125283
net_winner,33,range_ratio20,6.334535714855023e-05,0.00010153633582473105,1.4265095020447538
net_winner,33,eff12,-2.1631007963275256e-06,0.00014862485988876897,0.1369906961822265
net_winner,33,eff24,3.661126020550441e-05,9.598624907787534e-05,0.092972501091228
net_winner,33,adx14,9.173277987415394e-05,0.00013300057671131069,21.606511067536253
net_winner,33,signed_di_balance,2.2352437200893427e-05,6.407898561188961e-05,4.58034084346186
net_winner,33,ema20_sma60_spread_atr,3.213639886725463e-05,5.329443113513469e-05,0.5006443390226976
net_winner,33,ema30_sma60_spread_atr,0.00016039175090416834,0.00023215741376754356,0.3509558161695338
net_winner,33,sma60_sma120_spread_atr,0.0001868574650575972,0.00031553258805009434,0.9828556525036588
net_winner,33,sma60_sma160_spread_atr,0.00045795032090223473,0.0007199565704856716,1.3140826869019753
net_winner,33,sma120_sma240_spread_atr,0.0002909667606756943,0.00029536683273652836,0.7521881402849765
net_winner,33,signed_return8_atr,5.7455659089514083e-05,0.00013271717372473094,1.1320130275242395
net_winner,33,signed_return24_atr,1.0572862709412933e-06,2.9402188826652215e-05,0.6638595556679123
net_winner,33,prior24_range_atr,8.106528098571953e-05,9.104478021843975e-05,4.0078395506376765
net_winner,33,family_has_direct,2.445557335401342e-06,3.830958008400172e-06,1.0
net_winner,33,family_has_rejection,0.0,0.0,1.0
net_winner,33,family_has_coil,0.0,0.0,0.0
net_loser,80,direction,0.0006171438322113261,0.0006626818174694052,1.0
net_loser,80,signal_score,-3.8384730677307756e-06,1.4988378275234029e-05,0.5993392883425342
net_loser,80,signed_close_atr,9.809966687964787e-05,0.00019461703475360536,0.5468955918886398
net_loser,80,signed_slope_atr_per_bar,-2.687482943457556e-06,8.287745419491444e-05,-0.0026129072413884997
net_loser,80,signed_body_atr,0.0002090639055357997,0.00027696726242743355,0.7170766550077032
net_loser,80,breakout_atr,9.147608372586548e-06,3.8106457309822874e-05,-0.6790783787375552
net_loser,80,prior_near_ma_share,-2.275703349050673e-05,3.072750468436425e-05,0.625
net_loser,80,prior_range_atr,6.889789377055422e-05,0.0001237095111794133,2.5666064005895115
net_loser,80,fee_to_risk,-3.217322257745536e-05,0.00013506460615195692,0.3571847572796747
net_loser,80,atr_pct,-4.835067434214595e-07,0.00012760107113297183,0.0027996901554929498
net_loser,80,volume_ratio20,-9.829105454286945e-06,3.8124997228237585e-05,1.0835606658692205
net_loser,80,atr_ratio96,0.0012509089281260515,0.0015189101386863797,1.1513029983761094
net_loser,80,range_ratio20,2.6328798859083237e-05,6.449886933529569e-05,1.2683430767014237
net_loser,80,eff12,1.4496409475597724e-05,0.00016323353206324498,0.13932685656496105
net_loser,80,eff24,4.9926383011580814e-05,0.00012247478654578002,0.08374618164031894
net_loser,80,adx14,9.012499464557067e-05,0.00013647438204367998,22.19680435326336
net_loser,80,signed_di_balance,-1.347667697018552e-06,6.691501824320766e-05,2.4275006694037966
net_loser,80,ema20_sma60_spread_atr,4.263725290377351e-05,5.9902422700019996e-05,0.7834577125207354
net_loser,80,ema30_sma60_spread_atr,0.00022135696192071918,0.000256746664132379,0.6339755823121318
net_loser,80,sma60_sma120_spread_atr,0.0003201291925203691,0.0003926515149063903,1.6646909025664938
net_loser,80,sma60_sma160_spread_atr,0.0007597924539948052,0.0009421599751166241,2.6851854402287727
net_loser,80,sma120_sma240_spread_atr,0.0003314109449819398,0.00033214326976417397,1.624177471219085
net_loser,80,signed_return8_atr,3.491231702133746e-05,0.0001282262396737792,0.47731029171699924
net_loser,80,signed_return24_atr,3.8884112234427445e-07,2.519852131729294e-05,0.3174884008122125
net_loser,80,prior24_range_atr,6.414621089777484e-05,7.949337537343126e-05,4.344999240277133
net_loser,80,family_has_direct,2.409141866451137e-06,4.6292223850059604e-06,1.0
net_loser,80,family_has_rejection,0.0,0.0,1.0
net_loser,80,family_has_coil,0.0,0.0,0.0
