bar,entry_rule,max_wait_minutes,candidate_rows,decision_rows,all_folds_gross_positive,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H1_mean_net_bp,2023H2_events,2023H2_mean_net_bp,2024H1_events,2024H1_mean_net_bp,2024H2_events,2024H2_mean_net_bp,matched_events,matched_control_excess_bp,paired_signflip_p_one_sided
15m,immediate_next_open,0,1661,1661,False,345,6.4897423280088145,-13.510257671991193,-38.492220228117915,0.34492753623188405,0.579992877731773,-0.8976624218491096,-0.9001502832647967,79,221,39,6,62,True,-16.3510574594729,-20.540228852589355,89,-7.700339681729607,62,-20.540228852589355,87,-7.911461754042345,107,-18.821657043932724,345,10.311528562722398,0.007409925900740993
15m,direction_breakout_15m,15,1661,1661,False,251,-1.9326182336034528,-21.932618233603456,-43.98145671748231,0.3187250996015936,0.4429323059319941,-0.807058466236896,-0.8093774354042816,48,167,31,5,54,True,-24.341962473701052,-33.33027431198821,62,-14.474824074891627,54,-33.33027431198821,70,-19.071560094412703,65,-22.658524069768216,250,2.060430987093798,0.32672673273267266
15m,direction_breakout_30m,30,1661,1661,False,307,-3.1887859697574443,-23.18878596975745,-43.98145671748231,0.30618892508143325,0.40659250445105344,-0.891275280866428,-0.8938367671949737,53,206,41,7,66,True,-24.74017539543326,-28.497763211792243,73,-18.843046617356492,66,-28.497763211792243,85,-24.119345361318825,83,-21.836363397085844,306,0.8439006081619561,0.4257057429425706
15m,direction_breakout_60m,60,1661,1661,False,373,-0.7064087223345822,-20.70640872233459,-43.078189449582396,0.3351206434316354,0.45664360083530825,-0.9077036856969114,-0.9098781290907092,71,242,52,8,78,True,-25.598054604828402,-26.35390654727151,90,-22.171616444699314,78,-26.35390654727151,93,-23.93612038941574,112,-12.914116665223405,371,1.860790780402662,0.3134768652313477
15m,direction_breakout_120m,120,1661,1661,False,409,-1.828914246271858,-21.828914246271864,-43.439209844469126,0.3251833740831296,0.4428420078130526,-0.9352844239170878,-0.9360692172158646,76,271,56,6,87,True,-25.736905785862948,-28.547099091738872,101,-23.360549868007993,87,-22.956117900450952,100,-28.547099091738872,121,-14.187753913580707,407,-0.8654799141754368,0.5891641083589164
5m,immediate_next_open,0,9343,9343,False,755,2.6821426984126413,-17.317857301587363,-37.26734624236448,0.3827814569536424,0.3549744231155662,-0.9971106401265801,-0.9971106401265801,141,454,158,2,114,True,-17.6843960795863,-21.06814222464793,180,-21.06814222464793,114,-16.264488351127824,227,-16.91190811344184,234,-15.34000789949557,664,1.2730726140428388,0.24221757782422176
5m,direction_breakout_15m,15,9343,9343,False,1071,0.5018014984699692,-19.498198501530034,-38.55110524126014,0.34827264239028943,0.3658788990606336,-0.999808975509146,-0.999808975509146,189,685,192,5,192,True,-20.321276556441514,-20.943191424964695,268,-20.22668429588151,192,-19.195114944962107,297,-20.943191424964695,314,-17.694997710812693,818,-0.6730516463161744,0.6387436125638744
5m,direction_breakout_30m,30,9343,9343,False,1150,0.06313674675873926,-19.936863253241263,-38.68700654478695,0.3417391304347826,0.36068874842985293,-0.999905981018713,-0.999905981018713,207,744,195,4,205,True,-20.784173396421284,-21.831383569725272,295,-21.720847912766285,205,-17.75201087790564,320,-21.831383569725272,330,-17.86223525660199,835,-2.3399735827085673,0.8969210307896921
5m,direction_breakout_60m,60,9343,9343,False,1219,-0.5504347556886279,-20.550434755688627,-38.755349680278364,0.3363412633305988,0.34802478128439024,-0.9999576356841601,-0.9999576356841601,214,796,205,4,223,True,-21.133285817641244,-23.776532899126906,310,-23.776532899126906,223,-17.892225386277996,338,-21.277831566443183,348,-18.67350987890032,793,-2.3499485575903347,0.8895511044889551
5m,direction_breakout_120m,120,9343,9343,False,1260,-0.2830626609511894,-20.283062660951195,-38.58105743236027,0.33650793650793653,0.351264360818412,-0.9999703303781324,-0.9999703303781324,219,820,216,5,235,True,-20.752615539115496,-23.660719083445006,319,-23.660719083445006,235,-17.725082891719747,349,-20.565067222875776,357,-18.67307177826824,803,-2.5099986616357497,0.9014209857901421
