bar,setup_id,match_status,matched_control_count,candidate_net_return,control_mean_net_return,paired_excess_return
5m,53fcd5841c0bcbaf,matched_exact,3,-0.004858623215593825,0.004278815949428511,-0.009137439165022337
5m,0ca78f94b97b4eab,unmatched_insufficient_exact_stratum,0,-0.005508432803363437,,
5m,b90e41205cc8133c,matched_exact,3,-0.004605747093219479,-0.004758055319378079,0.00015230822615859996
5m,7c28a1c99c750292,matched_exact,3,-0.0036346093572948695,-0.0015843738933889815,-0.0020502354639058877
5m,48c9cfa07c15d51e,matched_exact,3,-0.004387222674826051,-0.0031024697837183073,-0.0012847528911077433
5m,2d44121ab698a65b,matched_exact,3,-0.0037544281285299946,-0.0025806808780030038,-0.0011737472505269908
5m,923b54e8aea4b62f,matched_exact,3,-0.004964037920715645,-0.005004105200819322,4.0067280103676765e-05
5m,3139cfb9565d0644,matched_exact,3,0.003940594059405946,-0.0006267355495255608,0.004567329608931507
5m,842f681b332e2580,matched_exact,3,-0.0038383482275772245,-0.0037509979485860563,-8.73502789911682e-05
5m,d9bcb9ffc6288b9d,matched_exact,3,0.005670394349617249,0.0028589568265631952,0.0028114375230540536
5m,cda67fc6c29c98e5,matched_exact,3,-0.004317508292334347,-0.002729542720275848,-0.0015879655720584993
5m,83af799b38c3c3f4,matched_exact,3,0.00603561105330064,0.005049220825247134,0.000986390228053506
5m,3e3f64fe07f33e8a,matched_exact,3,-0.003982881597717645,-0.0025460508037063252,-0.0014368307940113199
5m,e50c90b88b9a3822,matched_exact,3,-0.003930179114888464,-0.0028515826763053625,-0.0010785964385831015
5m,ada92ddfb530aaa0,unmatched_insufficient_exact_stratum,0,-0.004901787677074941,,
5m,46d992b0905eb5d8,matched_exact,3,-0.00537903361362657,0.0059874817961948325,-0.011366515409821403
5m,3a0989096181e3e5,matched_exact,3,-0.004503462467723705,-0.0006188556042351709,-0.0038846068634885342
5m,cd74522778dbd633,matched_exact,3,-0.003658222821509847,-0.0001560620025536901,-0.003502160818956157
5m,0cd167d73748513b,matched_exact,3,-0.004488301919797209,-0.0047973272658348885,0.0003090253460376795
5m,cc74b2494a868616,matched_exact,3,1.734723475976807e-18,0.000985641474573623,-0.0009856414745736213
5m,e9c2af97afeda080,matched_exact,3,-0.0036781627990034576,-0.00125148215455654,-0.0024266806444469173
5m,aa6bd040b6347e8a,matched_exact,3,0.002879852125693418,-0.0041929868902594114,0.007072839015952829
5m,6a3d799b4c3c06d6,matched_exact,3,-0.005035324901875303,-0.005737904595274565,0.0007025796933992625
5m,eefac836c4eff6aa,matched_exact,3,1.734723475976807e-18,0.002366137487910926,-0.0023661374879109243
5m,b2d50dc85669d999,unmatched_insufficient_exact_stratum,0,0.010152041825632232,,
5m,b3ad87eab50905b1,matched_exact,3,-0.004436100858887236,-0.0005643499734975226,-0.003871750885389713
5m,b3eaf6cd70eb3a4e,matched_exact,3,-0.005126970779903204,-0.0035665069205318774,-0.001560463859371327
5m,de9a7ad8ac3f9bdb,matched_exact,3,-0.003918346844038021,-0.004237519178296769,0.0003191723342587478
5m,601a9d3993d076c7,matched_exact,3,-0.003800918251330108,-0.0023935323718385156,-0.0014073858794915925
5m,31c19d8a1d86f24b,matched_exact,3,0.006074045727694434,0.0019265172032700486,0.004147528524424386
5m,fe5328c542a52dd0,matched_exact,3,-1.0928757898653885e-16,-0.00429814921318446,0.004298149213184351
5m,f7b37cb1779aa49e,matched_exact,3,-0.0036255188988421044,-0.0036127768863588945,-1.2742012483209827e-05
