period,scope,variant,candidates,valid,paired,paired0_fraction,mean_gross_bp,mean_net_bp,matched_actual_mean_bp,matched_random_mean_bp,mean_excess_bp,win_rate,initial_stop_rate,natural_exits,censored,natural_win_rate,natural_big_winners,events,valid_events,matched_events,asset_weeks,permutation_assets,asset_balanced_excess_bp,event_mean_excess_bp,permutation_p,permutations,seed,alternative,minimum_assets,any_control_fraction,holm_p
earlier,okx,baseline,641,641,545,0.8502340093603744,-74.0837615121698,-94.08376151216981,-135.43727738942135,-42.41007914128082,-93.02719824814052,0.18408736349453977,0.6552262090483619,634,7,0.17823343848580442,3,641,641,545,486,221,-89.21676135336885,-93.02719824814052,0.9969003099690031,10000,20260910,positive asset-equal mean paired excess,5,0.8502340093603744,1.0
earlier,okx,volume4,96,96,80,0.8333333333333334,199.86918657259014,179.8691865725901,-55.59127908810391,-55.56308033163019,-0.028198756473739196,0.23958333333333334,0.6770833333333334,94,2,0.22340425531914893,3,96,96,80,79,66,-19.501023788359856,-0.02819875647374488,0.5147485251474853,10000,20260910,positive asset-equal mean paired excess,5,0.8333333333333334,1.0
earlier,okx,expansion3,27,27,24,0.8888888888888888,263.3869396147938,243.38693961479382,286.78809139185864,-43.90969540132509,330.6977867931838,0.18518518518518517,0.7407407407407407,27,0,0.18518518518518517,2,27,27,24,24,23,361.75280349206105,330.69778679318375,0.2518748125187481,10000,20260910,positive asset-equal mean paired excess,5,0.8888888888888888,1.0
earlier,binance,baseline,1306,1306,1115,0.8537519142419602,-1.3641874841985382,-21.36418748419853,-114.57373671072965,-48.479867438974296,-66.09386927175537,0.16768759571209801,0.6385911179173047,1290,16,0.16046511627906976,9,1306,1306,1115,985,459,-70.64383003793756,-66.09386927175535,0.9956004399560044,10000,20260910,positive asset-equal mean paired excess,5,0.8537519142419602,1.0
earlier,binance,volume4,199,199,160,0.8040201005025126,66.75200516916986,46.752005169169834,-56.90065560234731,-71.04194320344541,14.141287601098105,0.22110552763819097,0.6934673366834171,196,3,0.20918367346938777,4,199,199,160,158,138,9.117312202791018,14.141287601098103,0.45425457454254575,10000,20260910,positive asset-equal mean paired excess,5,0.8040201005025126,1.0
earlier,binance,expansion3,68,68,53,0.7794117647058824,142.1231764654673,122.1231764654673,165.69549702162212,-69.20424227492317,234.8997392965453,0.19117647058823528,0.7058823529411765,67,1,0.1791044776119403,3,68,68,53,52,50,270.21426525014164,234.89973929654525,0.1608839116088391,10000,20260910,positive asset-equal mean paired excess,5,0.7794117647058824,1.0
earlier,gate,baseline,959,959,823,0.8581856100104275,-73.69958294158239,-93.69958294158242,-121.0404397209186,-48.45089348930181,-72.58954623161681,0.14494264859228362,0.6892596454640251,949,10,0.14120126448893572,6,959,959,823,741,398,-48.86625253038034,-72.58954623161681,0.9027097290270973,10000,20260910,positive asset-equal mean paired excess,5,0.8581856100104275,1.0
earlier,gate,volume4,210,210,176,0.8380952380952381,-112.79135571696969,-132.7913557169697,-179.70317102030475,-42.205237017733154,-137.4979340025716,0.14285714285714285,0.7428571428571429,207,3,0.13526570048309178,2,210,210,176,171,146,-144.9068807517324,-137.49793400257164,0.9984001599840016,10000,20260910,positive asset-equal mean paired excess,5,0.8380952380952381,1.0
earlier,gate,expansion3,56,56,41,0.7321428571428571,192.288521162406,172.288521162406,184.43001212876308,-52.56369040257531,236.9937025313384,0.25,0.6785714285714286,55,1,0.23636363636363636,3,56,56,41,41,41,236.9937025313384,236.99370253133836,0.19808019198080193,10000,20260910,positive asset-equal mean paired excess,5,0.7321428571428571,1.0
earlier,combined,baseline,2873,2873,2454,0.8541594152453881,-41.051849977243016,-61.05184997724303,-122.04399470986804,-47.446026775916806,-74.59796793395125,0.16289592760180996,0.6595892794987818,2840,33,0.15704225352112677,18,2873,2873,2454,1130,502,-77.86856813050316,-74.59796793395125,0.9998000199980002,10000,20260910,positive asset-equal mean paired excess,5,0.8541594152453881,1.0
earlier,combined,volume4,504,504,415,0.8234126984126984,18.08899392553796,-1.9110060744620687,-108.01739427372581,-55.83229214561403,-52.18510212811178,0.19246031746031747,0.7103174603174603,496,8,0.1814516129032258,9,504,504,415,275,214,-83.37841339877569,-52.18510212811178,0.9486051394860514,10000,20260910,positive asset-equal mean paired excess,5,0.8234126984126984,1.0
earlier,combined,expansion3,151,151,118,0.7814569536423841,182.41046724732416,162.41046724732416,196.83394943076155,-58.27770200600269,255.11165143676433,0.2119205298013245,0.7019867549668874,149,2,0.20134228187919462,8,151,151,118,78,74,103.96508568263077,255.11165143676422,0.2866713328667133,10000,20260910,positive asset-equal mean paired excess,5,0.7814569536423841,1.0
known,okx,baseline,1002,1002,788,0.7864271457085829,51.74147569166606,31.74147569166607,14.493879065997325,-37.08767820979456,51.581557275791894,0.19261477045908185,0.6327345309381237,970,32,0.16907216494845362,9,1002,1002,788,707,259,90.11507240412107,51.58155727579188,0.0927907209279072,10000,20260910,positive asset-equal mean paired excess,5,0.7864271457085829,1.0
known,okx,volume4,173,173,127,0.7341040462427746,470.08906818392694,450.08906818392694,467.7604342751397,-58.24688423438548,526.0073185095251,0.21965317919075145,0.6936416184971098,169,4,0.20118343195266272,5,173,173,127,124,107,591.2341856618144,526.0073185095254,0.036396360363963605,10000,20260910,positive asset-equal mean paired excess,5,0.7341040462427746,0.7643235676432357
known,okx,expansion3,54,54,38,0.7037037037037037,1120.6609686727443,1100.6609686727443,1254.871791492677,-20.120562889253552,1274.9923543819305,0.2222222222222222,0.7407407407407407,53,1,0.20754716981132076,3,54,54,38,38,35,1397.7526294843688,1274.9923543819305,0.13638636136386362,10000,20260910,positive asset-equal mean paired excess,5,0.7037037037037037,1.0
known,binance,baseline,2062,2062,1618,0.7846750727449079,42.35819257497272,22.358192574972712,17.22015566632746,-46.467602684430545,63.68775835075801,0.18671193016488846,0.6285160038797284,2011,51,0.17006464445549477,19,2062,2062,1618,1421,499,95.72713421980288,63.68775835075803,0.0183981601839816,10000,20260910,positive asset-equal mean paired excess,5,0.7846750727449079,0.40475952404759524
