state,requests,closed,net_mean_bp,gross_mean_bp,wins,losses,exit_5min,exit_le_30min,hold_median_minutes,hold_mean_minutes,hard_stops,time_exits,fee_flips,loser_mfe_ge_1r,mae_median_r,never_armed_executed
aligned,286,286,-17.78780722808446,2.2121927719155505,72,214,0,17,135.0,156.36363636363637,23,0,23,28,-0.48034334763948494,0
opposite,0,0,,,0,0,0,0,,,0,0,0,0,,0
unknown,0,0,,,0,0,0,0,,,0,0,0,0,,0
