stem,symbol,cut,cut_time,ret24_after
okx_ACH_USDT_SWAP_012360,ACH_USDT_SWAP,12398,2025-10-10 16:45,-0.3393
okx_DOGE_USDT_SWAP_033860,DOGE_USDT_SWAP,34002,2026-05-22 19:30,-0.0126
okx_SHELL_USDT_SWAP_024860,SHELL_USDT_SWAP,24933,2026-02-18 10:30,-0.0332
okx_BOME_USDT_SWAP_017160,BOME_USDT_SWAP,17317,2025-11-30 23:45,-0.0857
okx_PI_USDT_SWAP_007260,PI_USDT_SWAP,7335,2025-08-18 01:30,-0.0151
okx_ONDO_USDT_SWAP_018660,ONDO_USDT_SWAP,18814,2025-12-15 15:00,-0.0533
okx_MOVE_USDT_SWAP_017160,MOVE_USDT_SWAP,17308,2025-11-30 23:30,-0.0825
okx_MEW_USDT_SWAP_005160,MEW_USDT_SWAP,5273,2025-07-28 14:45,-0.0452
okx_HBAR_USDT_SWAP_017360,HBAR_USDT_SWAP,17410,2025-11-30 23:45,-0.051
okx_WLD_USDT_SWAP_018660,WLD_USDT_SWAP,18812,2025-12-15 15:00,-0.05
PYTH_USDT_SWAP_004930,PYTH_USDT_SWAP,4772,2025-07-23 10:00,-0.0337
ADA_USDT_SWAP_005530,ADA_USDT_SWAP,5374,2025-07-28 14:15,-0.0184
FARTCOIN_USDT_SWAP_001730,FARTCOIN_USDT_SWAP,1628,2025-06-20 14:30,-0.0191
APR_USDT_SWAP_002730,APR_USDT_SWAP,2666,2025-11-21 00:30,-0.0298
YFI_USDT_SWAP_016130,YFI_USDT_SWAP,16017,2025-11-17 14:15,-0.0495
XTZ_USDT_SWAP_012530,XTZ_USDT_SWAP,12380,2025-10-10 17:00,-0.1431
CELO_USDT_SWAP_014730,CELO_USDT_SWAP,14641,2025-11-03 03:00,-0.0149
PEPE_USDT_SWAP_008530,PEPE_USDT_SWAP,8414,2025-08-29 07:15,0.0042
COMP_USDT_SWAP_006730,COMP_USDT_SWAP,6609,2025-08-11 11:00,-0.0117
LUNA_USDT_SWAP_006930,LUNA_USDT_SWAP,6882,2025-08-14 08:45,-0.0409
BLUR_USDT_SWAP_005730,BLUR_USDT_SWAP,5565,2025-07-31 13:45,-0.0221
ETH_USDT_SWAP_010930,ETH_USDT_SWAP,10797,2025-09-22 00:00,-0.0666
IOTA_USDT_SWAP_005330,IOTA_USDT_SWAP,5271,2025-07-28 13:45,-0.0314
AUCTION_USDT_SWAP_016330,AUCTION_USDT_SWAP,16184,2025-11-19 04:00,0.0043
FIL_USDT_SWAP_012330,FIL_USDT_SWAP,12188,2025-10-07 14:15,-0.0133
CRO_USDT_SWAP_000330,CRO_USDT_SWAP,206,2025-06-05 18:30,-0.017
EGLD_USDT_SWAP_015730,EGLD_USDT_SWAP,15656,2025-11-13 17:15,-0.0164
TRUST_USDT_SWAP_001130,TRUST_USDT_SWAP,1056,2025-11-16 11:30,-0.0569
BAT_USDT_SWAP_002730,BAT_USDT_SWAP,2643,2025-07-01 03:00,-0.0197
HOME_USDT_SWAP_000730,HOME_USDT_SWAP,578,2025-06-19 10:45,-0.1041
OKB_USDT_SWAP_004130,OKB_USDT_SWAP,4084,2025-10-16 15:00,-0.0358
CHZ_USDT_SWAP_005530,CHZ_USDT_SWAP,5375,2025-07-28 14:45,-0.0325
okx_ONE_USDT_SWAP_008260,ONE_USDT_SWAP,8316,2025-08-29 07:45,-0.0097
okx_GRT_USDT_SWAP_027560,GRT_USDT_SWAP,27731,2026-03-18 12:00,-0.0177
okx_ONDO_USDT_SWAP_017260,ONDO_USDT_SWAP,17410,2025-12-01 00:00,-0.0495
okx_UMA_USDT_SWAP_016960,UMA_USDT_SWAP,17159,2025-11-29 11:30,-0.0363
okx_TRX_USDT_SWAP_000760,TRX_USDT_SWAP,867,2025-06-11 16:30,-0.0273
okx_STX_USDT_SWAP_036660,STX_USDT_SWAP,36783,2026-06-21 21:15,0.0011
okx_KSM_USDT_SWAP_017260,KSM_USDT_SWAP,17311,2025-11-30 23:45,-0.0815
okx_MAGIC_USDT_SWAP_021160,MAGIC_USDT_SWAP,21235,2026-01-10 21:00,-0.0344
