epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.8642,1.64774,9.23564,1.75312,0.03527,0.81285,0.04936,0.02059,1.58938,4.60788,1.83885,0.000665347,0.000665347,0.000665347
2,178.584,1.35226,2.57912,1.63237,0.0483,0.8743,0.11891,0.05538,1.3386,3.67678,1.58464,0.00131003,0.00131003,0.00131003
3,258.529,1.18739,2.47218,1.51928,0.04256,0.59777,0.04489,0.02018,1.36817,3.69239,1.62785,0.00193272,0.00193272,0.00193272
4,337.459,1.09253,2.38773,1.44366,0.07075,0.5838,0.07544,0.04026,1.16856,3.16616,1.48453,0.001901,0.001901,0.001901
5,416.232,0.99013,2.33156,1.36879,0.04317,0.74302,0.06343,0.03147,1.13311,3.56281,1.45091,0.001868,0.001868,0.001868
6,495.088,0.90763,2.28442,1.30631,0.13465,0.5419,0.15409,0.08043,0.89977,2.3186,1.29967,0.001835,0.001835,0.001835
7,574.888,0.83026,2.27785,1.24472,0.14931,0.36476,0.14125,0.07457,0.95155,2.51481,1.31718,0.001802,0.001802,0.001802
8,653.657,0.78968,2.2329,1.21484,0.03098,0.96089,0.10922,0.05849,0.87794,2.94047,1.26666,0.001769,0.001769,0.001769
9,732.528,0.7601,2.18177,1.20898,0.02657,0.31006,0.03316,0.01603,0.8761,3.32319,1.28426,0.001736,0.001736,0.001736
10,811.355,0.74381,2.14955,1.18773,0.104,0.77654,0.16707,0.09836,0.78226,2.27884,1.20678,0.001703,0.001703,0.001703
11,891.263,0.69226,2.19721,1.1577,0.13815,0.42458,0.13595,0.07138,0.84597,2.66898,1.25709,0.00167,0.00167,0.00167
12,969.748,0.66251,2.17368,1.13545,0.05607,0.55587,0.05994,0.02976,0.82348,3.79458,1.2443,0.001637,0.001637,0.001637
13,1048.65,0.62272,2.15475,1.11185,0.14773,0.56704,0.1706,0.09578,0.70781,2.21703,1.17227,0.001604,0.001604,0.001604
14,1127.21,0.61728,2.12111,1.10889,0.06594,0.64525,0.06788,0.03527,0.74397,3.80768,1.20589,0.001571,0.001571,0.001571
15,1206.03,0.60399,2.10109,1.1036,0.06392,0.30447,0.05601,0.03319,0.71454,3.01056,1.17011,0.001538,0.001538,0.001538
16,1284.62,0.58951,2.09236,1.09707,0.05767,0.82961,0.11211,0.06066,0.69545,3.27572,1.1926,0.001505,0.001505,0.001505
17,1363.47,0.58178,2.09974,1.08359,0.02856,0.99441,0.10565,0.05986,0.61569,2.54184,1.11478,0.001472,0.001472,0.001472
18,1442.25,0.55475,2.07357,1.06465,0.0188,0.99721,0.05791,0.03352,0.61296,2.79674,1.12137,0.001439,0.001439,0.001439
19,1521.08,0.53992,2.04891,1.05717,0.06833,0.46927,0.06694,0.03867,0.62932,2.92923,1.1149,0.001406,0.001406,0.001406
20,1599.91,0.53076,2.0366,1.04906,0.00939,0.3743,0.00664,0.00251,1.94502,4.9419,2.28993,0.001373,0.001373,0.001373
21,1678.72,0.52878,2.07067,1.04939,0.03623,0.91899,0.09174,0.05111,0.65097,3.2038,1.15131,0.00134,0.00134,0.00134
22,1757.5,0.52191,2.02971,1.04529,0.1167,0.61732,0.14809,0.08483,0.60814,2.32974,1.11225,0.001307,0.001307,0.001307
23,1836.35,0.50084,1.99291,1.03416,0.1191,0.55587,0.13438,0.07631,0.68855,2.53028,1.16601,0.001274,0.001274,0.001274
24,1915.09,0.48633,2.00144,1.02836,0.20141,0.49162,0.19925,0.11592,0.60098,2.16555,1.10155,0.001241,0.001241,0.001241
25,1994.86,0.47418,2.00596,1.01394,0.04126,0.95251,0.11512,0.06702,0.57741,2.72876,1.11329,0.001208,0.001208,0.001208
26,2073.48,0.47346,1.96973,1.02835,0.05163,0.77374,0.06644,0.03678,0.66125,3.37556,1.18794,0.001175,0.001175,0.001175
27,2152.23,0.46587,1.99048,1.01242,0.01256,0.31844,0.00872,0.00288,1.94227,4.77509,2.15823,0.001142,0.001142,0.001142
28,2231.11,0.47274,1.95465,1.02497,0.02471,0.97207,0.07505,0.04312,0.6067,2.89963,1.12357,0.001109,0.001109,0.001109
29,2309.96,0.44205,1.94683,0.99251,0.10588,0.53073,0.1113,0.06413,0.57472,2.67089,1.11938,0.001076,0.001076,0.001076
30,2388.74,0.44478,1.94613,1.00518,0.04947,0.72067,0.05182,0.02693,0.60295,3.69698,1.14295,0.001043,0.001043,0.001043
31,2467.64,0.44077,1.94623,0.99593,0.01578,0.57263,0.01464,0.00617,1.1539,3.89185,1.57674,0.00101,0.00101,0.00101
32,2546.51,0.44118,1.91202,0.99608,0.03175,0.15363,0.02806,0.01182,1.57319,3.79065,2.03487,0.000977,0.000977,0.000977
33,2625.35,0.42797,1.90865,0.9972,0.04732,0.82402,0.09315,0.05265,0.56191,2.94953,1.12309,0.000944,0.000944,0.000944
34,2704.29,0.42153,1.88377,0.98924,0.03806,0.91899,0.08067,0.04483,0.58854,3.03544,1.14522,0.000911,0.000911,0.000911
35,2783.02,0.42235,1.89055,0.99331,0.04902,0.86313,0.0842,0.04689,0.5978,3.24004,1.14706,0.000878,0.000878,0.000878
36,2861.7,0.41755,1.85754,0.9974,0.05872,0.67318,0.06821,0.03792,0.60145,3.63307,1.16109,0.000845,0.000845,0.000845
37,2940.36,0.40371,1.85822,0.97504,0.04575,0.57821,0.03955,0.01951,0.71775,4.0113,1.28384,0.000812,0.000812,0.000812
38,3019.2,0.40461,1.82445,0.97853,0.23801,0.42458,0.22852,0.12509,0.53188,2.12754,1.12193,0.000779,0.000779,0.000779
39,3099.17,0.40537,1.82277,0.98046,0.01448,0.04749,0.0044,0.00198,nan,nan,nan,0.000746,0.000746,0.000746
40,3178.12,0.39731,1.8157,0.97765,0.0598,0.40223,0.04164,0.02005,0.75988,4.50984,1.3244,0.000713,0.000713,0.000713
41,3256.74,0.40364,1.80093,0.9837,0.06275,0.60894,0.06208,0.03049,0.71467,4.01183,1.28305,0.00068,0.00068,0.00068
42,3335.4,0.39872,1.77283,0.97743,0.06644,0.60335,0.07532,0.03579,0.70112,3.97172,1.26461,0.000647,0.000647,0.000647
43,3414.11,0.38752,1.75924,0.96787,0.05586,0.50559,0.04732,0.02312,0.70981,4.22336,1.28959,0.000614,0.000614,0.000614
44,3492.99,0.38433,1.77149,0.97261,0.03566,0.73464,0.04954,0.02625,0.62517,3.41362,1.21915,0.000581,0.000581,0.000581
45,3572.56,0.37417,1.76372,0.96726,0.04712,0.44972,0.0255,0.01323,0.72478,4.55591,1.30847,0.000548,0.000548,0.000548
46,3651.34,0.37177,1.70329,0.96604,0.19137,0.48045,0.18328,0.10069,0.57809,2.461,1.16848,0.000515,0.000515,0.000515
47,3729.89,0.37497,1.67139,0.96884,0.05773,0.39944,0.03913,0.01833,0.7472,4.58742,1.32712,0.000482,0.000482,0.000482
48,3808.71,0.36147,1.69926,0.96185,0.2317,0.52514,0.22257,0.11749,0.52736,2.21544,1.10729,0.000449,0.000449,0.000449
49,3887.58,0.3619,1.62002,0.96305,0.11406,0.32123,0.09538,0.04978,0.70829,3.40416,1.27114,0.000416,0.000416,0.000416
50,3965.97,0.36098,1.62725,0.96394,0.05172,0.18436,0.01073,0.00475,0.82126,5.53079,1.39628,0.000383,0.000383,0.000383
51,4049.59,0.34779,1.6071,0.95078,0.09573,0.26536,0.07393,0.03792,0.72046,3.02788,1.32116,0.00035,0.00035,0.00035
52,4128.35,0.35159,1.53604,0.95628,0.23373,0.40216,0.18676,0.09797,0.6379,2.56817,1.23337,0.000317,0.000317,0.000317
53,4207.2,0.3451,1.52908,0.96215,0.20016,0.31285,0.15759,0.07974,0.6799,2.54674,1.28046,0.000284,0.000284,0.000284
