epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.433,1.39168,1.42367,1.45891,0.51396,0.57002,0.51356,0.27362,1.56544,1.6163,1.63015,0.0001,0.0001,0.0001
2,314.094,1.31989,1.34609,1.40408,0.51565,0.55584,0.50551,0.2746,1.55896,1.61065,1.63401,9.7525e-05,9.7525e-05,9.7525e-05
3,456.24,1.31633,1.2995,1.40993,0.51027,0.58858,0.51271,0.2749,1.55966,1.60708,1.63794,9.505e-05,9.505e-05,9.505e-05
4,599.964,1.30523,1.28007,1.40126,0.51475,0.57431,0.50998,0.27305,1.56099,1.6053,1.63565,9.2575e-05,9.2575e-05,9.2575e-05
5,741.441,1.29151,1.26835,1.39348,0.51532,0.59026,0.51329,0.2727,1.56521,1.59218,1.63742,9.01e-05,9.01e-05,9.01e-05
6,882.931,1.26985,1.27028,1.3785,0.52033,0.57928,0.51262,0.27651,1.56963,1.58387,1.64646,8.7625e-05,8.7625e-05,8.7625e-05
7,1025.1,1.27481,1.27902,1.38369,0.50833,0.57851,0.50596,0.27229,1.56776,1.59668,1.63966,8.515e-05,8.515e-05,8.515e-05
8,1166.7,1.25921,1.22001,1.36747,0.514,0.59053,0.51585,0.27211,1.58221,1.59291,1.65211,8.2675e-05,8.2675e-05,8.2675e-05
9,1308.3,1.26423,1.21653,1.37494,0.5211,0.57284,0.51427,0.27429,1.56818,1.5864,1.64566,8.02e-05,8.02e-05,8.02e-05
10,1449.61,1.25965,1.23458,1.37034,0.51457,0.57935,0.51256,0.27099,1.57448,1.59293,1.65165,7.7725e-05,7.7725e-05,7.7725e-05
11,1591.19,1.26286,1.21144,1.37338,0.51284,0.5827,0.5084,0.27056,1.57315,1.59522,1.65444,7.525e-05,7.525e-05,7.525e-05
12,1732.47,1.23197,1.20656,1.34726,0.51977,0.56591,0.51434,0.27129,1.58366,1.59092,1.66302,7.2775e-05,7.2775e-05,7.2775e-05
13,1873.86,1.23941,1.17805,1.3539,0.53093,0.56087,0.51607,0.27313,1.58159,1.59303,1.66443,7.03e-05,7.03e-05,7.03e-05
14,2015.24,1.22479,1.18322,1.34396,0.52585,0.55779,0.50988,0.27216,1.58011,1.6,1.65578,6.7825e-05,6.7825e-05,6.7825e-05
15,2156.76,1.21041,1.16132,1.33546,0.53233,0.55164,0.51296,0.27291,1.58042,1.6046,1.6629,6.535e-05,6.535e-05,6.535e-05
16,2298.25,1.23688,1.1762,1.35519,0.53279,0.55725,0.51778,0.27224,1.57985,1.59308,1.66041,6.2875e-05,6.2875e-05,6.2875e-05
